,UKF248,UKF259,UKF269,UKF275,UKF334,ZH8811Bbulk,ZH916inf
IGFL3,,,-0.013794951874362938,,,,
BMP1,-0.011616643412037901,-0.021135144001893622,0.05146725684775815,-0.0052262608051224955,0.07564831479163844,0.07583717318551558,0.07561297223995986
NDP,-0.04206757659553699,-0.01900370029652033,-0.05693259802594545,-0.04044212983385479,-0.018993978903034274,0.05734201896815279,0.07731908730451874
TNFSF18,-0.03506184590148546,,-0.02048508939762512,-0.012622088205057147,,,
IL36G,,,,,-0.020126432452286572,,
RTN4,-0.023906916059292446,-0.0005103912437242328,0.0018302379809433057,-0.0013477050554666495,-0.036697909699496566,-0.03273060465632247,-0.05271408311010617
HEBP1,-0.06657333055638852,-0.0027239523791671417,0.005844795695658507,0.033112011180377744,-0.023599185628410506,0.03976457630480718,0.10366143767814535
WNT7B,-0.015254578449299337,-0.03210226431975226,-0.04163275317103559,-0.019512470138260227,-0.022121268663305393,-0.0059399571784835925,-0.042562834727305175
PTMA,-0.09455783491037946,0.012276587620973004,-0.02075690253607444,-0.05643140914758258,0.04312749506420995,-0.03382827342802477,0.00526321426009952
CEACAM1,0.007914736667026771,0.059292773913232184,-0.02695721090382313,-0.019851537735521136,,-0.015399749879281405,
PDAP1,-0.04768546199789378,0.05061661888678222,-0.004861156205603725,0.014680091623400277,0.01557515631584918,-0.03861167435199473,0.01619361279916632
QDPR,-0.05188977076780667,-0.020588502880616606,-0.05649333871012494,0.013190065013382782,-0.07800398912862773,0.0265844295493111,0.09150495864062633
POMC,0.03881567315337481,0.06364718869064548,-0.01023979107667995,-0.014645673021924727,0.03609265403183312,0.12869549711022213,0.06347637955521036
CCL18,0.020844484533965146,,,,,0.028464234314109077,
CCL17,,0.03480638843786238,,0.09110788205568059,-0.018386067434387376,0.035200898939001114,
VEGFD,0.035110568364467194,-0.011212767124375264,-0.023110244799381965,-0.01677198413719035,-0.019704917947291293,0.1746322585824597,
TNFSF13,0.011453885712683578,-0.014820285819354167,,,,-0.006677762718939901,
WNT5A,0.08037050658247531,-0.0330992015898635,0.0230782952415329,-0.012866040170907396,0.013311616084175417,-0.008955362648163781,0.20864045060122288
