,UKF255,UKF260,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.0069348946043480755,,-0.05264086240653615,
BMP1,0.09658980676068563,-0.04216907972068302,-0.023533736570234127,0.021647328864312313,0.05082641209819288,-0.0052471325575902455,0.020592564348265646,0.11397250538709951,0.032763521353552504,0.11680580288727399,0.03402846983780181
NDP,-0.0347639819347472,0.002138297855275094,-0.052643435182150096,0.021062979951684827,0.07605084003118764,-0.02095485876909851,0.054935589894976315,0.041885633922601154,0.008182585894335804,0.01970419134222974,0.052021633992876085
TNFSF18,,,,0.0577180934825486,,,,-0.009510097687149593,,0.03684898946652729,-0.022274184901384237
RTN4,0.042754171841976815,0.03571883832351886,0.07642666328690916,0.0502012612243201,-0.06330034003914183,-0.029809497403859374,-0.027627623334852854,-0.11596388868346397,0.07674035077897555,-0.021236354017417504,0.05413365603507851
HEBP1,-0.011563912442430163,0.040306137589957616,-0.037673187247982576,0.06891966077310073,0.01135704945192577,-0.003599080251376486,0.005519601183974468,0.07952295918299604,-0.03586298048881722,0.08348852966584988,0.07670313397330965
WNT7B,0.06698241976917933,0.015526708671706857,0.00823136757547335,,-0.04146228693229585,-0.0514393673622848,0.020085121602850073,-0.05023776088321999,-0.0018616952900581665,-0.023453703667639197,0.02570466180586504
PTMA,-0.03376781579195983,0.0008093200709042076,-0.00035875475374976516,0.03434986918181548,-0.12511588208866445,-0.05041532182003272,0.0005536575392878846,-0.16435862958025746,-0.015091201554142604,0.011774583827997754,-0.0912791574070449
FASLG,,,,,,,,,,0.16075391906627784,
CEACAM1,,0.07060127979708687,0.027079751785790758,0.026614691092307925,-0.03718404303677114,0.016458446330103772,-0.02364305225770949,0.03331400973406897,-0.010169512131463236,0.03873973847099732,
PDAP1,-0.0033911973551412687,0.05726695136177131,-0.07427198213088156,-0.05431727821335996,-0.002934911610745292,-0.05887896128451348,-0.057692013392337586,-0.01884923496739201,0.025434297760872533,-0.04022175705288895,0.051219861551607855
QDPR,-0.03199031446957336,0.012337658098603535,-0.02931741627891746,0.008698320015770129,-0.04271407180573335,0.03280727873761766,0.05446224891207046,-0.13812610485239143,-0.033861280193953534,0.02431830920957678,0.016146753387023195
POMC,,0.0024484527665026615,0.04735293963794235,-0.012062666873729866,0.019986261789156863,0.019431296194389137,0.0983767598022753,0.048882605799582333,0.052654974248321516,0.013482327722209145,0.043577666847389125
CCL18,,,0.04888322158173411,,-0.026364097877384106,0.07798204712868889,0.03987803406201711,,-0.07974552371092461,,
CCL17,,,,,,-0.02044924325045622,-0.034130230231439886,-0.03732329119955581,,0.16647770860215952,
VEGFD,,-0.02623205675171372,-0.05340080333779675,0.009628922299315768,,,0.04671591704859625,0.12278356112039347,,,
TNFSF13,,,,,,0.007267023024196268,0.039197802350558496,0.007560485327212443,0.0024438294383911925,0.05927961732483442,0.013633983429174431
WNT5A,0.009962229130973723,0.040421742579706495,-0.006195543597722606,-0.05348050674035272,0.11366963230848116,0.007664418137356728,0.04481141002732717,0.0400337382182066,0.03167783323754753,0.11621259192892536,0.043689510322967806
CXCL8,-0.016733578440321403,-0.048808616721223386,0.11295537039690538,0.007053533951465705,-0.04641814516194557,0.017088667041004122,-0.045045001791413034,-0.02269198315900591,-0.03523688557775559,0.02184843068824327,-0.04277194357531821
GRN,0.07705013210507333,-0.0486593668263237,-0.07610394326841334,-0.005006846021042513,0.026453847021440102,-0.023673699692040296,-0.015160414828944833,0.037599430151736196,0.036991946581772156,0.12189874423061303,-0.03131764799784881
MIA,-0.0028971186804924868,-0.026491611841072012,-0.03945687861263524,-0.04730769916981144,0.013584455585304736,0.10393277020767154,0.05211719917247215,0.06658110689937739,0.025437489353842716,-0.02761552941771547,0.07895560213282923
COL4A4,-0.020782093178986223,0.030411199089312058,,-0.024199454815808458,-0.010660506937102458,0.07018818725157047,0.08151489727097495,-0.0025899182034063253,0.007226636703897838,0.027395219473287095,-0.03133065129180843
TAC1,-0.03017184805578978,0.019100612208570334,,,,,,,-0.027688301760750777,0.08002026857235114,-0.005226196801883522
