,MGH258,UKF248,UKF259,UKF275,ZH1019T1,ZH1019inf
BMP1,0.012776580872731402,0.029384237285122343,0.03401653179299885,0.007578176874751027,0.1542682354511204,0.04464839511959677
NDP,-0.018525841598748777,-0.025263231625025816,-0.03630015793602037,-0.011510286821634196,0.026060081319975885,0.038577036273759004
TNFSF18,0.051534016211156344,0.006398657879098761,,-0.024982161408209084,-0.05292237893879931,
RTN4,-0.08036867498206125,0.02850222713996668,0.015451123481261689,-0.054248390506947346,-0.06143669188831886,-0.08863091429647685
HEBP1,-0.05253085952550273,0.01796193407880415,0.0009951469895549037,-0.00018403200797918748,-0.03979531331629654,-0.018807211502910235
WNT7B,-0.02158752277239183,-0.030999629013502065,0.006174487181408831,-0.040989624337033716,,0.003330957617643333
PTMA,-0.006223619398145816,0.02130270126871735,0.026961922268441147,-0.024519143320233902,0.03059324422001197,-0.16671815575638513
FASLG,-0.021587528875129214,,,,,
CEACAM1,0.11785530695999516,-0.006644040127435573,-0.02430815120295386,0.06337400522410387,-0.03721341408229142,0.053694437802197036
PDAP1,0.02324065891435074,0.06906214387477724,0.03700417865451417,0.042510443583449756,0.006448514561785441,0.02378410404734423
QDPR,-0.09155598597188785,-0.017824414140961545,-0.07759039511794602,0.035358872420406966,0.07327137401825633,-0.08109436821060997
POMC,-0.014990069597045099,-0.018750672778337925,-0.02263673666753623,-0.02898732455529693,0.01517501079713605,0.05121415783233109
CCL18,,-0.027848140130443687,,,,-0.02297413105114541
CCL17,,,-0.014089305090690465,0.041489415318168334,,
VEGFD,,-0.015082197925916257,0.056561909327767154,0.044120640260272036,0.10946069719445589,
TNFSF13,,-0.021015106857286244,-0.00971848732359922,,,
WNT5A,0.03728245326251826,-0.025491181678662773,0.01882461322841006,-0.013155590235249523,0.022518607417560968,0.024998819941900667
CXCL8,,-0.025991698067977367,0.10156342321608351,0.04769192263278211,0.07750623200119035,0.01616877305532654
GRN,-0.07035346523025193,0.025476548723949315,-0.024220577931320302,0.031133183076529642,0.07826604010368615,0.026225742071353256
MIA,-0.028256213326692644,-0.041848953109113,0.008703561602709697,0.02671873873622993,0.018364789886541725,-0.01823509613734946
COL4A4,-0.005734220363408357,0.06512025083173667,0.05907832063167335,-0.006414112132263835,-0.03961360915629621,-0.029046479991054155
TAC1,0.06355207950983431,-0.051257358372670495,-0.01306922089384438,-0.0381666287317142,,
RARRES2,0.07385531083184588,0.026116792406610172,-0.05980023413781705,0.10448435079441643,-0.04297888368815588,0.07647010810559816
FGF7,-0.00548012175723597,,0.009430002354576465,0.0478358964802157,0.016297478692118304,-0.015926029116565578
HBEGF,-0.021501062107343597,-0.01458738820130399,0.026684217059109352,0.11665332760376781,0.09031237848038554,0.020952485711106764
CSF3,,,0.01785427057820475,,,
PI3,,-0.029297417543665924,0.0807725806604207,,,
PCSK1N,0.04609088845926896,0.05958467294823302,-0.0971177071922411,0.060966477965178255,0.10176572035685884,0.014266889789848873
NTS,,,,-0.007222310184962833,,
SFRP1,-0.031410382720586945,0.07970623703568556,-0.012293463293856681,-0.010115249966115973,-0.04952529224684137,-0.009547085307043162
MICA,0.035129483220774464,-0.00995251856408563,-0.011687411761540267,0.04770025972373028,-0.11626474992090571,0.05697457378381599
TG,0.05275421772999703,-0.01804865140620913,0.11481709978901108,0.02957863642846799,0.1078382360875375,-0.03740725665385351
ADA,0.05511482829498612,-0.02541036783414723,-0.012047995470901907,-0.05725519438632744,0.023719259856651322,-0.023743173984501563
LAMC3,0.11152636512022181,-0.0067197256006383144,-0.042585748616916067,0.009754081468292606,0.09794935028857435,-0.06410302289990272
CCL7,,-0.017713769671606053,-0.009591726699104774,,,
NGF,,0.016564180608461813,0.030286975324619353,,0.051411719673184884,0.008583381506137104
TNFSF15,,,-0.010680856804796603,,0.05549240338981808,-0.03447953273884608
HMGB1,-0.0007369548122960475,0.03143662073841812,-0.08186798671067136,-0.08550226609567949,0.010554350433962717,-0.07529998336841967
ITGB3BP,0.06483551241620043,0.03804213125417218,0.02600600946645354,0.057094130757822874,-0.07060354328400636,0.013761198805212019
AANAT,,0.07029875762131324,-0.009718488360834871,0.021741624000534965,,0.12732928298547766
RELN,-0.020726477927307318,0.08818591084647381,-0.01686911938712868,-0.02315203679263649,-0.03824012728959203,
