,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,-0.033575539523899904,
BMP1,-0.045652971312844765,0.06954796218119398,0.0570537872199915
NDP,0.001286126903688832,0.0506322403120866,0.012700409443320513
TNFSF18,,0.043699326966974185,-0.007158535799354987
RTN4,-0.006895769653199682,-0.016287437660591965,-0.07319331014064824
HEBP1,0.030276404152569925,0.056827573896235044,0.08938448033592784
WNT7B,0.009158688934716238,0.0034353737140180246,-0.0013808839261806936
PTMA,0.021832941757596005,-0.10143132798399619,-0.037131193365875774
FASLG,,0.0007257034412798955,
CEACAM1,-0.017930268244172303,0.0009826601876798714,
PDAP1,-0.015638070736408754,0.006924516025272139,-0.006761205892970854
QDPR,0.04132297019458737,-0.005700454301389367,0.004285099807913164
POMC,0.10100016110213501,-0.003675083153286329,0.038974232825553595
CCL18,-0.01971483618895829,,
CCL17,-0.012720657469862598,0.04111043420239286,
TNFSF13,0.028817150417312667,0.03177974711461681,-0.028304855706639643
WNT5A,-0.006068110169919258,0.07844224449845767,0.04391781139239857
CXCL8,-0.07125599050877243,-0.017425252646931608,-0.04145630716977287
GRN,0.011030924592443965,0.07564179895242594,0.0063676831269976865
MIA,0.037543299673681446,0.05111916586321491,0.09374917354024839
COL4A4,-0.03361157495431577,0.02331387817697849,0.015223085299792966
TAC1,,0.013725951152352086,-0.0008341594996768038
RARRES2,-0.04332216254909577,0.044328263028422854,-0.06589548388684892
FGF7,0.0496213208802803,0.1104522276386839,0.088212821178454
HBEGF,0.018541215872974703,-0.03234231917762555,0.04152180118725856
CSF3,-0.06051181241248279,0.11333697690273724,0.026681968012164364
PI3,-0.04878540241813816,-0.060375985808567005,-0.08079196571489092
PCSK1N,-0.020378092684613505,0.0468068992408354,0.028379931977549157
NTS,0.0011073844867675643,-0.04115152935800051,
SFRP1,0.07241310393399313,-0.02890182362991583,-0.04151493911795115
CXCL13,0.06029180021524506,,0.04884271365309546
MICA,0.019525823307408787,0.10269733863687913,0.07817034551519748
TG,-0.016902573430808466,-0.022268143596923234,0.09556109835740671
ADA,0.08450236965547753,0.05612905058670649,0.05834533717241069
LAMC3,0.01415317554601091,0.06793352669993183,0.08628648984186209
CCL7,-0.01906533342786675,-0.014253061129939064,-0.04745579528611158
NGF,0.11463724466295647,0.047768821814577735,-0.03771232987691769
TNFSF15,-0.018586559239868617,0.0765318550507604,-0.03682847499931727
HMGB1,0.04517332929246904,-0.08031820176040078,-0.004500288842637474
ITGB3BP,-0.018816663461894333,0.022677536936326112,-0.04780117458448902
AANAT,-0.016725676984658495,-0.03081022051907476,-0.02031850479765631
RELN,,,-0.02888149558932539
IL15,-0.015961708724572757,0.08100634522438488,-0.022301215600953734
UTS2,-0.014243138064397906,,
BSG,-0.010145485557467498,0.08604533669186204,0.07204296693261375
ADAMTS3,0.008900132269597495,0.07589384360454365,0.058811867580451864
CD34,0.019564817440225445,0.03839007613045187,-0.024104740651898122
PLAT,0.03702234323988515,0.050923063729526014,0.1207529904803434
NTF3,-0.0008936201622622589,,
LTA,,0.05340330762566658,
CKLF,0.041564112185093476,0.06097065914850369,0.039269458786531396
CD24,0.04301172851143771,0.05466400342093377,0.005470960121926576
HSP90AA1,-0.12631376863204558,-0.15379448833659726,-0.06710853847641626
BMP4,0.03368692196766765,0.04972202110684574,0.007219959818589906
SCGB3A1,-0.02901824346198536,0.008470273180326532,-0.027315509500353326
IGFBP4,0.0510033685138734,0.07541369537684962,0.0660443221367217
RSPO4,,0.15159616412776725,0.0927667642466594
LEFTY2,-0.016184309101742324,0.09552659635884748,0.04302294560979307
PF4,,0.033678937990627524,-0.020070245662850872
ANGPTL2,0.09029087397562384,0.052142735883573064,0.04711025873151174
LRIG2,-0.02006243047688012,0.028665183077362336,0.036433834143455274
ICOSLG,0.0899801247744473,0.08018792813593775,0.00663074102552418
WIF1,,,-0.03682847197698776
NPPC,0.05156541951001864,,-0.025835946822346315
LYZ,0.015379577382945942,0.04518149523742198,-0.027997234811735335
EREG,-0.03869920824147463,-0.0010654692080971722,0.06202794304271832
SPTAN1,-0.041706600516090674,0.049565422598864095,-0.0103881902361548
LIPC,,0.12279964948985214,0.06992311956577514
COL8A1,0.029063096821992845,0.09711399872732722,0.016493609418506795
GSTM2,-0.03640703496152354,0.0404241060633369,-0.037727352431863766
SPX,-0.01922254739520308,0.015144005243371549,-0.049621708442320486
MFGE8,0.029898808775950685,0.07145675784581887,-0.010811517127101935
TGFA,-0.005649747522531431,0.08677388309633309,-0.04209269033124966
SLIT2,0.02833852699351092,0.03678856818109164,0.006769887804120495
PLTP,0.0617771129891357,0.03976627888401355,0.04791579100311355
APOD,0.09498755725631579,0.037436746738425175,0.03167915503235899
B2M,0.021673652249742263,0.004772527303200464,0.07573831998826654
OMG,0.06610657288607447,0.08522966944294218,0.003750002985745989
CXCL3,-0.07666990679214425,0.017062248599966908,-0.07000185450365998
CXCL10,-0.01968740261000717,0.09016450665085919,0.020880628628413223
RSPO3,-0.021438131525241856,0.04382814733334589,0.01190742725190688
CORT,-0.021739525505278582,,
NCAN,0.09437027617431819,-0.009114054027502361,0.07568064229422825
PRG4,0.10220462228866653,0.051784552573393906,0.0430343373276629
ZG16B,,-0.014062182442310393,-0.017121977951027507
TGM2,-0.05795079818755659,0.03549371129099249,0.0029866865521009007
VEGFC,-0.02453598886507964,0.07751181728300899,-0.01982850296762562
WNT6,0.09954729987675144,-0.03479702860530221,-0.01769214018747347
NRG4,,-0.0018858766432421372,-0.02660626524044788
PMCH,0.02602229104988725,-0.03558631037962456,-0.034073151743739545
COL9A1,0.09849469170099029,0.09633733925109497,0.07428839071866046
GDF11,0.01779866697142725,0.06470916348101471,0.04264440182082774
RAET1E,,-0.03241740535648465,
IL24,-0.014448216492650936,,-0.02974491943595731
SORBS1,-0.02394000760247578,0.06656249902037675,-0.06350929223273485
DLL1,0.033790335682635,0.028166307344456062,0.04790836351658903
TLN1,-0.026024343631082438,0.06405833926975596,0.011188185000424348
COL2A1,-0.03158569530491128,0.018399702340646463,-0.002872048835697
SHH,-0.05787461191203093,0.022698285526388053,0.04159253353746436
PON2,0.06257013925706201,0.053158598604054474,0.043980002726255185
ICAM5,-0.029600571387474416,0.002186899415519487,0.07364853060252465
HPX,0.0495695675978697,0.10013999125493894,0.00912952204291405
SFRP2,0.0276883985488265,0.0740770012271993,0.013899164681463716
CFC1,,,-0.023542358440643514
CD70,-0.05543352574246909,0.033557806629158235,-0.014625053122492116
HP,0.014841771458313124,0.041520083728853685,-0.01905632318887224
CXCL2,-0.014941698828918255,0.057486017015940256,-0.011064503397013602
NPPB,-0.0019461083745488683,-0.0299763540458657,
CCK,-0.02532511643024369,0.004954838876675387,-0.019500067172890892
SEMA6A,0.04059913930619201,0.026683114863657504,0.07474159911783171
IRAK4,-0.027816459371513256,0.06144549640131966,-0.03019306984344931
GSTP1,0.02898970800736108,0.027472927350947102,0.0705215647867593
VCAM1,0.011287730379708144,0.027920366927794135,-0.04512014919070697
NXPH3,0.024938128802051023,0.05347949220513631,-0.009518899890525059
MTMR4,-0.000950695407123666,0.0560849268019801,0.01592729739869382
LAMC2,0.03004345829721809,-0.009060844664119962,-0.02562084381972294
IL10,-0.03380929346950431,-0.017301931477040428,0.04612155199595734
SEMA4D,0.0014080865091237735,0.08923391128826604,0.03174368284226741
TRH,0.006349291436745033,0.08552176533841545,0.10777102555144896
SEMA6D,-0.0353331259675411,-0.023566533473110354,0.021090463018783617
CEL,-0.021879615404852035,0.06071496724961728,0.047263607966871665
PDCD1LG2,0.01240195942154585,0.04338554640731765,-0.021966883082179485
SPINT1,0.07458586368265938,0.059170605542802575,0.11766453092644
CTHRC1,0.07528765432596383,0.03820176125607918,0.055652141286438084
PODXL,-0.005110779458035908,0.0159984164399176,0.11048876395542954
JAM3,-0.015387261653129591,0.04466181753287637,0.06527771889988386
TGFB2,0.042867203323369886,0.025059966496917697,-0.04034658895985775
COL18A1,-0.023648937602210984,0.012018935428896036,0.06386207365925707
NODAL,-0.021598642225572874,0.022267686738321496,0.012395614827460329
INHBB,-0.06358532580223203,0.042482155929403694,-0.007276623582017569
LCN1,-0.022973647156503216,-0.009565228059875017,0.09154361968736552
ARF4,0.020103142875870533,-0.013807785284273358,-0.007401807019410974
CXCL14,-0.016230016798546798,0.04009471283673015,0.04274635166357134
LIF,-0.03262824343483079,0.012814817614262036,0.0054337188127660035
IL17B,-0.01999193336519211,0.04416404459037748,-0.02031850071714454
MMP1,-0.03158569830347986,0.018786888171420154,0.033846012870390206
MATN1,0.031077650771064426,0.025823823825465192,-0.018516453732742588
ADAM28,0.04919928765605963,0.07868905091097635,0.0736700000635893
TCN2,0.06377267756094146,0.03115004215175569,0.011317623970758615
THPO,,0.014094642316478336,0.04609148817688209
CUBN,0.0003187399584235434,-0.005476085189860853,0.01112092249373677
TIMP3,0.042016116989617,0.06333071340875793,0.05255505701870385
PIGF,0.06153024952620094,0.048894513751073364,-0.031946323559731704
CRH,0.04151995305909746,7.453384112070813e-05,0.023799018347766546
BDNF,0.023235202514259153,0.07247992213579361,0.05829070527075892
CCL5,-0.037333084027090575,0.07590410417674057,0.025495611711087444
GAD1,0.06350749740863738,0.028631109734007062,-0.04051699232207278
COL14A1,0.04460761822510202,0.09724752863892566,-0.002688526999038789
HLA-A,-0.08188086067862509,0.03172614782650221,0.001526806860186327
FGF18,0.0501920207913714,-0.006699314143950277,-0.025419748382660878
ADM,-0.07272383049197555,0.013991734596011706,-0.0605536266603468
CCL15,,-0.029120054114546604,
GNAI2,-0.044925326265428,0.038168305496375315,0.006104610842528041
HDC,,0.06723175402671751,0.034959173491673025
COL11A1,0.015389768478213436,0.03201435665678321,0.0029995534222750477
NUCB2,-0.010418319684293537,0.012059830364623943,-0.04909962387241318
FGF16,,,-0.018245549766437063
CXCL1,-0.06310844800919288,0.02938441974365864,0.010246197734393529
VCAN,0.09027167121059612,-0.03332236406291579,0.02116264429928337
MMP7,-0.008029330674233429,-0.017369134449716238,0.028839245325340393
PTPN6,-0.00019577496948578808,0.1232791884731566,0.019832684151789712
PTGS2,-0.003237192149980222,0.055238911309604524,0.013054648233726224
XCL1,,,-0.01731531175420307
CD58,0.08112387110798566,0.11487180034251139,-0.007277238343788069
TNFSF14,-0.01890696001593655,0.00661521972413605,-0.004152409591931111
CNTN4,0.03609960679359528,0.05822443756675607,0.05284215841567954
INSL3,-0.021026897585329746,0.027482598143649943,
