,MGH258,UKF248,UKF251,UKF259,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,0.02158420884062645,,,,,,,,0.13862215080977464,,0.04276204956460502
BMP1,0.02724830293323097,0.08005856030226967,-0.021920357760346267,0.04190947339338487,0.10544380056456333,-0.04546223901075364,0.1626253415653487,0.06098775855924433,0.13098787210285462,0.14894248959777573,0.004700172852665133,-0.003561211549079664,0.052317260228023924,0.002112178742045499,0.1219288258023435
NDP,0.030313862294250746,0.020511186536724953,0.025012489699572413,0.023479875928415644,0.04446934029663513,-0.04165312286420716,0.009627104774269072,0.039154780214427864,0.02591814424980419,0.02727514929971336,-0.042390216394596246,0.029738355554538305,0.0431258348582381,-0.0220908680804989,-0.016150528376430197
TNFSF18,-0.03477058618792396,0.018477150382236438,-0.024170224006156735,,0.054201474150094936,,0.04225065600130308,,0.10654191161869958,,,,0.15374016524882037,,0.02997957786209511
RTN4,-0.0747986678132145,-0.017923505385339378,0.01795702867196469,-0.022194358199637082,-0.1546494086602078,0.0034189500426208557,-0.08790166430852125,-0.09191537083760803,0.06519164755724241,-0.09579030866631165,0.005655519584521588,-0.03492839773995956,-0.037417831731499526,-0.09141000266898164,-0.06865812987164063
HEBP1,0.04688013544857423,0.03365557724570874,0.012821736513894498,-0.012368584834554648,0.035519062144265826,-0.035994353997087954,0.029213333773405622,0.0712700461965655,0.04090242358115014,0.0014230651785833866,0.009236245714066598,0.05778312885670274,-0.052962231103753865,0.04142878911495389,0.03625043512428404
WNT7B,-0.015061276081919832,-0.0036048208691523732,-0.015013793905736181,-0.027253900677192473,-0.06381455964443937,-0.007856178182558172,0.0007556568877256725,0.022175989404630482,,0.03795278807264691,0.10523580634861907,-0.011522239078640152,0.004935701164272661,0.016915578283635425,-0.018824079890848885
PTMA,0.015835985100630154,0.07357859087508385,0.01085438607182553,-0.007858452734667787,-0.052509680748643935,-0.01960069262948094,0.0583255468265793,0.10865215332152116,0.013663511646140686,-0.18263328087914468,0.00230003653423815,-0.00995654862726645,-0.0849351988797078,-0.007669847981028555,0.03915315261292362
FASLG,-0.030631806046048163,,,,,,,,,,,,,,-0.0007866148043718449
CEACAM1,-0.01973810718395626,0.06423710212821272,-0.011522183803755429,0.017737561029159618,0.059511596542117566,,,-0.05071968104475644,-0.018866065704494953,0.07421135397137842,-0.02008049699992588,0.07941116325098348,0.027926418039908942,-0.01351765766452986,0.0416700777427617
PDAP1,0.08112213793969288,0.03309217137272033,0.05680751554907706,-0.09127702480451576,0.06992479668300705,0.03722867980292536,0.07372863082994664,-0.1290335559598163,-0.044420133792901294,0.03015262290789024,-0.0033394029127945075,-0.03317598412529223,0.0341340369857542,0.0013550949991550669,0.0049025059760587734
QDPR,-0.028387601142702997,-0.09617286229030406,-0.03430680059019629,0.025817934760788416,-0.14321251542955793,-0.0043583041285057906,-0.03982768335066289,-0.10856684174052386,-0.08007566391382105,-0.19133987726220514,0.053419766826335265,0.013836836898740832,-0.04550651845169215,-0.04556784021259199,-0.04819928089634558
POMC,-0.01782600829452847,0.02637179058932527,-0.020473082340139608,-0.009934530441376016,0.026895541971979974,-0.009973532164503895,-0.029383375219030613,0.009337229672043954,0.02531112267206612,-0.027550325839881675,0.016888373241001474,-0.027873040708622555,-0.015039067799496668,0.011710939989184313,0.036968559840802016
CCL18,,-0.029457561616477338,,,,0.08272404578123017,,-0.043489474877481483,,-0.043945724473376344,0.04841506312713753,-0.020503334306979624,,-0.046551375588747355,
CCL17,,,,-0.01824065725413607,,,,,,,-0.014246140698072542,-0.02438621165947677,-0.012203324659562687,,-0.01916608301577213
VEGFD,,-0.029457570970632858,-0.01650321661044683,-0.020322106491789373,-0.007583956415146775,0.20259554099248211,,-0.02516527350593123,0.021138819080736972,,,-0.016893073170700663,0.05345627756493604,,
TNFSF13,,0.14852434858436844,,-0.012581997135939089,,,,,,,-0.027336204196439694,0.03689858344076905,0.08512065286418102,-0.015179423569579693,0.04856785147318627
WNT5A,0.039016521304275686,0.023060839913896698,-0.014410449919937417,-0.01544935520621412,0.13257996795102686,0.024265800339208127,0.09724003319414429,0.003615022977036467,-0.015517777456499024,0.06511297254584825,-0.04090405812013529,0.07638294730094476,-0.01510009484773524,-0.005187251687407712,0.04910696178672453
CXCL8,,-0.033103909020748154,-0.015452633857178074,-0.00959447280988633,0.037367745510921195,0.06558282149780023,,-0.023925770245547227,-0.027672098251952,-0.05870629475008036,0.013704543611091387,-0.0680773768908995,-0.01606268419070958,0.026186722942084566,0.020634679308836
GRN,-0.05981543798979939,0.12735779818598336,-0.004933456951356182,-0.004994884877287025,0.11833415063745475,0.0058702660458734394,0.03591227211485211,0.05990524055624063,0.030224207548231682,0.15598653707920931,0.008160242485424055,0.04647562701338005,0.002190605912933773,0.13248127275851057,0.08454913712798712
MIA,0.08889346399564996,0.05888228103313942,-0.014676806736797377,-0.029590983923533258,0.0037820790317703305,0.01951486234589358,0.023560491481413908,-0.029630159511718893,0.06954098497641101,0.050390105203149155,0.0036781425876057793,0.018638190245856834,0.06099266003779246,0.040507252868993704,0.07606088633294474
