,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.05202981460981688,,,,,,,,0.014863060289282568,,
BMP1,0.031827919328122595,0.06622625203866457,-0.0161451025145037,-0.034617661547656255,0.05597705736395653,0.01647119370181587,0.05547752385619589,-0.03787004738791974,-0.053433284429929756,-0.006519286596873481,0.11085476772047238,0.07683617085832595,0.1748375577584598,0.14441718966702968,0.08888314518170987,-0.08058537018462672
NDP,-0.08485697096536725,0.00540894440867874,-0.017876083621314116,-0.03560927034294115,-0.04393292402709508,0.013725565896093268,-0.020419706057406974,-0.01965901494684757,-0.04879085749361924,0.02323493177126216,0.04684350379512932,-0.03771282656886934,0.006701282670598224,-0.07783876871125645,-0.07680330354401976,0.04967126672850555
TNFSF18,-0.023606104293977876,-0.04264747930245141,,,,0.039101687357081846,0.07153555632568764,,,,,,0.11295001552730256,0.018516810670819416,0.05551108632924509,
IL36G,,,,,,,,,,0.11042619494170523,,,,,,
RTN4,0.01635158316563011,0.014958737943022578,-0.05808683489740959,-0.05765737269930747,-0.011246198034585401,0.05894260094907682,-0.02186530655540439,0.09581691782397082,-0.013405657361265803,-0.0035905946419569337,-0.04123842324100047,-0.008000877427355774,-0.07344581622293095,0.004359418801267016,-0.1371621251848719,-0.07322991538953177
HEBP1,-0.028059722704594562,0.022308533849850085,-0.009841544792460308,0.0008851993033740024,-0.012969428317554656,0.000859725179628089,0.030727245740691925,-0.032107607927042335,0.013939744268534903,0.03855914355930893,-0.021012855404975314,0.030092027760951122,-0.0003215714874371032,-0.022169155110357434,0.03597652254390833,-0.04622657514813332
WNT7B,-0.05509690983156213,-0.02276166425744007,-0.029764591563050027,-0.005674382640300599,-0.055018829370696666,0.07175486003555971,0.06460290123397289,,-0.0067135239150060855,-0.005615875883280494,-0.011724632803437433,0.051530201518687965,-0.04582702656793136,0.050375599540584806,0.08916832796393788,0.12096355320593906
PTMA,0.09842082625032976,-0.07594674504206186,-0.07694909918994818,0.02751358635430412,0.021743117643168462,-0.09208575148952763,0.01764741823731446,-0.11205983111230321,-0.057331335569792176,0.004262992397277983,-0.06703184761450194,0.0013833412839206517,0.19739810170266456,0.25114312906179015,0.09057808328073783,-0.09360410180856372
FASLG,,,,,,,,,,,,,,0.10728513818446407,,
CEACAM1,,-0.027143951792112566,,0.02536438637714833,-0.023376154322648904,0.023440835910631463,-0.03384496939022501,,,,-0.030790753405832295,-0.022723271091871406,,0.006784801289206854,,
PDAP1,-0.03625646837887815,-0.0033158748262767422,0.09391402585430679,-0.004828615798425291,0.062428982990341164,-0.009341201523402943,-0.050873480637623314,0.09008330807232107,-0.08669247598558241,0.005929872711367936,-0.030436411728242133,0.0024617575257824837,-0.06057611047554908,-0.007434355214540817,-0.014447046104352665,0.06505379338195952
QDPR,0.02696860819983103,-0.12054255541997402,-0.0178766081303253,-0.040470179324793104,-0.07257433365340556,-0.02763495316429958,-0.10499737061340872,-0.12382814553151895,0.0030517099286896166,0.03388839175789428,-0.06228871349681384,-0.011191796184816095,0.032011147471403135,-0.011883321415093639,-0.20981444060496499,-0.029394350413066966
POMC,0.05427957898351062,0.04681020101252599,,0.07687307595434997,-0.04703835030628324,0.04986271516968363,-0.001895269965558162,-0.01809182333342404,0.07234886786840575,-0.0253400332830189,-0.07393070676627503,-0.0532325112058644,,0.07887440668890695,0.03616892887538885,-0.01357309073245499
CCL18,-0.013015248377237143,-0.023381998249674435,,,,,,-0.055087406021041035,0.0023287035685667094,,-0.010957948031219014,0.0780024232737806,,,,
CCL17,,,,-0.02164379638392405,,,-0.026838944814325107,,,0.029913903086860785,0.3631823916751253,0.1857318283358007,,-0.014401263965349265,,
VEGFD,0.08726592893688744,-0.01367592094267886,,0.062833618535577,-0.022364980941098973,-0.033189224311484085,0.01004604899035871,0.005892386634228749,-0.016786413011463355,0.025202461428604363,,-0.004928340554396613,,,,
TNFSF13,,-0.02556172667400917,,0.06297131954932812,,,,,,,-0.041916408865137124,-0.03565516164314143,,0.11993368226603511,0.021632757888353192,
WNT5A,-0.002270030599070577,0.06705700921380457,-0.027009330021579347,-0.029063178835758766,-0.09771921157046881,0.020976049784679592,-0.03642051255349999,0.0007714220539473545,-0.019599863521914937,-0.005740672136323923,0.00736039445455281,0.020218465419008784,-0.0902017391813696,0.09892132560357374,0.19411456213714,-0.05396786034108285
CXCL8,0.13740777917790895,0.06382819623009965,0.15525496700215688,0.2003401922648047,0.20153346405743083,-0.051092468433060416,0.15202946072993997,-0.05795634681195193,0.017963064802905767,-0.04862788085992254,0.1936859822328041,0.20757638194535555,0.14512599654379654,-0.0249324005224298,0.25970859130519075,0.07007498892930264
GRN,0.0217199494134415,0.09379409170596847,-0.061968207508412594,-0.021257139337027827,0.08066118199082369,-0.011746174294200247,-0.042676494098924767,-0.055048607173273645,-0.01939446596477427,-0.02598614710232793,0.05193132401457325,0.014552954774670938,-0.06481164383922267,0.19806238207958587,-0.0453280686593561,-0.050464527013006084
MIA,0.0037944438723559377,0.022363052760429873,0.0625916131418932,0.00608599783171563,0.047393347350075714,-0.0021734727462354828,0.0012188578732649066,,-0.0050575120202712865,0.027951679493705906,-0.057530718617339265,-0.1009144272993785,,-0.00750724627298507,0.1876319404283249,
COL4A4,-0.035907078613418596,0.01177495038443768,0.03347248515782164,-0.013043975332294256,-0.08385449291464157,-0.009445896053791664,-0.007433470151429963,,,0.036955492946949706,-0.02517471845189073,-0.03638351000404644,,-0.006930586146770118,0.1152090914492952,
TAC1,0.01301423644818782,0.0036961202465345287,-0.017780176456240634,-0.024034744509679865,-0.07855392742412824,0.044154554964893504,-0.10864716179840139,0.036008065537632916,,-0.024285845769475158,,,-0.08558114428178942,-0.04081232988334418,-0.015156201134236498,0.12538313843783977
RARRES2,-0.03731016555982948,0.05928753656550889,-0.02021383116274565,-0.030866087254475334,0.09369280187835241,-0.007949909384414937,-0.007157590190239925,-0.1303434794398407,0.0826579439752356,0.03240179583824091,0.1485884432230805,0.11895501552737259,0.08988342249490586,-0.019229936388829496,0.17524325007228053,0.07819801742624632
FGF7,-0.017473859944526132,,-0.010307401564344341,-0.007963148339931196,-0.024524188732829338,-0.018652628719578793,0.014528636581762268,0.05616308733527764,0.007315975206594027,0.024403421080662804,-0.03829909129760417,-0.02799681045841614,0.08821157589556185,-0.026406771837112302,0.05777062382201194,-0.039513272988604964
EFNA2,,,,,,,,,,,,-0.021596948461598767,,,,
HBEGF,0.021185498200534943,0.11489605302856154,0.012520139925660305,0.07356370246465026,0.15632293113680565,0.0739352351450899,0.10909888730763531,-0.016152178097594186,-0.10102674782298572,0.02042700064252621,0.049602557020800374,0.012364618344522313,0.143695383167667,0.04957170080906481,0.2226060572481269,0.07815575265412868
CSF3,0.2747555417764924,,0.16858954945340593,0.08637985517455382,0.20814500006419173,0.07673088983465146,,,0.006696351521942064,,0.22330120810262746,0.15585403435950976,-0.041188079796226046,-0.029201820350404726,0.11391503177650805,
PI3,0.02625172583553408,0.003517190954123141,0.21016229058477914,0.06692721134821644,0.22191694575514065,0.115233975823709,,,,,0.14898778147084663,0.16622257402814974,,0.015264042044788895,0.1247851305241678,
PCSK1N,-0.1065839495436534,0.004805184732327921,-0.0642423208105933,-0.118067550775659,-0.09080419968665411,0.048567844302985566,-0.05233505888270751,0.10449236905180195,-0.03166683820939008,-0.002363988386284482,-0.033716988773426784,-0.12268840770597524,-0.13090648467858795,-0.10729182409245289,-0.1932677870264609,0.06116471114947772
NTS,,,,,0.04609505693620681,-0.02071862493986446,-0.014316222825237802,0.04359571074660933,,,-0.05096105941301053,-0.026311783389573788,,-0.004648238232380598,,
SFRP1,0.03702493721134075,0.059194792261090645,,-0.018885048955415783,-0.02551457015733795,0.06828184409643608,0.072683949952772,-0.026576616540670957,-0.023009256058797993,0.002892185896003026,-0.0013643074657698306,-0.028771278691877813,0.1060471931146661,0.012036516913633239,0.022752275446900342,0.0516636462481978
CXCL13,,,-0.03802682260246354,,-0.025285264861867218,,,,0.029545325306606654,,0.0848577946824195,0.0829005600969495,,,-0.0017795770311531834,
MICA,-0.0955895048803563,0.10093066541875668,-0.02526385091043578,0.05533425680456303,0.09314620509326466,0.0035848280024200828,0.022585775240235702,0.01638779710111186,-0.0464936576471877,0.06874473872355302,-0.016586290492696384,-0.027766591665085084,-0.02338549092335086,0.08131928451137722,0.07267133902894807,0.0009569945308941898
TG,0.01234757173860436,-0.034019222050234395,,0.07785123481711018,-0.05411542417880332,-0.031867955239503414,-0.027039221221003235,,-0.02368952640140303,0.0011797053577777424,0.000930435055799056,0.083042148096758,,0.027577828862163214,0.06934103952277171,
ADA,-0.012430858866739648,0.022982088023297032,0.02370125257445421,0.021128359075646207,-0.04425267314856669,-0.029958901136847044,-0.026747141194322373,-0.0522292924943048,-0.08050040542851011,0.009487896911556633,0.03349632056183577,-0.04534877759180066,0.0029620423683037835,0.2076059014209949,0.005371015433290492,0.03203403082589486
LAMC3,-0.01463217346673109,0.07037111857476407,0.11408120978688151,-0.040117977057935024,-0.024249379258852684,0.002281876622882238,0.01744793863513358,0.027714887669067392,0.025990470565118835,-0.005182873560204995,0.03471375951949696,-0.06454526740655211,-0.014617460259188593,0.18800638780203022,0.13018972076857374,-0.04182444922765296
CCL7,,-0.021546144960712228,,0.004900812234674635,0.16831897706160287,,,,,,0.03581733649294782,,,-0.03126600197158544,0.1986054112507422,
NGF,0.033402182979107777,0.13981276470661516,,-0.017014534676438837,0.0500792906414804,,,-0.01910611264037311,-0.05265324357939961,,-0.037812014415441714,-0.021306649139882325,,0.13441694088168524,0.10381593035612689,
TNFSF15,-0.0030315366849414313,,,0.05284371979444272,-0.02482075439496054,,,,-0.016059743936442425,,-0.03191776912783753,,,0.02012756850754551,0.03352638733376544,
HMGB1,-0.024295964636706913,-0.10278458959984156,-0.07261469974061723,-0.09990520440914466,-0.13764395696895732,-0.0966097031499179,-0.06901837996413283,-0.06764095550396444,-0.09484543718191504,0.01382400786856776,-0.04851118628891462,-0.07696447173817335,-0.11543522758538953,-0.03167196646836417,-0.07044632295474865,-0.0654940531748704
ITGB3BP,0.025994346283973457,0.0319835334816719,0.04738508419957809,0.024988270206467843,0.033816701651743324,-0.03156739518021101,0.004687880198038121,0.025777909880856563,-0.04751133250266431,0.023591150102591534,0.01999276561421446,0.00394849723055039,0.11506831718129454,-0.007350679033960115,0.0642168618859746,0.04745525305687781
AANAT,-0.02149727753899113,-0.01999266201437685,,-0.014929407936551219,-0.02236498413382604,-0.006975981838662475,0.02184088866251295,0.09216129637393781,,0.10333954946595116,-0.02872216904772791,-0.029063643190107742,,0.07055064872676074,-0.01868953166477993,
RELN,-0.03566898657749123,0.0027573607392328645,0.042425677136769306,-0.02591410881097089,-0.03416068974421155,0.04111825493270883,-0.03217245571648445,0.015115943052663559,,0.003284059038932733,,,-0.044327035336670775,,0.0019935346868498937,0.005278370166137999
IL15,0.03045695607307312,0.0877062822934585,,-0.012401941662122343,0.044940282065563254,-0.002509731173507636,-0.0022344276497387396,-0.014723298456462718,0.008629182694678382,-0.00829594945806149,-0.0439815151381586,0.004515598435579154,-0.04356265381285639,0.08308230958131495,0.026218571804955917,
UTS2,,,,,,0.07100648822929129,,,,,-0.024459029050423676,,,,,
BSG,-0.04615613332832501,-0.05283786499445772,-0.03853543803884298,0.03593682876907981,-0.005945962838184909,0.05856555725999718,0.12924311517838924,0.09994634348441848,0.00856794415742769,0.03699232426286295,0.05073266342037161,0.034789176044308846,0.011575724713652058,-0.021706549205615117,0.17138661934065214,0.04659153540979383
ADAMTS3,-0.0678535621198874,0.06379053245283306,,0.028135839922179617,-0.05906125849481086,0.02187655222303127,-0.011922531904809824,0.06706286817286537,-0.004957846681157262,-0.028408498224759885,-0.04998991681062581,-0.06449656263345739,-0.006603785520556004,0.03245623064561204,0.043900918018949,
CD34,-0.08160373891181594,0.048550719458345416,0.10237497513216703,0.03000157967207341,-0.0037727973430929838,0.06621515340597094,-0.006558748428461296,0.023217878354898084,-0.07687240172706977,0.02271241774758089,-0.02322345138340197,-0.07697298481853716,0.017703788781034912,0.17810799724951,0.07662247124638716,0.14223249560856438
CCL23,,,,,,-0.027100691133412926,,,,,,,,,,
PLAT,-0.03876421199501877,0.0009314302132543835,-0.07568688255654206,-0.11160693039195614,0.06113169695047856,-0.011705562418586174,0.07353580780253591,0.034137801534198216,0.0006225597428411454,0.06448834095630654,-0.12315178921695476,-0.15712151918688755,0.012043540874024166,0.1256138826235604,-9.040680477025571e-05,-0.021824839458519624
