,UKF248,UKF259,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
IGFL3,,,-0.015533297583693123,,,,,-0.0177712182168439
BMP1,0.06490499870111453,-0.008188331191736734,0.10098960516020061,0.043738499045390095,-0.0001278827060402909,-0.0396901702151163,-0.007608296130868585,-0.031322692169279555
NDP,-0.0021220526318206463,-0.0007186328030562326,0.041423666423609944,0.0012918917498788566,-0.016531822205596507,-0.00022281282606361082,-0.0061977607051906585,0.04182954137596164
TNFSF18,0.04477868015937636,,0.027688310463297897,-0.014907369469885495,0.022338352762053756,,,0.008389352216693239
RTN4,-0.0013618043710231925,0.02771808001356568,-0.11277577474124238,-0.04650313614266863,0.07216253924404471,-0.021506601285579605,0.000857451507279979,-0.014634271633060539
HEBP1,0.05069796682898077,0.01874167917577985,0.04075531579393892,0.010524403751808513,-0.0841374764155411,-0.006859581395308068,-0.015502446562331556,-0.012902457919374017
WNT7B,-0.03066204199526501,0.021293694444467253,-0.022906247069016734,-0.03587568802162797,,0.019267680404211108,-0.030854027996856884,0.0853047201977656
PTMA,0.039964956521987616,0.009014188032296741,-0.08329423850787601,-0.0448951223550684,-0.06974853105113538,-0.0323974102329471,0.03122254770194285,-0.030549796155651458
CEACAM1,-0.025722103499188784,-0.0006596439526694223,0.03765340677771831,-0.02344574073331377,-0.010936506905617385,0.024424959647611773,-0.014947340116727926,-0.026334192069220393
PDAP1,0.010979785656897738,-0.024314350287373252,0.03394186311284291,-0.004289033312305606,-0.056097015859403646,0.0033078831349215173,-0.012649584836476937,-0.04398117323832159
QDPR,-0.024655647850622405,-0.03425293827839169,-0.10078237137025967,-0.026371619951524098,0.010069685336367862,0.04673623052517748,0.04164361614301875,-0.01892413465912553
POMC,-0.012911924706988806,-0.03242054684056206,-0.028538796849185716,-0.017297332685846,0.06413726022589371,-0.005459534760934081,0.04110209406350858,0.014252359515322227
CCL18,-0.03209875483906176,,,,,-0.036277147398112546,0.013244793261584085,
CCL17,,-0.005294824746797378,,-0.018592392104633516,,-0.014063963241857899,-0.021577423844047493,-0.0009104342846116357
VEGFD,-0.02108098989124633,-0.009541810644426487,-0.026022440162907376,-0.019808621221326917,-0.009894287523868815,,0.09475061346168115,-0.024711760766930227
TNFSF13,-0.024222758136414533,-0.013918908812771469,,,,0.08479423277987794,-0.023453922009828678,0.05362951964631452
WNT5A,0.042490606696699885,-0.012629128248448768,0.08496763366227644,0.051283760170284354,-0.04056331143661821,-0.08295063720813964,-0.09041375907605918,0.03713051802870976
CXCL8,-0.010757089439697482,-0.028849376636780895,-0.001578539431701691,0.02582261166331099,0.0015044911771342636,-0.04282748483012767,-0.07666816908166904,-0.03326595357273311
