,MGH258,UKF248,UKF251,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.020044172019953243,,,,,,,,
BMP1,-0.021751594609356436,0.020812502102097962,0.02113906844001188,0.0251172037220697,0.09826077683109613,-0.024576517504594605,0.04327180712648319,-0.03253006038335413,-0.03583060423314126,0.046716405123550304,0.013525684128091521,-0.03027658411324213,0.11524354091111616
NDP,0.025977346517735672,0.051740005451604835,0.03553614444956929,0.04471602892103461,0.035281180722785924,-0.029921364340444002,-0.043009873385477244,0.050525978636283886,0.02037822808187698,0.07185641629807436,0.1186678157261063,0.04270567295924555,0.059254843026664866
TNFSF18,-0.03410118349609416,-0.023357073610243886,0.0012089929194698218,0.13984553157698187,-0.004610885121005122,,,,,,,,-0.03543514295456505
IL36G,,,,,,,,-0.015795203508488252,,,,,
RTN4,-0.08086663332719742,0.045177549008015766,-0.029836528552136088,0.021774727663713193,-0.06512871276155428,0.04021228152141497,-0.0013275244099672625,0.04068212416035123,-0.029038674794753295,0.08026349058089809,-0.03736990618705055,0.16006079643506943,-0.011604317909603017
HEBP1,0.060884187057668245,-0.008256351892363172,0.03355162189917889,0.0073144505366807356,0.025546709472077603,-0.04040218550514209,0.0037759067704428773,-0.0014530585230554517,0.03635971013192232,0.07300802274496078,0.055539976307003185,-0.03034030197170951,-0.06236790250976785
WNT7B,-0.0300420745812908,-0.017251049013314902,-0.01980021573696792,-0.005018180499072076,-0.03315611827930704,0.08940202196765608,0.07146705635738333,-0.017360748917186062,0.08334411552627996,-0.013295673588258694,0.0007077535026375952,-0.0037253860460056665,0.009692655488076587
PTMA,-0.008517536918081133,0.06590328062107403,0.07346572302499256,0.04159485479830453,-0.033402107329955154,-0.04860291504652868,0.14079770065114583,-0.04906407427936132,-0.05895212609104302,-0.03955544024166673,-0.023835531382374084,0.08283401443995807,0.10631815245562258
FASLG,0.05387231614711692,,,,,,,,,,,,
CEACAM1,-0.041713695267313534,0.02911478505080028,-0.023206900747362192,,-0.03916903643125925,,,,-0.002840980059028396,-0.04064266391433592,0.034207972826629345,0.07254931481457336,
PDAP1,0.060526971177811265,0.056980458740035655,0.04081535221389599,-0.007769142846121908,0.07861790834513356,0.00020236589095344292,0.06919905159275135,-0.0878132089179789,-0.00741949363196146,-0.030607627310416993,-0.01029350696241979,0.051393635917502095,0.03378390383378487
QDPR,-0.11659103482311993,0.08365838070376497,0.019696381611836303,0.015783517192864985,-0.06194778395312662,0.0034204770039890043,0.1433009734013443,0.03137032222127874,-0.007704266821127625,0.009727083672783198,0.10842339769307185,-0.0428376317900271,-0.048792039524503936
POMC,-0.058456833674002937,0.004325703102898301,0.03939617440334634,-0.017027624504463792,-0.0028938994145108602,-0.03024957849072425,0.02567533616587417,0.018269598599522784,-0.011086842957878758,0.020481770810141603,0.13911841805415712,0.01628338807822371,0.02353921842632579
CCL18,,-0.05287124195838071,,,,,0.05972122960153961,,-0.019670891971161442,-0.0249729433477245,0.008008783417681468,-0.05776082788736685,
CCL17,,,,,,-0.013920454173200043,,-0.014429366830679585,,-0.04468015967227277,0.009504217900238891,,
VEGFD,,0.03506929828304099,0.028506075075542432,,-0.03357936485758375,-0.010210821482018302,-0.02481052741778305,0.0066457580706227705,,,0.03768395940026254,,
TNFSF13,,0.06404097571035254,,-0.007019265138902379,,,,,,0.07335746134975707,0.0547765122275,-0.008447980943998686,0.03248231090160163
WNT5A,0.06315067116479715,-0.02038552431997629,0.01866995425301699,-0.008257545158695243,0.04769748120392146,-0.0026688121567027085,0.04276224839508601,0.01323760368716751,0.03475311890363787,0.056147242829893765,0.03514467192299006,0.039287119810902424,0.03781046590955838
CXCL8,,-0.03742239198448768,0.011497206236038001,0.023288221608495,-0.016294413962911175,-0.00950876094533376,0.017155394127207946,-0.016160042833458545,-0.034633702364062054,-0.03621688576227166,-0.17269622180374883,-0.10383890156595416,-0.05589778528787811
GRN,-0.0761668583564284,0.011818138552885908,-0.010676164480795142,-0.03466542594644875,0.07608432431013597,-0.02557957456433972,0.012556369255590383,0.060982505412074305,0.0034430681725250885,0.03940634632680099,0.01384819221553388,-0.13530119402674357,0.003906986679185929
MIA,0.008575960195736598,-0.011146911939156285,0.05831660844199381,0.06678416565697579,0.025189135166457828,-0.011612659056814467,-0.033647532462193284,-0.02117920361658033,0.07868875392120982,0.08656308920168392,0.14606635011047892,-0.025115603151060675,-0.0038590698867377944
COL4A4,-0.03479239280814134,0.06535737637229756,-0.03635671075786244,-0.021737082172109748,-0.019752043743645736,-0.019508343691309497,,-0.020544613237442083,-0.024870153686097393,0.09513220741798079,0.06522690907113135,0.09629735281756094,0.006843072289293287
TAC1,0.07817549069095513,0.06747031344139033,0.01645149049002389,0.031972556489874134,-0.03485006986735964,0.020186647490768386,,0.029412924392387654,,,,0.005175259939722017,0.024507321180303916
RARRES2,0.08206284234613004,0.007695229226597251,0.0574451677587243,-0.02247318879338188,0.05335973225264557,0.02186050052613263,-0.03734233717860161,-0.05485573310638858,-0.04018921642333388,0.06046367758291279,-0.031185610296255623,-0.001851110944352698,-0.07011049973174675
FGF7,0.032316789290552456,,0.017068773731947134,-0.00614962361857976,0.07120356974177373,0.015442682220118586,0.061384952912324875,-0.025149703026192113,0.06397274692829048,0.06194308254876599,0.01684145795578126,0.037713779253917945,-0.046459517813956956
EFNA2,,,,,,,,,,,-0.041997189232465766,,
HBEGF,0.022020495099942146,-0.046104939302348116,0.09037866917813074,0.020466806698271757,0.019141507914950028,0.0213091507018186,0.038537737737351196,-0.021069910906145448,0.12110473435661002,-0.02601795816705737,0.024827358177541503,-0.0043001772987065826,0.030369936334705833
CSF3,,,,,-0.020897282101144762,,-0.01682872087649784,,,-0.037192760759486694,-0.04045804855495211,-0.04114560032896634,-0.04531907325587316
PI3,,-0.00729115785065918,,,-0.023530615460158444,,,,,-0.0412071599419544,-0.12433235641381253,-0.008659457450594555,-0.046744436762470164
PCSK1N,0.12563462783573276,0.1023036877283276,-0.03032154307345441,-0.005429205336383707,-0.016736774578933515,0.07406896121110555,0.12231270716793038,0.09357996525908038,0.036313578757495434,0.06169567938701666,0.011312913452827894,0.13576854505070812,0.027899278430574177
NTS,,,,0.015157637023542617,0.005115566653420773,-0.008314554669711217,,,,-0.0454293573358418,-0.04542398097119998,0.012325604472004916,
SFRP1,-0.04371196594755041,0.023072763869096635,-0.0046787912730364214,0.02701806968746172,0.02952961527305584,-0.013920454313390451,0.006529280327870454,0.04223367250267309,0.0034540872455542473,0.06834286303151636,0.050792894790232114,-0.0034407739529493174,-0.056539192783360406
