,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.018396284822368776,,,,,,,,,,0.06899898342607516,,,0.09635122657731442,,
BMP1,0.012202940220310243,-0.017092589014337484,-0.017626677731687437,0.03232510136102565,0.05769509101616565,0.02540943487764993,-0.03631877020218145,-0.018949000854759007,0.01401441553169141,-0.038077138773412345,-0.028754721732263688,-0.07179524850474457,0.1070026845623025,-0.16085737380372853,0.023401545987343647,-0.010276444246446765,-0.0027321623843205877,0.01706064092027494,-0.013147761679098997,-0.006563227118493152,0.030388507206128262,0.024765142910288116,0.042764931707854434,0.01094055287116202
NDP,0.059240931406455956,-0.0013695343482092736,0.08923522358970325,0.0369025166685872,0.00034809698173608175,-0.044253934175942235,0.14729188959172304,-0.015714934719804872,-0.03219249856025686,0.05325945196597245,0.008414781524031877,-0.037616105823366254,0.08716693287593291,-0.039395009917584725,-0.04278750430335558,0.0015064531678920612,0.09601292134034872,0.04878577784427125,0.06211888955586803,-0.015667891142804594,0.08660558731998777,0.07254417320864137,0.0802304562733801,0.11517996470587408
TNFSF18,0.041757779540713955,-0.032150757618006606,0.03251276290046103,0.0074860197682205115,,,,-0.029270385492457376,0.016233749183497334,0.013177337529993173,,,,,0.075864344887543,,,,-0.01666399834821984,,0.04230070433432817,-0.05278354991348081,-0.022032485588518953,
IL36G,,,,,,,,,,,,,,-0.01103071818191798,,,,,,,,,,
RTN4,-0.03261648758083931,0.08211291878011047,0.01628109401922647,0.04600949201786705,0.03027005025950257,0.02580582184284466,0.12203753298022144,0.1518661822444198,0.03619041578031219,0.07921163530358677,0.044061866425404744,0.23841053096772574,-0.00591045957492345,0.2901194246805155,0.00046729070474958376,-0.017877652399033335,0.003706016169606388,0.06879831398393067,0.015654248905383212,0.02643449349934926,0.0051314705753537655,0.08025915432223404,0.05084844599269052,0.0784333784937852
HEBP1,-0.020089914330530506,-0.03839366173617735,0.05498352026292856,0.00806817944275503,0.04981441897833956,0.00389276598583249,-0.02478545412272878,-0.05185830288088259,-0.028707631351988637,-0.0013011304662984894,-0.015518601892207474,-0.06563107295167267,-0.016900890874678273,0.027620173676915882,-0.035389028431269405,0.060390131113812466,-0.06302140199240674,0.03977300940863845,-0.034149077361235264,0.0014778914998277962,0.06413472585594565,0.0633121707485847,0.027920636857567287,0.03651020949295956
WNT7B,0.052335878068200906,0.23038191420797838,0.04562399686665556,0.03479790865327327,0.1536055677173018,-0.031470435521607006,0.07756239833759121,0.13502681274070633,0.04105100798901081,-0.002820985282587712,0.03520805956886811,,0.0683720489376381,0.057697285051283395,,-0.046595156351857736,0.008976991846501985,0.021857345697990638,-0.029717030774540163,-0.02783810634531162,-0.0013858540967266165,-0.039063908247939746,0.07267272086750991,-0.016955095688698574
PTMA,0.017888442957351126,-0.05412768254168167,0.027877738721142648,-0.056445449876131065,0.05429674043540978,-0.05278030734351972,-0.06305268929469142,-0.13577375898545754,-0.07169227417442159,0.05052182233601467,-0.01315962055708309,-0.26611913446062074,0.09675341553468322,-0.2344500306927061,0.030911801610823998,-0.12905223506973973,0.04175300048476237,-0.0013070333594359736,0.025346867390539887,0.04630870784368493,0.0921476873108306,-0.07358427012983591,-0.09693436568076363,0.03381014801828194
FASLG,-0.006155177335987368,,,,,,,,,,,,,,,,,,,,,0.03729537572832513,,
