,MGH258,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,0.022028255622078694,,,,,,-0.04641164177779297,,,,
BMP1,-0.024264980907165012,0.012877236897184001,0.009619622049398691,-0.034867389710340146,0.031622867417926484,-0.017600809159842665,-0.0480644255895468,0.017857327018839495,0.051935143205417894,0.05043056508525194,-0.05493956113042505,0.012650845005855475,0.007520547076093429,0.05092580979444976,-0.04049518759232484,-0.055687813995960476
NDP,-0.012675857182312376,0.03943804849544482,0.03956994779515156,0.0891163528171119,0.02577819629698035,0.0574604622331868,-0.012267583203772381,0.06956813362883198,0.053015217719164676,-0.06707327975085428,0.103463974030101,0.019516611524125753,0.019979186079488988,0.030988532269080833,0.09348094089233869,0.030122654595008052
TNFSF18,0.0021238950246605217,-0.04141348515110488,,,-0.011035268853675756,-0.02562890182763901,-0.015129094590365622,,,-0.04691184288722898,,0.02314160841860002,,-0.014548126484433939,-0.02794314476052304,
IL36G,,,,,,,,,0.030714792246140276,,,,,,,
RTN4,-0.013624776902406875,-0.03173325064284803,0.033078627849910607,0.08496916552281177,0.020214447984573686,0.02733982596043968,0.018530190480601914,-0.07579500937790712,-0.05021907639049786,0.05618708753375356,-0.010370948430935818,-0.006405533757768031,0.017798829784740466,0.04323800219991976,0.001993769495624884,-0.0623418378156259
HEBP1,-0.016096459972951827,0.01723031439774915,-0.04460392433300748,0.00039036351450810134,-0.013197352646631785,-0.019635558438751075,0.013287778115413918,0.1352811135895964,-0.0034289958294751277,0.09001497403403026,0.01989371653925223,0.053999324943955186,-0.0010808055633931475,-0.07490066204031356,-0.023169643004074106,0.11941310453013886
WNT7B,-0.018178440247095747,-0.044192432657580286,-0.0234016796341323,0.050766345384171234,0.006748201906775855,-0.11734337449366197,0.02322114517640509,,0.003391919738803375,0.007083770921720525,-0.000503214530043813,0.036002408646694496,0.05127004998165605,-0.05524853624410741,0.017749693295674437,-0.08633278570101857
PTMA,-0.051323812880532706,-0.02295142733916673,-0.024560587362154968,-0.07752033277316439,-0.0127196855457986,0.24923917440427715,0.04551232587349768,0.18610213313707036,0.04050742705747321,0.08451771518180325,0.11568845072300286,0.12528923406858578,-0.08765923854327784,0.1028090709481045,0.05957903431525644,0.09720263745513787
FASLG,-0.018178445386094238,,,,,,,,,,,,,,,
CEACAM1,-0.02524093051065979,0.05245463419532773,-0.027022230818925824,0.017466726935208354,,-0.059403012768695196,-0.02379446152535836,,,,-0.034864144224969536,0.03255109931060377,0.004506558549656366,,,
PDAP1,0.013643871415593322,0.0723305561882444,-0.0078753107668236,-0.04180242671098416,0.02888933029967436,-0.04104071739125318,0.0002492600333547316,0.04094163996962333,0.04509721899462479,0.0067750624779943655,-0.09766836245783643,-0.052235494067042657,-0.04345865672673564,-0.008013806271855953,-0.052818724697336616,0.015153368686615754
QDPR,0.027040785925838702,0.01138719898910253,0.06644166531696993,0.13852110981519514,0.018630764531285388,0.2777134701151487,0.05436323481820922,0.29668583257291353,0.004514645345087131,-0.06551745705646235,0.14078173653639117,0.13027002729252993,-0.030544542130822958,0.12903482679421,0.06633086381797694,0.04353042617616689
POMC,-0.03903055164758576,0.03523350431543446,-0.02516419772570257,0.10710671411603336,-0.02911326494391955,0.019193228320368162,0.014615073440844797,0.04774759987957898,0.025875604776736137,0.014982892285135635,-0.040536123822736025,0.030602259638266915,-0.0151523192212393,,0.05093658932401789,-0.05949245554919742
CCL18,,,,,,,,0.10963215089674191,,,0.03238951620093735,,0.0019726607409720196,,,
CCL17,,,0.06022768870462503,,,,0.009937823336600793,,0.013125532632331911,,,0.0431321538141919,,,,
VEGFD,,-0.03491902689585879,0.08175248939993889,0.019790123480321838,,0.029220866413464084,0.09176687008081456,0.008887593447077884,0.050988338032258315,,,0.0021973718547484114,,,,
TNFSF13,,,-0.010803586232308383,,0.12809140129023427,,,,,,,0.018978081011213288,0.08044431859715495,,0.0410107864155044,
WNT5A,-0.04998394818107964,0.009600368362815168,-0.003815124832610439,-0.0303159360842814,0.01925233425547198,0.020047878575583697,-0.0037454263363116873,0.017290522447009772,0.04259249429066395,-0.019012334903373118,-0.06665925480128801,0.015079061362572175,-0.01922273419644355,-0.021351329421094755,-0.03586262823068487,-0.02116395460916248
CXCL8,,-0.02697144389204939,0.04955737966833537,-0.10562476184450602,-0.015222771010584247,-0.047032320681586796,0.010339711670448204,0.07206672566721956,-0.04729291631802189,,-0.04352213410417161,0.013729365504788977,-0.02028261141004373,0.0026551774955027563,-0.03331805982570688,-0.10489503814624276
GRN,0.022508172833942318,0.016751468224189516,0.04780097014725206,-0.03339111148846743,0.010229013097645867,-0.008011330076833202,0.022283648305574867,0.10791669249185958,0.05509838744066896,0.009473947042179107,0.017149674579862568,0.005052520862619288,0.06523771944350985,-0.005779723415588511,0.005072525639703359,0.06538724473975298
MIA,-0.0036573897219801146,-0.008128202054548134,-0.024251838743377812,-0.06025281397590683,2.0846777550392382e-05,-0.08154802004541772,-0.005172008397955226,,0.005536311626020567,0.08199454605633676,-0.03825602498316996,-0.019629531777624904,-0.11734341135688015,,-0.05568481941014367,
