,MGH258,UKF248,UKF259,UKF260,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.05904234890687108,
BMP1,0.011769704665666061,0.010518616836499857,-0.015316780622585667,-0.0368476744070782,0.03193083004062366,-0.04646473838012973,0.07208675701538873,0.006121980801487678,0.04752513470506549,0.002269582985849928,0.0646443356572281
NDP,0.08378638007266428,0.025542388167741417,-0.031173110356369504,0.049414595480164795,0.00033591446267674916,0.09188694356618471,0.03788343125754278,0.04151306827664831,-0.05245115328936233,0.033547558402589564,-0.0011384950502413822
TNFSF18,-0.016789510533325048,0.06652808362268148,,,-0.010647508884629552,,-0.049575689366787884,,,0.061584403673219705,0.1061658734992485
RTN4,-0.04722683392894769,-0.021552470975051634,-0.0632784285525177,0.07947589462809246,0.03560777426256833,-0.014394679031339522,-0.030858825453920356,-0.07356758666758194,-0.030758103394955518,0.06397327986227236,-0.1335701606432291
HEBP1,-0.034692322932751346,0.046902883558790485,0.04980118732756621,0.00839889570878669,-0.01358888566782134,-0.038134817211740626,0.012133119470347195,-0.026887718234528235,0.04547656447367052,0.014937216597225548,0.06260105393250051
WNT7B,0.021724155946795734,-0.025152444743194884,0.05167542236657346,0.028348115990480146,0.017663683682087438,-0.019338239081829176,,-0.031398357092730395,-0.017529907250980387,0.017280764260718447,0.11439744260547073
PTMA,-0.018142086374201335,0.08800239056539534,0.06573984535212578,0.05936657097375106,-0.025858299317138546,-0.01943987863441348,-0.0008766292818633967,-0.08394231255732867,-0.03558476476582732,-0.06454190450235309,0.0841587590850156
FASLG,0.04130234879223292,,,,,,,,,0.008622249140954207,
CEACAM1,-0.06638635152349324,-0.022480778092891014,-0.005029889211783929,-0.021935714893487047,-0.00022804959644889299,,-0.03486012333184782,0.04625353359084402,-0.018834314831602663,0.05231764328488833,
PDAP1,0.07980963535922629,0.034803214166902886,-0.05758571794466638,0.006539680720170749,-0.004074903411781241,0.05363694276884237,-0.006381974999863708,0.08226913259194063,0.04182117034734042,-0.029720344145291216,0.03096866720242694
QDPR,-0.06450911249237913,-0.011348995254064596,-0.048356563749785135,-0.06719220661185946,0.014131956467306118,0.014269913441462393,-0.083317846385643,-0.08651827443098244,-0.03584484564280926,0.0915490219652106,-0.12157394296646426
