,UKF248,UKF260,UKF275,ZH881T1,ZH916T1
IGFL3,,,,,0.0365539920458514
BMP1,0.0048956133062228475,-0.04726447906157659,0.025833862364786127,-0.055533444322417316,0.06204042814606134
NDP,0.019913951898982315,0.016802460930446305,0.01635417561050943,-0.03427192165349134,0.04584462262531745
TNFSF18,-0.014174277016516704,,-0.013007999599351436,,-0.026508002162504637
RTN4,0.016932506878773644,-0.003525063427785195,-0.05456685378232941,0.08749224243945106,0.014806636049764807
HEBP1,0.02089195639832101,-0.04841877455587125,0.03114400233866157,-0.08243814133378073,0.010375239637613737
WNT7B,-0.031057824818759707,0.008370982589130974,-0.008393648783926292,0.023917884059750528,0.007946942821755487
PTMA,-0.016077017477862984,-0.015077898306838863,-0.00975742152330909,0.11073360311891053,0.03695520911184939
FASLG,,,,,-0.01362941192705201
CEACAM1,-0.01733250514458667,-0.016974348602457147,-0.020458484421516505,-0.019238779493232848,-0.01896332490025193
PDAP1,0.0008439833187734376,-0.04833306414094034,-0.04575421927996095,-0.015226700665520496,-0.0031278575425092965
QDPR,-0.005828324157172219,-0.026324165201645242,-0.08546991013891934,0.030220217243007583,0.008454119923455468
POMC,0.04293494834854796,0.03074714640211134,-0.01509345408670961,-0.03147211593651097,0.03234380145257367
CCL18,0.04016080734977818,,,0.04868969848271482,
CCL17,,,0.01805123315832808,,-0.012353531061518873
VEGFD,0.13740648881548992,-0.01624009568647071,0.014540053085856075,,
TNFSF13,0.06907071948991513,,,-0.021603859939123705,-0.020129047757403287
WNT5A,0.013116884343954766,-0.027420107385978852,-0.029247636076951893,0.029569565067995678,0.037154665235259614
CXCL8,0.011295419560240449,0.043247685623275495,0.07698024114139874,-0.0788497362331669,-0.034038855206066976
GRN,-0.0026023973600163095,-0.03427542608180827,-0.04257825470717577,-0.027624251753520204,0.05011704136259285
MIA,0.05158096658224136,0.021889411654181005,-0.022986771002523533,-0.015226531140545145,-0.022781551450904138
COL4A4,0.04435456808003559,-0.022313807490258013,-0.016937844369434837,-0.02891503773498211,-0.036278437231442494
TAC1,0.039122712962128985,-0.014775636750121852,-0.06916240426656443,-0.01106534513326642,-0.01623997274027677
RARRES2,-0.017414457977706577,-0.01594685275427475,-0.04674435063577364,0.027208009201876573,0.0027871884682410075
FGF7,,-0.031095060165479776,0.027808367537484138,0.046786146631523653,0.027558477919209835
HBEGF,0.04188998271486702,0.06504287702864785,0.05610640221329625,-0.006770701138081956,-0.00815743397547276
CSF3,,0.002444002518922303,,-0.027581418395161355,0.17625245631694622
PI3,-0.022754965802329552,0.023754476579061205,,0.0022982408334328557,-0.028258504665000826
PCSK1N,0.021535838175976058,-0.03728878399221187,-0.015428916575793402,0.024303063573199474,-0.028456953148098083
NTS,,0.05383779439258979,0.0093240886693061,-0.03863856765400377,-0.01926064922603665
SFRP1,0.015864909054624062,0.0008929557162257675,0.033775783413061866,0.052364683495747764,-0.0188130805337589
CXCL13,,0.020718931765772018,,-0.044991032981748065,
MICA,0.05103074257082517,-0.013001917627054847,-0.025618814333513925,-0.021969448626308025,0.025196474010476238
TG,0.03378782003501394,-0.029176625051964136,0.0007076251365385223,-0.02269993117131267,-0.02536488764334634
ADA,0.004573111113924139,0.05151263045380906,0.019290699970589038,0.032895767482442495,0.10159924850445978
LAMC3,0.009099073103260677,0.04362645788527183,-0.006865285473940281,-0.0035647691462143867,0.009921699501738082
CCL7,-0.013758080298612627,0.005400676775457206,,,-0.013629407080595814
