,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,0.019135890475846493,,,,,,,-0.023507818438658318,,-0.015224980912846589
BMP1,0.010432084823441108,0.0002209794630169656,0.01699606219068807,-0.015234787002005274,0.013458158014428226,-0.03987450328489525,0.011443786070895018,-0.037042139480761196,-0.030212465051227565,0.015919952074398697,-0.017297098567678755,-0.018864500771675872,-0.03558140316969777,0.056843028880038976,0.05839435147400214,0.0032674087267255364,0.0072981449526018415,0.03200618077237775
NDP,-0.020725371667721273,0.09678280198432684,0.01002143632888385,-0.001516052908514244,0.008098577077686644,0.017050919459777287,-0.017237152660138318,0.09435894040604624,-0.03833442828573692,0.038556054618796874,-0.009852438476748148,-0.0062994041478786735,-0.027571016070812755,0.1276563316887197,-0.039617204096712065,0.045111151986632916,-0.01044410438203399,0.04168025734454865
TNFSF18,-0.030204082171285767,0.06330982938509448,0.008621797673556893,-0.04206279541987381,,,,0.011489294705434238,0.036099002012044884,-0.019770904827819662,,,,0.16102974477250737,,0.05974907608085076,,0.007864938351487933
IL36G,,,,,,,,,,,,,-0.021081215266508743,,,,,
RTN4,0.04260889510325843,0.040471136376592075,0.048292908813951416,0.006997550989980699,0.00026770765956883743,0.031129343859000007,0.026200121827857924,0.03861215034012649,-0.01255174068503881,0.06940659264967235,-0.013767402911055564,0.07642288905505737,0.013719969414789071,0.057423454593305445,0.019296392474410624,-0.01952124428221497,0.0016597245256134347,-0.008433089204121273
HEBP1,0.03070371900649046,-0.04121496589479799,-0.06534008190602013,0.01931484260597599,0.011016635610176087,-0.014886325945975703,-0.024724794989999084,-0.017533363642763197,0.0630268720669971,0.0021307644875510376,0.02655519399961424,0.016337715168002462,0.0027563295101952485,0.1350567735834505,0.048740586175236224,0.012978037921819617,-0.03099215902558432,0.015934182536595065
WNT7B,-0.02660885037474235,0.17861056151854707,-0.036053233927872755,-0.02612810462047292,0.0016797590389446124,0.04813904765346195,0.04370344274429255,0.055257797069235295,0.014724114335065678,-0.016904934832288547,0.09267179407287432,,-0.00800465355186981,0.06845499753666204,-0.0309360114127325,0.04137299590969719,-0.020366671197185545,0.1444967802539937
PTMA,0.02021889846180333,-0.020343317764791598,0.06664061460084812,0.0874859155913047,-0.020000769398098098,-0.0035255944056006724,-0.03645805531393855,-0.052181362850280855,0.005386462005709623,0.025395627876065256,0.006577606459267583,-0.025087581407739562,0.021681095191076093,0.012902614850470935,-0.05374590467438016,0.034225895154698524,-0.013789603003751054,-0.011116676346769494
FASLG,-0.026608857896996182,,,,,,,,,,,,,,,,,0.1711929641466253
CEACAM1,-0.03694663206238047,,-0.021474236879519795,-0.020051748796539686,,-0.004478071149053925,-0.013897370190443596,,-0.008696119524035066,-0.03109492319167976,,,,,-0.02774391054780616,0.06527394624574896,-0.013517655880337041,-0.01837229037012576
PDAP1,-0.013435011201530551,-0.02198597139086647,-0.0027991413820630416,-0.0032586938713852127,0.008868464478124937,-0.01707060041055794,0.03353220991357857,0.04210973653825341,0.015238829747639848,0.02562886026272035,-0.009408007584505091,-0.012989509450264414,-0.029334736753073284,-0.01563336074665932,0.009118050366220272,0.027095578921914977,0.02567736286031462,0.01846970762724968
QDPR,0.09282329870121551,0.04864296701886988,-0.02674100436798891,0.007100363046273841,0.03730841530545187,-0.016891129515851495,0.04994334021648516,-0.01814466190418576,0.031653340912023195,0.029786870321559848,-0.016593008789762654,0.0033335733815436828,0.056792317300245934,-0.007650591970055704,-0.007148948007761603,0.04798444725131273,-0.0034059119545658766,0.05273811650119974
POMC,-0.039277931128497694,0.13021581077404987,-0.028740171726116835,0.003299382196159772,,-0.025842657665657,-0.013690187231207357,-0.0372795682182507,-0.01752006342762335,-0.010782016173934997,-0.02936442433941237,0.09075013452171116,0.004345131190786242,0.0911090358345339,0.047050404400767375,0.001111456983933372,-0.02211310926482989,-0.01271671226253755
CCL18,,-0.0063479120136819755,-0.02679781865325996,,,,,,,,,0.010456363337977293,,,-0.019670888732041057,,-0.009412695031082658,
