,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.019515427672134086,,,,,,-0.01799641328509159,,-0.021123091549446128,
BMP1,0.04345187507122395,0.05030058594668738,-0.02779105472930161,0.08878074697154033,0.054665492558786194,0.022803774981875424,0.018707464875005436,0.012417201174854274,0.04779961753085118,0.0008809654577896891,0.04168879699480313,-0.0039972923223101685,-0.043023962588419326,0.0726436550095817
NDP,0.0693610478811881,0.042924464156370155,-0.047730930327292996,-0.030968690147252034,0.02202663108414623,0.03198277567489127,0.04457184672878209,0.01352662412883764,-0.009615762925305398,0.023005057083379885,0.03858322010375267,-0.013681457900780401,0.11155211829670052,0.06697975627218136
TNFSF18,-0.02072417527319664,0.06539114321703761,,,0.05043409120303741,-0.019597322772887518,,0.033606634406626916,,,-0.018559383365566146,,-0.011397357236708339,-0.008064940144595002
IL36G,,,,,,,-0.017297026381748022,,,,,,,
RTN4,-0.026340000687527423,-0.015513718121080003,0.03919487727399829,-0.03878696529646286,-0.11961825015442148,-0.01738247542997884,-0.007704770345788525,0.021012314189514953,-0.029112803930210367,-0.019829711916801798,0.015654665806615464,-0.016259995304219805,-0.014385731166875627,-0.014495975872286435
HEBP1,-0.035385634623070525,-0.047580118562212,-0.0038289308359986452,0.039655724883772725,0.05886405347659221,-0.04953701855524741,0.10149483628042835,-0.01402590568720585,0.0697115976832832,0.03522705843752803,0.09148076921340079,0.026610542808719512,0.05920556685985179,0.04886494983407879
WNT7B,0.004185250263232783,0.02663992474655341,-0.018134400268039346,-0.00451282809753931,-0.03658735512264268,0.033900167611066644,-0.019011425327068242,,0.02455325062915001,-0.017056076019749546,-0.025150347577127783,0.040500242519312356,-0.025458413481324275,-0.057998610432722926
PTMA,-0.04973981650715571,0.06818742367262104,-0.017574074988979636,0.024898509182357653,-0.04719713930594384,-0.06987222153167748,0.054000600349798436,-0.016998393980852424,-0.05290365891958569,-0.04504440740814765,8.12972694041291e-05,0.06411470275891411,-0.10416448147588099,0.00041039063333491555
FASLG,,,,,,,,,,,,,-0.018320050094587814,
CEACAM1,,0.036976731493189884,0.04708569140663013,-0.01620797514531824,0.11678847184644599,-0.011422457000882987,,-0.042626103712686284,0.03156289937407819,-0.014947343419937384,-0.026667896270469515,0.07733879585105549,-0.009145404092660204,
PDAP1,-0.04310587382846014,0.01252200835763763,-0.028865951681139815,0.038390288028038046,0.06422456491212682,0.026682302678584992,0.004379035342411196,0.0038156017024731028,-0.04301166181010179,0.010503192127998892,-0.03934008617867458,0.04091482112390118,0.005312301483760139,0.021250414923393343
QDPR,0.01440331140553332,0.017183222314978507,-0.025325690654972813,0.03295098624279949,-0.1399163983024694,-0.02068441597045862,-0.032394091757163936,-0.02621212185364814,0.015108408965465127,0.06371858609191396,-0.003661652302412796,0.014667683963501476,0.0726219618388576,0.012877656693692657
POMC,-0.007088565610418063,0.05547134993309583,0.06272140196222825,0.056922557279712384,0.03448128790985107,0.0011485910498454256,-0.001118148594937546,0.04759657895351557,-0.042364827203304874,0.024456443804604305,0.024865609246268953,0.003613977302410933,-0.050707136708986404,-0.03342130870063208
CCL18,-0.027792823070639777,-0.028053893821931773,,,,,,,0.022408903493016434,-0.014238424643588009,,-0.03221256234494288,,
CCL17,,,0.038831231263796284,,,-0.024441676979338144,-0.015801324662139304,,-0.012517674912334973,-0.021577428612437718,0.020792230510998655,,-0.0166050677096986,
VEGFD,-0.03131438818216015,-0.0156629506468852,-0.02581504853340448,-0.015506872953334102,-0.009040363454036917,-0.014832511045297267,-0.01693476906016471,-0.05794925389629986,,-0.014947343419937384,-0.025024905683869843,,,
TNFSF13,,-0.021170375244785357,-0.015982834596534216,,,,,,-0.024019537973153378,-0.023453927192905826,0.054268491304631725,-0.018006211272057714,-0.011833380525576965,0.03918782506765389
WNT5A,-0.04774809676160558,-0.012338292459540243,0.0360583438402602,0.04233616513795798,0.06852687160985917,-0.01545859497423069,0.05766804101539802,0.019574667874006302,-0.01813147985745739,-0.024401521917042875,-0.00036968025800530673,-0.05599724079067449,-0.0011206798110934254,0.010138869631341248
CXCL8,0.0373231699280565,-0.03533648758171605,0.051604462377644586,0.04406639684410298,0.031154861437809395,0.02793153069303691,0.03883451139144683,-0.02248560233422994,-0.06817380266841092,-0.10277933595912618,-0.03368749635014584,-0.03221106832096165,0.04170147808450699,0.037637316293100416
GRN,0.04584047929089242,-0.02532917153791137,0.004013189716860684,0.048261883583504674,0.08032788642794907,-0.04039445755468581,-0.008194256013788771,-0.05316207867729551,0.07089637116994772,0.027900177285455956,-0.022875709147436907,-0.08839596662756587,-0.031019613817476355,0.07438481360088439
MIA,-0.03872847480006438,-0.005369286187627859,0.018676449877398627,-0.047053210622199554,-0.020546005539196745,0.018491628546893325,0.005785683440529555,-0.03971832843918054,0.04096052283277786,0.029147634745570323,0.06974506212564009,-0.025372050649870706,-0.05655534721751441,0.034797609035821166
COL4A4,-0.031523396722549224,-0.022920920190505983,0.008691621300977975,0.02792883876296354,-0.019231005435007543,-0.025517866959443934,0.06939400959800139,-0.045375407066819896,-0.018514007754463196,-0.023933033965684254,-0.036549881908299164,0.05009268015135421,-0.03083621181147672,-0.0008132074741148727
TAC1,0.040093305619050085,-0.02085486221661407,0.005702964499070674,0.00931678096759778,-0.08524416168432515,-0.019491838161410025,-0.030434720898131696,,,,,-0.027664913865814572,-0.021829049978751555,-0.004970264736957798
RARRES2,-0.004807306770747739,0.009486408149009057,0.004067727950183695,0.003618576767856562,0.0941609344594105,-0.0303346857969684,0.028354765442508804,-0.00750475126238782,-0.030875958211198654,-0.04137219638747197,0.007356199057337155,-0.012401220490277224,0.029283946362878562,-0.029590045666171027
FGF7,0.0019348159021171437,,-0.018447747916471722,-0.003913133952111095,-0.03289151106434968,0.001114466872345938,-0.014806396890679824,-0.025509411950209337,-0.039915239725420146,0.0024629524542714165,-0.020191254211959237,-0.07154750783786759,0.049537557857370004,0.01864144579021232
EFNA2,,,,,,,,,,0.10075137735659466,,,,
HBEGF,-0.06707265358769673,0.00859412346782621,0.05754272968440916,0.04253875334383643,0.044309456320374564,-0.01070765275668906,-0.01648736394806761,-0.03985514465345737,-0.007767194683020646,-0.025478630590196335,0.05450933923252081,-0.05621615231119592,-0.03711867216766293,0.04106483862851004
CSF3,-0.03152337176538188,,0.014514880329607736,0.0522847747115028,0.054564513944197424,,,,0.019896700299948115,-0.014883382214962092,,0.04300143622350456,-0.01748257466427183,0.05428383249257462
PI3,-0.03734413465229008,-0.029513879102047964,0.016304744257501336,0.04101785641549289,0.010177239715154598,,,,-0.048661643953868065,-0.06630708598437314,0.029736405448487813,0.0139235372583122,0.023098764660826658,-0.027084857001591956
PCSK1N,-0.023926460494164317,0.019391310628090925,-0.06431459594154491,-0.04329112440102943,-0.04642735591129075,-0.018412881693351882,0.002099502786595004,-0.08093856110960296,-0.007114045234070603,0.04048490442743855,0.00659649108267046,-0.04041062768041038,0.055611417605314094,0.0015692595546337666
NTS,,,,0.14415758079043,0.007264615766989517,-0.029151196739160442,,,-0.029202432528541652,-0.017307862971174606,,-0.04512575813307787,0.0063734813803464465,
SFRP1,-0.02170406178075477,-0.011219125795837006,0.022260510491653267,-0.017690656608685115,0.03964551315513212,-0.019819107472932015,-0.010634947276691889,-0.0005396939737087945,0.03205632094548829,0.043146756275133945,-0.014344759570875889,-0.02154112046687449,-0.025287707177438414,0.04170760353029404
CXCL13,,,,-0.01753166661921202,,,,,0.0034482563651570437,-0.036500418851708516,,-0.017370703931595587,,-0.009572832027138755
MICA,-0.019798085520470472,0.07849393243098196,-0.02987653526851473,0.014398791981446666,0.010908534860574337,-0.01346779107938602,0.05791026173881081,-0.040417086481325915,0.01571411256101343,-0.03403945604624743,0.031623895501688544,-0.02157438526630197,0.03267722729575538,0.04894917254548018
TG,0.15981264714941082,-0.01904271826535446,-0.021817982581533737,0.06815077829822351,-0.024555842235979678,0.07767519449299212,0.020044814248873135,0.017827207315021396,0.03594973592260729,0.058828827413765356,,-0.018919755899343405,0.07986758880789488,-0.030494399652711526
ADA,0.013303036501650878,-0.01875066772707807,-0.007637414215638605,-0.0363314971271298,0.1370167553804957,0.018929738333182882,0.004910121749987583,-0.031057515714883,0.035069757433132696,-0.02457404588272015,0.0898017408526512,-0.03656465855574578,-0.05137140772817405,0.0338470974643611
LAMC3,0.0390127346984624,0.014214144918938808,-0.020387951324504442,-0.04886682294513583,0.11928321239446922,0.012779535117314339,-0.04394050282273495,0.004079291168711158,0.037290503505486405,-0.014802242804302153,-0.02541357824925237,-0.04623854091136151,-0.06240900326084013,0.10405320391875221
CCL7,,-0.01784464640100452,-0.015774366547218723,0.07258264839663514,,,,,-0.01876110936173857,,,,-0.01832004358019667,-0.04865692302092419
NGF,-0.018161510573115797,-0.030638371721690316,0.04455758446530646,-0.02481028721086729,,,,0.025093356341498375,0.01926461723258533,0.014522188379192268,,-0.030205792421416962,0.0002667690073768523,0.09812322595015323
TNFSF15,0.02747467797653838,,-0.017565528664712903,-0.01720959593134575,,,,-0.06520727333176603,0.0770244559286757,,,-0.01427536359396378,0.05206244249316455,0.03236526095941508
HMGB1,-0.027630310462848282,0.018588103015006508,-0.023108633453169342,-0.04565422498379647,0.07378172660566193,-0.00717826131909565,-0.02260045152327139,0.04337698180487273,-0.007451173972621117,0.039618901234985196,-0.038342642652940975,0.06004629745895553,0.035744194787599076,0.034616609554747615
ITGB3BP,0.010134036461783907,0.017286787635008783,0.02428322668346155,-0.0140105489987968,0.056519562992259874,0.025509474993900015,0.07076082110507428,-0.015225606064938226,-0.0260063910633359,0.026484907332862854,0.03865945831949864,0.057366117671101474,0.05198715296826733,0.010265033674989
AANAT,-0.032551636010884365,0.04099198062619628,0.019888273936592996,-0.015506875167027607,-0.018352672909356667,-0.022144565196681554,0.026064164472723438,,-0.016458786637302603,-0.01911803340463898,-0.029349823965065247,,-0.019383370093570024,-0.02083045648139486
RELN,-0.03131437192869666,-0.04233843013807674,0.026064891853120862,-0.010160129466031087,0.0037583003031258586,-0.042809374046900814,-0.023465763441528294,0.014544097771254006,,,0.023231492781920434,-0.017243092167123025,,-0.012662491722780129
