,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk
IGFL3,,,,,-0.015200538429454583,,,,
BMP1,0.04968405651276699,-0.017244764504507185,0.0014570143678378784,-0.05121114915511426,0.04840719914275011,-0.0041162676593462875,0.02566560845301498,0.0916146287412036,-0.054117874731573534
NDP,0.019025860454047583,0.01834140930208523,-0.0039213034591169,-0.054254553895353184,0.01812547163739985,-0.0379144797841968,0.007998443587814713,0.06216400461586957,0.06853284491673477
TNFSF18,-0.00011330299135644056,-0.026712700480225282,,,-0.022572343235071506,-0.015563756598776811,,,
RTN4,0.011388727819857085,-0.01441033233792581,-0.024394574505856102,-0.04484171316135547,-0.053496657007306624,-0.019732713436893905,-0.06709491016051328,-0.01171381776934238,-0.023518200312239137
HEBP1,0.03750346662018326,-0.015530508368304382,0.00741530774365636,0.003477375689866067,-0.0013608748744370674,-0.001198228006909038,-0.01010693982733106,0.006856245543231724,0.02431851586443696
WNT7B,0.0030868158706797177,0.002610389840848552,-0.008440672860210455,-0.007779292890253526,-0.06291455909451829,-0.044612059496650674,-0.014006903593788922,0.10051756057689926,0.0065813000033793315
PTMA,0.046803643769266344,0.04679885153865659,4.4036616823605386e-05,0.03699455661293125,0.020650550598385557,-0.006939250489303647,0.028564883313340308,-0.13208622633306408,0.013545303370417323
CEACAM1,-0.01733250514458667,-0.012734207376374353,0.02983713607619313,-0.014777320781550952,-0.003342652702475703,0.019878588374898004,,-0.0187637893835166,-0.01626885680458809
PDAP1,-0.0003889989193380115,0.07873576567104705,-0.011214130884976433,0.05057497526975462,0.05003084822960441,0.019655595398162737,0.042320554225678306,-0.0003199961614874256,-0.012700118868586938
QDPR,0.006251012233022248,0.033224197205820656,-0.02439415300662464,-0.02341276358985311,-0.05036281104599956,0.00369529814314262,0.0022372467011363786,0.0221318787152694,0.05057320429052556
POMC,-0.041079973264110635,0.006704089778899696,-0.020524726733414766,-0.029735463837070805,-0.03828999717348188,-0.01805895240434001,-0.004450161100003249,-0.025282906619519735,-0.0167863875152236
CCL18,-0.021629328775557188,,,,,,,-0.006950861085733791,0.02735167018398726
CCL17,,,0.027652137844732045,,,0.03760321348100228,-0.01733662012242822,-0.013312000374670204,-0.02348511614704318
VEGFD,-0.021629335643882128,-0.018239197210702347,0.0012229989294742557,-0.014138103859097145,-0.02546497931898956,-0.02068081561062062,0.07637417863181113,,-0.01626885680458809
TNFSF13,-0.01632219075818291,,-0.01828540155864241,,,,,0.09675964630755694,-0.025527518321260198
WNT5A,-0.001202576537499365,0.00983847351925977,0.008358375455711576,0.07099268801631049,0.08543446212492509,-0.003289466372679268,-0.03959085680656423,0.09904840386582059,0.005856612607860301
CXCL8,-0.044742085562395846,0.05788236247819015,0.05213969338998084,-0.010844141653790728,0.0035489959549393885,-0.0019359098078446468,-0.011842269964266338,0.09165554285166749,-0.11039587896786376
GRN,0.011555806102609431,-0.0037657253165513395,-0.015692520283309887,-0.010467522686418807,0.06700079822782211,0.02544428269405258,0.010524859688696884,0.05126967858216157,-0.010116804706347692
MIA,0.005251803378066586,-0.01622066648063976,0.00938834235129703,-0.00469681090486201,0.1262622370271631,-0.022561776184298193,-0.014462477744933195,-0.029433133411004717,0.12653185483146215
COL4A4,0.030283810960013192,-0.027278329751137337,-0.02311899602443064,-0.008481348298966334,0.010458996054702279,-0.020265720725190495,0.0488354261878967,-0.03517407016462492,0.10063425365532083
TAC1,0.010131968912749471,-0.018484511536106387,0.029940018860717118,-0.014027518197384093,-0.0002656376657520846,0.041542069811394876,-0.02022939177374489,,
RARRES2,0.05480477968522633,0.009772968119147754,-0.008660918154188606,0.06944386163702103,0.06800738669036199,0.03021976374248654,-0.0024626651202121833,0.06856888033585713,-0.007994119902665835
FGF7,,-0.020586306624517596,0.003799479975924175,-0.02707035713408205,0.03287939631356146,-0.013398602456355638,0.020708912727833553,0.003817978474431049,0.08682411248115435
EFNA2,,,,,,,,,-0.015462459630801458
