,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07225640925779889,,,,,,,-0.017996411471717228,,,,
BMP1,0.05137476775941777,-0.04427332829933067,-0.043408326502876037,0.0003547766105263492,0.031033612089822124,-0.08408629766930313,-0.05509957568277695,-0.16757177530779999,-0.5062765809142261,-0.11699673113236587,-0.0035374892331763016,-0.20462063437987912,-0.36656159561457974,0.014840703289315976,0.025497200570344845,0.0047031701414890085,-0.1170653439861076,-0.11159438624416843,-0.15005853484371606,-0.005340125600967867
NDP,-0.025046818318532983,-0.04652405563540185,0.09577535856441485,-0.021870332848422297,-0.033634515162199854,0.0040851265469179325,0.17007347920154048,0.1016858847114708,-0.08577014868969521,0.09924178193676804,0.03775820428934429,-0.10499771075290565,-0.061446965390055265,-0.009815282330765809,-0.038812737407900554,-0.04595624570943887,0.13473190675810626,0.022631131530192906,0.07180159254601721,0.023191495574426936
TNFSF18,-0.022645258925348192,-0.04172780459665415,0.035637300189100656,0.07184765784092612,,,,-0.01304473770612394,-0.10778475574633005,-0.04598548230639628,,,,0.014938085578668955,,0.03554695958383181,,-0.03378742744916331,-0.10335084105085962,
IL36G,,,,,,,,,,,,,-0.052969925972224004,,,,,,,
RTN4,-0.00967229977762461,0.3193100212816935,0.1285290902673599,0.019054177717582502,0.04437451711144004,0.11537748812836116,0.22610729442440902,0.3297728880685602,0.6289558315474465,0.24958011070332964,0.18752466195018283,0.5369310889229086,0.49999089142252934,-0.03873561957649715,0.001427385642938552,0.029040949979120243,-0.08143555260220754,-0.03349633493525742,0.4699464988472255,0.08212385479046733
HEBP1,0.010073871936125665,-0.09426287679253807,0.050750711953714965,-0.01796588605317307,0.007626010169751466,-0.02770181975892712,0.02911668630977541,-0.1744340620051782,-0.25427093184629107,0.05377156662896947,-0.04588318553633501,-0.23478966723644434,-0.045731626135508546,-0.06524915048069756,-0.07294322442570451,0.053308706390378095,-0.10729373614878264,0.0161672668923925,-0.013684439650474849,-0.09282381676735056
WNT7B,-0.019949763843998904,0.24935184522096607,-0.04254180059452424,0.0039047769011260934,-0.05043408067273221,0.013366747825214173,0.07400144126980558,0.03606309553748952,0.3297628129611387,-0.00039107496978712614,0.129758025242809,,0.14970223395154308,0.02357043544666413,-0.027731240413719712,-0.038809168121913346,0.09219712343482804,0.03467495963387279,0.03261575038502308,0.04019616816076904
PTMA,-0.03428816975116319,-0.04593833922556073,-0.0020847500386720033,0.08366504723846958,0.16575115239882576,-0.05581504222598864,-0.1678886978650194,-0.43944500197856023,0.12757477933400987,0.13422949542192228,-0.14861311837020577,-0.676434458636853,-0.47464895878956986,-0.04533352729363995,0.013710273170014343,0.07229567925772933,-0.16410746493127243,-0.15805044308672833,-0.23183016048396884,-0.16196671484245848
FASLG,-0.01994976948374604,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.027700429522323756,,0.005713221660313762,0.0279897547404675,,0.003918306424634709,-0.00401275342871399,,-0.13627382029266752,0.015383527271628575,,,,,0.06429044610589812,0.01256711306140892,-0.00472169620708838,,,
PDAP1,0.034256017158327705,-0.08760633814815615,0.06064705858058289,0.009926064573432463,0.03013037000490888,0.0028507851853194098,-0.09807779814250756,-0.19459241744444017,-0.3662372352927206,-0.025814141977299847,-0.02993094189270193,-0.02258546852550103,-0.27288968248837564,0.024606772943806636,0.12795891420118224,0.02049707671094844,-0.17032047282165877,-0.0709967910111695,-0.04306342297827513,0.017226436762232743
