,ZH8811Abulk,ZH8812bulk,ZH881T1
IGFL3,,-0.024203500025793797,
BMP1,-0.02386361318152628,-0.005678647162676937,0.0756467837478577
NDP,-0.055080102324582075,-0.002421028261053874,-0.014249455234475274
TNFSF18,,0.014914284405572025,
RTN4,-0.009039649601314108,0.019057283542678417,0.006773831634485261
HEBP1,-0.05212745411126548,-0.04296349333223535,0.0031999205459127306
WNT7B,-0.030442280011991268,0.07325528539427487,0.0944158954431489
PTMA,0.01472759494995746,-0.11482091722910416,-0.012040716014064883
CEACAM1,-0.017058310960800568,0.01942828975232841,-0.0217684319553423
PDAP1,-0.006953115972695687,0.0360144542466493,-0.05049067703608011
QDPR,-0.007930756658121756,-0.08399464152051685,-0.04361200032148167
POMC,-0.040958172375606824,0.0017877740242932378,-0.00315860552554083
CCL18,0.046712173912391526,,0.07183332535873578
CCL17,-0.012102045981229192,0.0010581910833051135,
VEGFD,,-0.03365616780243601,
TNFSF13,-0.023222008482784606,0.025010252049938782,-0.009100370358957336
WNT5A,0.014621699330261312,0.1025049293000658,0.06973047611511055
CXCL8,0.008125258906191708,-0.010850015474096187,0.05109960136338083
GRN,-0.02028098575902638,0.11157579739579732,-0.007975066935270048
MIA,-0.09622102409424431,0.026766359985657736,0.020065917216860647
COL4A4,-0.031977028432875074,0.04447515192396648,-0.006875171508869289
TAC1,,,-0.03755674656811598
RARRES2,0.01869976476692683,-0.006508862940654335,0.015273572326284025
FGF7,-0.0022356653597656257,-0.02254162976025285,0.01903188371763649
HBEGF,-0.0870146541245899,-0.02155603895641758,-0.013586204220516526
CSF3,-0.03623519616119124,,-0.031208020746746733
PI3,0.07014767609873958,0.12578293801824914,0.003607027786518828
PCSK1N,0.06026712875014404,0.06440352293540272,-0.04594927157549802
NTS,0.1162534993147637,,-0.02676518889335353
SFRP1,0.0043095376306299315,0.002656228275617077,0.07138580098436459
CXCL13,-0.02718367654092438,,-0.04300936545060686
MICA,0.06046769964776796,0.0204201432207042,-0.044351442613793764
TG,-0.016080593424150774,,-0.011270712493854893
ADA,0.039401717160655846,0.012587099677420206,0.031398034813661935
LAMC3,-0.029877318686477927,-0.013910393403830391,0.05845517201155128
CCL7,-0.018138177396738092,,
