,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.07347452339932366,
BMP1,-0.04280007980388529,0.019971949886620044,0.04412607189622855,0.03368640889184069,0.026419356049377393,-0.001732897996824316,0.04879770033924906
NDP,0.04742531596860591,0.05840212025886673,0.023541889986979297,0.0018673694286011997,0.004410157271589987,0.07755864361422289,-0.05523204481044466
TNFSF18,-0.01501861094617434,,,,,-0.0032949217156606936,0.049389278297668794
RTN4,-0.034654107181735325,-0.0431832310916969,0.026923801134051833,-0.038692079548509256,0.015705707623582008,-0.013967845784118674,-0.018740440073252346
HEBP1,-0.0009809948543736268,0.009752221859953326,-0.025003008938978808,0.03156548059403986,0.04215828963331052,0.045520858529747896,0.012051069159844916
WNT7B,0.028992988974448505,-0.06139971370099735,0.007058896849792047,0.041767993601919955,-0.027464030079571235,0.059741176779237196,0.08928577528057867
PTMA,0.06080215040666543,0.09196302288622754,-0.031493047982064475,0.042005176195833174,-0.05893080275996754,0.004062658436083899,0.025864913887674243
FASLG,,,,,,-0.024912835762816735,
CEACAM1,0.00013664385172865417,,-0.01821209732349446,-0.016893070866904305,-0.018228276192437977,-0.021931900154043973,
PDAP1,0.02678748921427303,0.015173698270050908,0.0016109191062355264,0.018383256720453798,0.043151014521411346,-0.03989628957681168,0.06602044324825924
QDPR,0.056106060390591926,0.060515426553963116,0.03927693010109024,0.01037212152433333,0.022240775264876844,0.050135295280833166,-0.08918338257933811
POMC,-0.017426408498162845,-0.021403924660850195,0.024942279147694382,0.051055014330428104,-0.017338604371297067,0.010381329833324742,0.006870817541148423
CCL18,,,0.04858246137099913,0.04044993880997248,0.040208042665461574,,
CCL17,-0.01873113188361589,0.045295014965200546,-0.012920601560730797,0.09790553339460552,,-0.022580687418774226,
VEGFD,0.0769990008391224,0.04383564255424066,,-0.016893070866904305,,,
TNFSF13,,,-0.024792693690913872,-0.02650697472090541,0.051150499634953814,0.0341885294101992,-0.02901803759311923
WNT5A,-0.006249376794752479,0.03318794352062551,-0.03556253229306987,0.028345615332950165,-0.03803007173256313,0.005027675345596406,0.08405096366159168
CXCL8,-0.014953723528576627,0.07618941317712838,-0.012403365624420949,-0.015769269401729437,0.016764269230578464,-0.016853729493273982,0.11979463245507425
GRN,0.007272627480878245,0.0025841206295110055,-0.00379390810720474,0.01874600664658235,0.008616557981746398,-0.028448503322669533,-0.10193795636195546
MIA,-0.02929602394282758,-0.016679104598752693,0.06865993291256318,0.030348213167377985,0.02146460029368548,0.0963419456337257,0.03300767471156565
COL4A4,0.02303283120222801,-0.0549144616608051,0.023421735294452233,-0.027048447840106262,-0.013996849526789762,-0.030903624356795164,0.06472529504922213
TAC1,0.0133941657481808,-0.028414559662433093,,,0.017825498646657778,-0.029684609712918548,-0.013657273103527925
RARRES2,0.029962248455573402,0.0429613575445207,0.045986633023393036,0.01094257287862226,0.017811262105804738,-0.017371629170767896,0.1611381541254255
FGF7,-0.012647697398336814,0.034008069234520676,0.0037018802450625513,0.03613393471368892,0.02512881613669613,0.03011903564282831,0.022920490133290828
EFNA2,,,,-0.01605573332270715,,,
HBEGF,-0.029299911801448742,-0.012369506341691995,0.04371168167454799,0.017675083922323035,-0.026626895964124247,-0.060730424692903365,0.1476844605600627
