,UKF243,UKF255,UKF259,UKF260,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.016113802328766202,,-0.030500232866680094,
BMP1,0.09592244480457289,0.09826981804316594,-0.06488315144267114,0.043152145662691405,0.006443032368184466,0.02397196634563035,0.032567831189655574,-0.09777808886393542,-0.08980485129406501,-0.0015181513606146487,0.08690601970844612,0.097398057197383,0.10464490237642997,-0.009385677911368594,0.0012160397920124683,0.07714607896952043
NDP,-0.01229313106630557,0.09187004238998721,-0.04872196771296387,-0.05352567615766915,0.048487767368532025,-0.0015419547656279218,-0.03622797417493018,-0.049581382152058054,0.08830406438030651,0.1053174673117696,0.06965126585642772,-0.023245284589519504,0.10815577480825272,-0.02878426050222046,-0.04481231054870834,-0.12879553667987587
TNFSF18,-0.005876947924913223,,,,-0.024625452381299207,,,,0.10711312663216642,,,,-0.016617879916342594,,0.03501340689934696,0.019821150231475383
RTN4,0.07126677228379283,0.11254641485597551,-0.0487969326903279,0.053028711296879735,0.10272055452484774,-0.025710181016530567,-0.11357162199013385,-0.0664096836938795,-0.0014833455224648377,-0.056065024898801705,-0.06021938989010033,-0.028817330316104273,-0.0630887270186346,-0.10518264988489694,-0.01930746527226813,-0.13236530379714526
HEBP1,0.07923787446091013,0.02759615435489007,0.01652597791245052,-0.037479549833285775,0.05308945967995263,-0.01668377606087746,0.0611328379158232,-0.00550600597970861,-0.01568296205814434,-0.023154145929681888,-0.038772668179290475,0.04150758722799438,0.0680467119089265,-0.0627266014480035,-0.0221567958787135,0.0524331490184476
WNT7B,-0.013813447330737525,0.10245606341114179,-0.019974703909832338,-0.05493767860420555,-0.021193396478045218,0.10174118904230345,,-0.00666074325440126,,0.014333447884617722,-0.0389464785219242,0.0015519903946956486,-0.034749331256577115,0.003080887352894555,0.02928073591078984,0.04431401235903168
PTMA,-0.10554700810976762,-0.03023686654214964,-0.00037255130469360015,0.057771808297458906,0.04755904558482647,0.024168983255212616,0.15403920893205642,0.039547713978495984,-0.051924689023777594,-0.1303503532882376,-0.0769101158247515,-0.09994955632624393,-0.09899231201911127,0.026086885519892394,0.022451802273331406,0.1436551864626988
FASLG,,,,,,,,,,,,,,,0.0060812321919337525,
CEACAM1,,,-0.022879383402564984,0.049626143807893014,-0.03872996997483957,,,,0.05000787996514515,0.09164662898100687,-0.00035052194029211887,-0.006727421507967468,0.0618174739512795,0.050432679887844875,-0.014415908084691923,
PDAP1,0.017791472655615467,0.006348867706274984,0.02370746592611056,0.08851394102734204,-0.012380762858793491,-0.005612988426769278,0.013881624206712032,0.028721540223039563,0.044362180918375724,0.0626503431202233,-0.0010415802396613785,0.0004231216898248316,0.07016891197042295,-0.014810226479131825,-0.0037951743951009087,-0.005149593939107675
