,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF296,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.013038940401730812,,,,,,,-0.01980242793997722,
BMP1,0.06907696307303499,0.03822168357056933,0.025756570680506134,-0.07951669138466609,0.005108942920236129,0.010351385128423199,-0.0026560972342112607,0.045668347560986304,0.03272517550525633,0.05528356389798701,0.06590745715323965,0.03144620330887092,0.019429352001438572,0.03569784014257005
NDP,0.04086138613629946,-0.004197470836235867,-0.027435808673366445,-0.020653875783828827,0.014999306160149418,-0.024317054524580838,0.004199170798420371,0.04655344737569076,-0.037496739860650045,0.045477674423446204,0.01678819300643427,-0.005120046556452749,0.04229408399946901,0.047073265674634206
TNFSF18,0.09578049111684615,0.09085751977135544,-0.02998952338450644,,,0.139720539453422,,,,,,,-0.019839226363476906,-0.014037594080407353
RTN4,0.03427733458917484,0.004517532923524968,0.02262411005637659,-0.02293138563012206,0.0025130086616767773,-0.027059130742039677,0.008497122612962595,0.0023555497688049973,0.10039180774220519,0.01050360086997593,-0.046035434687383275,0.03248015620907514,-0.039517496365870146,-0.029751626761953108
HEBP1,0.07055440604937595,-0.007146467627111232,-0.020550540525302703,0.04223217397041158,0.02202641109797221,0.02301943655034572,0.01524996519578082,0.01371140610104643,0.04670856723396149,-0.023296520910893997,-0.006564186010066723,-0.03632731219509118,0.08381898793886822,0.040258445819380526
WNT7B,0.012227607390781521,-0.039811276422503206,0.12157745288408262,-0.024648095549199216,-0.0004025078375970733,0.04402066890750259,-0.010405328912966581,-0.07180097098372414,0.1557817206935416,-0.02123524885037547,-0.0107250559322291,0.0066504258361751905,-0.012756590993964666,0.039056084635413685
PTMA,-0.02669890528591267,0.019574131034240015,-0.04320512617294926,-0.010847353138650035,0.014946999700842956,-0.07284419034484392,-0.04542392495743667,-0.029897722165064287,-0.06464922810187146,-0.06861754377178167,-0.049048625400861974,-0.004680206252603395,-0.02197695924198114,0.013975496902578542
FASLG,,,,,,,,,,,,,-0.017174638996646334,
CEACAM1,,-0.017122070606682704,-0.014296301123865722,0.05641052302309138,-0.01926856023298276,-0.02547986173297687,,,-0.01769179675573162,-0.023840000164199078,-0.01689306958701784,-0.01603498306079712,-0.023895987668514636,
PDAP1,0.01174336016070277,-0.0785655514169519,-0.0011601361374252183,0.01948685215981187,0.046025123559313624,-0.008016754477020606,-0.03896115087364895,0.031665741531168384,-0.1766087394301096,-0.01127294046134237,0.0039780221326923115,0.002870663939483253,-0.012345516152463652,0.04642821143457492
QDPR,0.04397169351490554,0.019705306299697842,0.012562713323555309,0.019722450024130356,-0.01807636663969371,-0.04081460243529463,0.025022433278127837,-0.03621778844157596,0.004766662221203893,0.025521659178382654,-0.010714481333644625,-0.021738378104488795,0.029349687178280844,0.01549219361500625
POMC,0.026526479139068727,-0.0022354201371409246,0.11578967903568017,-0.026504488552069546,0.0008002676469276533,0.08250700971061675,0.011852581902884659,-0.025752563791942976,0.014407013322178,-0.04966217815381611,0.15813173352349297,-0.02623112584178775,0.010508661840532533,-0.010844755904718903
CCL18,0.09042964837237975,-0.021366726354955633,,,,,,-0.058786336656827906,-0.03758161456268072,0.08636847722763914,-0.031017265996117704,0.0466144957595111,,
CCL17,,,,-0.0164966280682305,,,-0.01287888028964605,,,0.008574459773657733,-0.024386206486205635,,-0.015566881201552677,
VEGFD,0.015364521018636213,-0.02136673313989201,-0.020476583102105362,-0.018379065386035075,-0.018435067480519794,-0.02184372278735961,-0.00944681444223524,-0.017399473105388818,-0.04233988972907428,,0.0072682984672314856,,,
TNFSF13,,-0.016124022481807044,,-0.011379004836027178,,,,,,-0.005535957884590402,-0.02650697271263123,-0.018006211272057714,-0.025364933603149994,-0.0169567985727855
WNT5A,0.023443896226312752,-0.0037050762345306764,0.03244753875687038,-0.011819932890456096,0.05494496385433792,-0.016744764743130677,-0.0012719391984431791,0.012707876732415994,-0.00411371732435316,-0.020842510584922834,-0.023870804606627022,0.023203868960872925,0.03408159387746224,0.007535337504824626
CXCL8,-0.05969831503485643,-0.07221933705308572,-0.01917305873102436,0.027816575040501078,0.014429336321214055,-0.03428799132096537,0.0860316050466601,-0.03170152653926108,0.16629119940433112,-0.0695568460628131,-0.07671961915361207,0.04610763726522747,0.04252622810371376,0.01417679244454746
GRN,0.039254262390059996,0.01031117066825092,-0.02944977908454434,-0.04693830696226761,0.006392905211221447,0.013875301428285915,0.006270771249874119,-0.02706378504856745,0.022175018908972232,0.005835833491728864,0.04059147190840005,-0.007845260552929898,0.0053070641786069055,-0.030054121909111334
MIA,0.1144764532606422,-0.03416006604639151,-0.018210441025741007,0.09241376382793187,-0.0006273317579243679,-0.002783453948773505,-0.010743761947445644,0.05767966606196688,0.13288433142408584,0.035474161205681976,0.011968443035799692,0.04048345818629878,0.03791372647767755,0.09211385899421935
COL4A4,0.010308120755010395,-0.025661264752649782,0.0439050087880955,0.05002884756510107,0.05175509670601519,-0.012848907948375182,-0.0180486656486647,,,-0.005036325603046989,-0.011623586085399085,0.003351400457035897,0.029997709421278003,0.034024141910776295
TAC1,0.12651284215728495,0.017534350893485443,-0.033742932758443145,-0.05043378733512125,-0.03355115223735799,0.024474547130337726,0.0093846286099759,,,,,-0.01453671275538427,-0.02046424824654626,0.044280115472298646
RARRES2,0.06414815981830958,-0.025422005626104475,0.03738312677883034,-0.032666472657904275,0.00995803934101268,-0.003431547922177026,0.010958020070461863,0.01092746441055479,0.05939780963374447,-0.03519922204939787,0.02411109575269182,0.029182900605208808,0.008511142621259432,-0.051034966912034366
FGF7,-0.018706662988282313,,0.03203147056456677,-0.0292418038551824,0.006323395549610511,0.01876986833181072,0.013226338457834101,-0.026467358383775064,-0.014560411705992713,-0.046003066122183287,0.014515957874478461,0.005948674118948684,0.0013443411746363655,0.07089723130291029
EFNA2,,,,,,,,,,,0.03460115866880287,,,
HBEGF,0.04185627100600776,0.044028926716913545,-0.027374649143864126,0.004523069881943828,0.03208882980384904,0.04270805574098049,0.04559125812638696,0.014970024004438571,0.06339936761474195,-0.036404155744228194,-0.024158697586548865,-0.015402919208656338,-0.028428883882523417,0.024541808197723804
CSF3,-0.0428500013855862,,,-0.019662542266223396,-0.04820912477409053,-0.013593897298613296,,0.035031839422257016,,-0.03331739967460247,-0.010439454744954332,-0.022988338574946296,-0.01638952443036645,0.0019681935601778213
PI3,-0.05076221647556878,-0.006498946352766535,,-0.015995925354709638,-0.013486408860611074,-0.015306907778262387,,,-0.04156371753139061,0.018600110716981234,-0.016953363433198552,0.04867315231719551,0.04523550428374228,-0.010121399173716373
PCSK1N,0.019792293633995144,-0.05488676003566445,0.09452811964203936,-0.0295773685411559,0.04971986739567101,0.0004859679369212318,0.037935041559719426,0.03698497701442393,0.02165310540485062,0.014864899593250484,0.052518198419310456,0.013604298630838325,0.02334558973682775,-0.01280583668918249
NTS,,,,,0.0089924668877204,-0.01670853500845469,-0.02616025764176627,,,0.04288317097504837,-0.019560862780782142,-0.011211873603786279,-0.006412356990023773,
SFRP1,0.16333759473463058,-0.019452982948466948,-0.01267808199542375,-0.014393945643436906,-0.021031219468764222,-0.012199181001782562,-0.012878880419346952,-0.04240634177628863,0.03939872932008632,-0.0034336498469621723,-0.019342425769641566,0.009496629742360376,-0.023706662349886918,0.05875338913073364
CXCL13,,,-0.034569682643145805,,-0.020842207074486918,,,-0.01574662732817156,,-0.014845244400217863,-0.009237938623653644,-0.037498763994038946,,0.08244737541580217
MICA,0.0870895238251903,0.029383786361286354,0.0329050282581176,0.012843919044395493,0.03539697790884338,0.024966975393071206,-0.0046971714555700175,-0.0300247502169785,0.03561520470977809,0.09189891723253167,0.02134909474034176,0.02875727978423084,-0.016488291516594474,-0.002993269593499601
TG,-0.0169969615679042,-0.033647410439414556,0.014351282064667879,-0.015533347843158204,-0.026827292203677522,-0.016406617820957554,-0.00932038973751919,-0.0033717766815202386,-0.0019856498391020356,-0.02247358198318255,-0.0240913408381436,0.1623623175734267,-0.031962698816103245,-0.034679136633811926
