,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.05775707700664118,,,,,,0.129393288438991,,-0.02886439915834671,,
BMP1,-0.005286680742269959,0.030157580962677753,0.006922410778192181,0.013074470910377067,0.07234305100530884,0.1598744102081607,-0.005564218613361454,0.05667712326504314,0.09283887468420818,-0.037347055200024036,-0.02655956296235045,0.0027194612189576687,-0.028563257549790243,-0.0343619932482243,-0.004029877013748057,0.14324697581129797
NDP,-0.0011942752959592125,-0.0022548485210210274,-0.007805382117360129,0.023878720719870652,0.0644817284061628,0.03782273587372224,0.02498034734298481,-0.0378284782069976,-0.042674122639377345,0.061084205790668665,0.10875048301056209,0.15058196276645602,-0.022491286572023605,0.18273953901015322,0.05314809865543533,-0.01296077364840405
TNFSF18,0.014417779612283492,0.02426606691960601,,,0.012680761318768373,0.08758145116851639,,0.11357456267429979,,,,0.03576920624734688,,-0.030535160282154025,0.061395211604408424,
RTN4,0.08315324982344736,-0.012142422074665007,-0.0013685605809965824,0.030752072995053798,-0.0622535444483886,-0.2456316698898834,0.030756155370852332,-0.036998286781700335,-0.05253502852667707,-0.04584246004136386,-0.02516261827032305,-0.008119046101247935,0.11404132929922345,-0.022198357416275374,-0.05814964546341203,-0.07022236419259233
HEBP1,-0.01722608591869452,0.04452653677558754,-0.030918881680258206,0.03237144159877041,-0.000811890599774199,0.04410519789236965,0.07398140707884,-0.038057032726031594,0.01003165556295193,-0.019857022031629406,-0.009183271235252703,0.008186211352594041,0.028820922987127996,0.0693056200163149,-0.022467603319563607,-0.01267023214953862
WNT7B,0.06159428275468373,-0.020997618078942612,0.04525546187177665,-0.01059692681762424,0.0275728506028232,-0.0749270398892255,,,0.05630574439798042,-0.014950376244530862,0.04895373415470261,0.02663808610842461,-0.04250163272421419,-0.06160862690274993,0.0143546303781083,-0.03929233340352205
PTMA,0.06595517186885823,0.046674654141656675,-0.04995532090325359,-0.02860259115997024,0.07953417065469795,-0.06364063755751587,0.008364065803823097,-0.03469694113634257,-0.05333785474849973,-0.06423458800190417,0.005194238461258907,-0.038586413249459973,0.07930093652696912,-0.10149371293152251,-0.07379003986998077,0.05863118213361277
FASLG,,,,,,,,,,,,,,-0.025034083542802038,,
CEACAM1,,-0.016114408953902013,0.011535303805160345,-0.01561003150322124,,0.14225703410075885,,0.13841842669552595,0.08121937064377571,0.111465391000843,0.043988861836164586,-0.022332772233358666,-0.033482746504669605,-0.034831250412202266,,
PDAP1,-0.03862626295579058,0.04044531749159602,0.03759731532679014,-0.011974546572338297,0.06038988408918563,0.1332578655083063,0.08201612777077746,0.09760198165082355,-0.047481487986422495,-0.05774682488459181,-0.04797379633788102,0.03592353529002286,-0.011042023235083728,0.03604418802873748,-0.0473464990817074,0.12139717138314383
QDPR,-0.04656290309207975,0.01321185725149101,5.803367992072959e-05,0.08766981210383759,0.006776782125661115,-0.18859704935752045,0.016694821176707276,0.07874522500826968,-0.07314411094676346,0.09484714396576391,0.06196030522451483,-0.04487680132682221,-0.038669746256719144,0.03128425970392611,0.06196479332004832,-0.09369582136172777
POMC,-0.008385689456701356,0.04903765518907504,-0.030799256585460115,-0.0074557512454984974,0.01831856909079493,0.04117805725071753,-0.02095477697661505,0.1007889211431983,-0.08059337778017119,0.054594193568224224,-0.012887698107052073,-0.033966230548082385,-0.02020127389678204,-0.013604854019453492,0.025144583864404078,-0.05883020987050156
CCL18,0.020861554101869562,,,,,,-0.004862016763843895,,-0.0033243474591580515,-0.004029335925930613,-0.0065612907496397765,,0.006362800560164983,,,
CCL17,,,-0.03045266792598892,,,,,,,-0.02607160486372163,-0.05522803466472947,-0.04679320923132252,,-0.02269058491282646,,
VEGFD,0.07253248872561846,-0.023080657802810885,0.01730681127488613,-0.014934794331043617,,0.056766340275468556,-0.011696941249064872,-0.04572197584763641,,,-0.03825814536890989,0.01568492233878045,,,,
TNFSF13,,,-0.00712442578638321,,-0.013383890408019385,,,,,0.0033380207119713765,-0.016862161074139063,0.051380447247134066,-0.01676863273177924,0.040552056544685584,-0.004196258020847729,
WNT5A,0.0629167934704217,0.08415486208861396,0.04274669142937715,0.053755902529144146,0.07731086207409353,0.2005493008118807,0.020120880705615532,0.03712730322195926,0.025876561401361253,-0.013870481300455234,-0.013054286611170873,-0.02009194925660588,-0.04566532362698521,-0.05193004032529982,-0.05456086792871509,-0.0781959638650804
CXCL8,0.04181528215752131,-0.021611359932335036,-0.008775829227127059,-0.06443424929506729,0.00046692600119234,0.03025835562457536,-0.061142465657754524,-0.033801614402578145,0.02014312181764448,-0.13385747651032606,-0.14225243259410847,-0.040615620274637027,0.0076032482801176885,-0.007261662448946661,0.004707256157393993,-0.029269567845440377
GRN,-0.024976577746517372,-0.001290039050482319,0.03893426258522204,-0.018031141676165263,-0.0025747993639631778,0.21901736701121807,0.03812208903146728,0.06080748359284353,-0.02681131447854104,-0.033647641487280215,-0.05431065218261765,0.026955481576759848,-0.050399266882599186,-0.08717723559486594,-0.015219920399187679,0.010416361962805432
MIA,-0.018586547470777422,-0.020526322954252125,0.04449858348586063,-0.045317326412140035,-0.02420065509103264,0.11995907806867823,,0.05252959136099725,0.04974051243139186,0.16318226134327218,0.14195621183443222,0.05125584068255447,-0.11488516227274444,0.08253982977678752,-0.025001296385569832,
COL4A4,0.008708374436195253,-0.03451916151489388,-0.015104253008787307,0.0011726279025511734,-0.01273418041738645,-0.031372003557197575,,-0.03580120754787283,-0.036396295214609665,0.01701344890598289,0.007597495410093769,-0.035335417720244205,0.03528441559169058,-0.04114681000326443,-0.03427106615587827,
