,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.02930423049847212,,,,,,,,,,,,-0.018872399167006434,,0.08256041551070248,,
BMP1,-0.04864964807365025,-0.012652741388027734,0.06584272578446825,-0.02950327689935988,0.06471412293665416,0.04668619858813401,0.015662904152175722,0.032093336283514,0.019344397650180208,0.055548230661447366,0.021524395832765275,-0.009476695140166455,-0.04830314961194562,-0.03187266436388876,0.05270211561523104,-0.022838523298947942,0.013683766729240609,0.05650854871628635,-0.04299401995897122,0.09181544091223115,0.0350303735017868,-0.013908153324304375
NDP,-0.06067726562681277,0.0195199146544266,0.0515683624264283,0.018163280588713027,0.019156840863001824,0.03820963531220399,-0.00784007307845861,-0.03282784986613262,0.04283323165376503,0.025291144318847773,0.03317091731848894,-0.024414278495312927,0.13804749777748804,0.0001980346885408543,0.0658960174370301,-0.013607919220618846,0.05433541355894787,0.06235135780763529,-0.020903106371754052,-0.02111822297701744,-0.024753470677829074,0.04830485715942944
TNFSF18,-0.01987259212487862,-0.017757793864213577,-0.015339075778818054,,,0.014791884930037308,0.03594505976618783,,,,,-0.027050321771106996,,-0.017616047964618915,,,,-0.019462772143526104,,0.01785680965512281,0.047397545945419776,
IL36G,,,,,,,,,,,0.028766021602119538,,,,,,,,,,,
RTN4,-0.01662603933786544,0.04151878112649266,-0.0025068705334742687,-0.028295087988866468,0.01007850986210746,-0.04389416795590559,-0.011355616663613266,0.03542680375574358,0.007089723211330144,-0.029493595448384403,-0.04901378916339144,-0.07608995222754093,-0.023492576149619967,-0.017236680192086618,-0.00910820480183816,0.01509260142369127,-0.012281590855793813,-0.03690568449886113,0.007024058526428291,0.028433305358812402,0.011138910074777271,0.07221075424433178
HEBP1,-0.03891388760570859,0.02338723519869669,-0.007851173110208826,-0.04192789112085536,-0.029437623763231405,0.04380738666149099,0.03522879376128326,0.050963342302634294,-0.006321429035437233,0.005575690114612978,0.020280960223411932,-0.00014784845486072253,-0.007382042478763511,-0.019196150003347224,-0.0038905427531088126,-0.005890698562817685,0.06630514366162346,0.013585497201318466,0.028801033656213608,-0.0012358042821054426,0.01287353481296437,0.09986459989896988
WNT7B,0.07494487771394158,-0.02734838699841974,-0.028182384588234893,-0.007110494834229414,-0.00826633353097897,0.018905922320511595,-0.05290264147283972,0.014120621413778407,,0.00849918082763709,-0.02751285331887491,-0.029779764012245385,-0.06496673186656017,,-0.007075455381182669,0.020454458168505888,-0.0240388772004142,-0.028618819531048036,0.0015534806224026725,0.02212937369534978,0.06952067650585675,-0.03649539709426397
PTMA,0.022913446887744972,-0.027520666094725216,0.08935504420661414,0.015099653298300096,0.0026924037634582284,-0.000541553564624469,-0.03575654877330394,-0.015254112869407862,-0.03172105474392562,0.11089230402457662,0.01440706039381073,-0.038843946622534445,0.1147239434465562,-0.12946236542151382,-0.031023603425552354,-0.04692965786744636,-0.0543571848099342,-0.05869992305557014,-0.07736584565146633,0.02217268763595366,0.08483130889712143,0.08777152992963491
FASLG,,,,,,,,,,,,,,,,,,,,0.005765161042141161,,
