,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.03065170708487447,,,,,-0.007749749685912886,,,
BMP1,0.007837348690323334,0.005143828378163798,0.026935151604578343,-0.002199313623635335,0.06548309433929134,-0.04719617669786359,-0.11483879758054612,-0.04994036612892936,0.011827896687404808,-0.11225555540804293,-0.1804621822209863,0.04498217712717938,0.004185587639311502,-0.07375845608945338,-0.09114693029786711
NDP,-0.027419553431460596,-0.00046835728433241154,-0.0005466466168287738,0.027828888869227443,-0.03251451585085604,0.026147100244465444,0.021838194775543527,0.019735418544653528,0.016945482660361513,0.016017438522698175,0.03537671338884996,-0.0687116317688749,0.07544263624709226,0.08438358196675591,0.02840093975707653
TNFSF18,-0.024338489594632598,0.010436668935315307,0.05213727992657734,,,0.005998208472910531,-0.0400835263518636,-0.025614070185857072,,,,-0.02996300023457013,0.09556601093176108,-0.03369578812496846,
IL36G,,,,,,,,,,,-0.03667136571445973,,,,
RTN4,0.20261624422935504,0.022213776829548348,0.08130535755003962,0.004328980734330779,0.05852106560208497,0.1781841583500338,0.16423208057121536,0.13014079509772766,0.07473029578471313,0.2925855802179029,0.2665901102762531,0.0033337832025961893,-0.0636497090806346,0.25819565953235213,0.0970566718053762
HEBP1,-0.11055298501360261,-0.03696166271559257,0.05498993698013568,0.05231511543603085,0.007391284445601589,-0.006529173844042195,-0.1081062045205765,-0.0442384930662574,-0.0394507084824582,-0.09093108603662571,-0.07666395799765663,-0.010601148816363384,-0.045082529647178356,0.002969534060727504,-0.022463891806954288
WNT7B,0.21995461870226732,0.030067983007845835,0.00453807310350752,0.023133343417702276,0.0658010709259568,-0.02514802803643073,0.03677332283793296,-0.019555266786460607,0.04108591186178549,,0.05536000985667485,-0.011839315339909146,-0.03282208100015879,0.07133869500214443,0.06744774489531374
PTMA,-0.021080960408209115,0.02642584123160078,-0.062470486630555926,0.04111921008254083,-0.11785457224527274,-0.19975245661043714,0.026410276879245596,0.10819124753516442,-0.06896692703406401,-0.40235915539412964,-0.29946768119245903,0.040145389031937234,-0.07825628404131506,-0.09776053867669653,-0.007630923878310737
CEACAM1,,-0.03757911581502863,-0.02252792237259154,-0.020723137226619746,0.020252050787158766,,-0.052747637692096595,0.003948203088164933,,,,0.0130480642874713,,,
PDAP1,-0.0336984869451745,0.010935838075831586,0.021963614068401954,-0.044700568968897875,-0.012257961673153564,-0.08321960201080636,-0.1370574779810081,0.006272254381143777,0.007978729473106455,-0.07313010710321462,-0.117986140457119,0.001467400140262129,0.0021615565595297847,-0.032136267684448085,0.08373231773361287
QDPR,0.10904132846847212,0.045315142827912096,0.04759070262780324,0.011788916453563813,0.06210893004816704,0.09247191836368529,0.04744852179764628,0.058238863251450466,0.0011879246667395051,-0.2639364694285517,0.09075732197091595,0.11605741393310431,-0.058607125966885,0.2078414643814957,0.017741080955370848
POMC,0.08993300234132555,0.05757488211881212,-0.007383029784657703,-0.009834233761179954,0.014230116486696568,0.02543906441847208,0.032725834180458366,0.028245080300178582,0.012436373037803497,-0.03822988438945695,0.1519447026870269,0.05552778852498708,,0.011430189011401123,-0.026525402100625046
