,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.08104913142098404,,,,,,,,,0.008401393493135687,,0.06536811444371488,
BMP1,0.012310200779872367,0.009409028307125183,0.012521137314518397,-0.010811314992384654,0.020857226345683513,0.20255600291570777,0.030593626581239167,-0.04345441742709996,-0.03477743100607822,0.042380798236632496,0.07652586593826718,0.025809363773687595,-0.00584124602263931,0.04086148096761658,0.041771836858445745,0.026215039129964812,-0.002540060840891525,0.03884890081816445
NDP,0.09313562270234464,0.022117808998200164,-0.021253395580288763,0.0009994962949596536,-0.006420896697934543,-0.0182265005673069,0.03334217544078599,-0.009970210936302537,0.0691506110552007,-0.09510252363326001,0.07136926755363375,0.031204690753995398,0.0677403092112329,0.04331280752115763,-0.005466377776183539,-0.017307238656755684,0.0676534273348353,0.032498663816331826
TNFSF18,0.06453563041561558,0.03705942578991954,0.0054856968159157,,,0.13117148972981593,0.024795560807820676,,,,-0.07621293833265509,,,,-0.01946276803631693,,-0.042871382501976744,-0.03231763825471967
IL36G,,,,,,,,,-0.017456439008537245,,,,,,,,,
RTN4,0.04044956465283403,0.010955422150527442,0.06798534724338913,-0.010061551917649732,-0.02990249514830886,-0.163301301203329,-0.043582849349167826,-0.02249229038860838,-0.0027696554383532528,-0.051191483044106284,-0.001337306909561661,-0.07944143033985458,0.004377962746067746,0.014381156093487243,-0.0584369438328659,0.051236102101640146,-0.023873126382000048,-0.06076389417834027
HEBP1,-0.03436473479823206,-0.016126955502204294,0.04023603364219338,0.0006253685395383525,0.030866192515800826,0.11480395836894432,-0.028740817389606568,0.08851465964799525,0.06528220642800972,0.10652873464226531,-0.05968548992135463,0.025133279898508297,0.02907253560067002,0.05908813782041821,-0.027254407500215443,0.03260321716216814,0.09504639826334826,0.07537314752728932
WNT7B,0.2505336426058651,-0.046382816572092624,0.0800845545917945,0.010966856823889303,-0.015243040658665016,-0.1104560893007898,-0.004943174985549019,0.09628666732188432,0.015531604213629825,0.00014963918935665774,,-0.026763143951680078,0.0026731242753934483,-0.02384864133168711,0.008214192184797867,0.017119664521226447,0.022435579402199243,0.13941101141456347
PTMA,0.05822958042637316,-0.005654941745487963,-0.014257774543457833,0.0271833423969579,0.0018144500685039655,-0.1229318479874016,-0.061209705252023336,-0.009307667412087299,0.01584981403650527,0.06891550108692772,-0.03620852570557971,-0.13764696509135377,-0.06945140309038283,0.011214146126660161,-0.057787279739258575,-0.03357665973299647,-0.05903383831352843,-0.03488719403071026
FASLG,-0.0015952096597189954,,,,,,,,,,,,,,,,-0.011551864771983252,
