,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.006862388770221292,,,,,,,,0.11123296844860824,,-0.018186166813005313
BMP1,-0.005902678398179928,-8.254498703426929e-05,0.1056413464280617,-0.06486865822206697,0.00610307099899855,-0.008793789746966497,0.0451836273881942,0.024840764086105863,-0.036834448829915545,0.02349502535512233,0.05027149079479605,0.005969202483411437,-0.07982272434724717,-0.018625914902637007,-0.03901830480946991,-0.012884951520439815
NDP,0.015569074483578225,0.026721090234456128,0.036515003253595135,-0.0045804482596013925,0.09649285551377143,-0.03605202044108044,-0.0643770079684084,-0.03294664064721177,0.031022382215425866,0.12572131527014327,0.031075846530772666,0.014071839293939346,0.10096641319108467,0.014986275888379925,0.07637728043936891,-0.018016204952508764
TNFSF18,0.02813403069424893,0.028004013402792002,-0.027734217369536872,,-0.01626493865336343,0.007768158291613682,-0.016604480607409048,,,,,,,-0.016360138596778956,,-0.03067681206065766
IL36G,,,,,,,,,-0.015082913624073224,,,,,,,
RTN4,-0.12099053040224929,-0.011485921798000955,0.03589759218410876,0.03855989835973554,0.01401884250508961,0.05692919701301173,-0.012011261393515946,0.06740658012106716,0.09172083473570153,-0.12685544486507713,-0.1160686736996273,0.0687303969408718,-0.007429814768283535,0.03799049284038045,0.08075196715118077,-0.012334322765446205
HEBP1,-0.05624131147234596,0.053475141480748174,-0.0271114595705659,-0.007392240272582258,-0.003709059735041145,-0.01099227299159362,0.05939344007700327,0.019777420895639646,-0.019572978205410863,0.046431793833984394,-0.007815575151266263,0.0027269593950506326,0.039423072236047386,0.04322294845463196,-0.011709119969944424,0.0015584962811881471
WNT7B,-0.0539304839256618,-0.02405758482748984,-0.017227636103705507,0.011455940244899756,0.047399831139687376,0.03328036733748478,-0.009880919147233418,-0.01387467000099757,0.06428144946382172,0.029259151866787052,-0.03139837175171816,0.004762779667849779,0.06661835809071716,0.02638640033984742,-0.01976903549332058,-0.03881684007441478
PTMA,-0.028766710722359343,-0.003475675611657765,0.023393128992172836,0.05399620527203151,-0.04714080866329273,0.07688964894694106,-0.025721539073986374,-0.019223519584449317,-0.009515104027648614,-0.044274805707581306,-0.12358374770855739,-0.029837894394780913,-0.006133708548639409,-0.011696008743835171,0.03478597342709009,-0.032183690956619056
FASLG,,,,,,,,,,,,,,,,0.09080606996834548
CEACAM1,,-0.017040657441007013,-0.013221174537054804,0.03749203792654288,,-0.03192591527105495,-0.02611489224300007,,,0.06989969080401759,-0.028158562705595063,0.04237846600808046,-0.006549248277432845,-0.02350781114198387,-0.013120996371847212,-0.021945612892437318
PDAP1,0.03784230252456204,0.025740071953239664,0.06543419386201371,-0.018760604846555014,0.005048934773498271,-0.02317415137530299,-0.012286360448081547,-0.01564030099091346,-0.06042489405823364,-0.03529682003864416,0.05014279762865443,-0.02884845905359898,0.0033197622355187156,-0.02095105804744889,0.0596336360471864,-0.006692264636144517
QDPR,-0.01783578237742672,-0.017429043027839944,-0.0017214485380136757,-0.016121302686493012,-0.03110262510624489,0.0009486954872381071,0.01262578495483388,0.025250544818758137,0.028822590856576263,-0.009596569400396658,-0.07529596301913741,0.040269459682024014,0.049395440621756256,-0.0392751463854971,-0.005099898267684914,-0.004331514174043962
POMC,0.07429203919907025,0.029212341918405254,0.04681994628153726,0.026575833669515835,0.047463581097541056,-0.04115427474897244,-0.01926652624544085,-0.02846285748928103,0.03455554366527502,0.034974704572460276,-0.013334346010002133,0.04190392274914912,-0.03959850449798301,-0.015793023074926648,-0.02146422641636736,-0.0013321440796715948
CCL18,-0.01215499851816806,-0.036065533802491834,,,,,,,,-0.040893247076508626,-0.019964883929448833,-0.04596290320420058,-0.01881619520105336,,-0.04518537496382842,
CCL17,,,,-0.0026730849332101785,,,-0.020709020110514748,0.015684516940241873,-0.01377866979936349,,,-0.017818947395697993,-0.03456283141638823,-0.02091560833734309,,-0.014296322609923315
VEGFD,-0.034913876505871404,-0.03606554525498803,0.031639931057107,0.028984896401866158,,-0.027369883330688648,-0.022063709334733523,-0.012596567974255716,-0.01476702719535766,-0.021465168491316942,,,-0.02394272830305474,-0.022059511207631288,,
TNFSF13,,0.02281292768823288,,-0.007558544754107566,-0.01577359743615702,,,,,,,-0.03419188360538382,0.03119590484430056,-0.022429285070275373,-0.014733999523142548,-0.004711174522055152
WNT5A,0.05187096823637351,0.032981868355937305,0.06657861225919048,0.01478426058527963,0.0007854238493747543,-0.027661415421232672,0.0011872779300624824,-0.003026359857969028,-0.01786505549346559,0.10488869065426859,0.032668057641239465,-0.00699579789279656,0.029679943203032834,0.05614307680200565,0.07962772036511268,0.04432460633043096
CXCL8,0.014115013036371547,0.019902955109714605,0.01852793757179184,0.09684789470373847,-0.022436919290722977,-0.0015451859903546263,0.0375545061403169,-0.011730471814611447,-0.044398800379692384,-0.05424437361607679,0.00573931418748155,-0.09565932283748128,-0.07471356217570826,0.004620413283775322,-0.0632123774139555,0.014938771780400054
GRN,-0.001363042428237423,0.03743678237705628,-0.07180865938369937,0.05944987551878097,-0.044674643962939214,-0.019144381725330915,0.020622631163470836,-0.023708220651816426,0.012659437596639414,0.0012540323368659552,0.0756495397520952,-0.033859613819389026,-0.04334472186223542,-0.027813475874788593,-0.0687395635619508,0.08070510222633584
MIA,-0.034831901431594765,0.0031154633826778874,-0.016840958868454686,0.04295736041041907,-0.028521706279700725,-0.011186449886540847,0.04492178055661481,-0.014325943258201558,-0.02022412048087085,-0.034902328960264795,0.08837378382091368,0.04690198807595729,0.04538820624079387,-0.04767630825604037,-0.0156027352546497,-0.011736310624600349
