,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.028956562676040635,,,,,,,0.0025933666482584835,0.005657501490003573,
BMP1,0.05063897377857443,-0.01971308124300932,0.022121204742850956,-0.010553303664702786,0.019869760284810595,-0.03464643001644474,0.019009701867795218,-0.005518659033748136,0.033659857812287725,-0.030970577659717165,-0.039475477841935495,-0.00695325186133754,0.0035261732992209875,-0.01872140834729132,-0.05058301954362032,0.032447237401129134
NDP,0.06794358689420944,-0.018155148163636253,0.03602616473081633,0.009335465351170432,-0.053228083393888924,0.03916984891893968,-0.032717488674099536,0.051732299874154716,0.006921818998327882,0.0028664024753512333,-0.03460413073231421,-0.07931243729163695,-0.00011018183154645117,0.020944586965214226,0.1369220982386307,0.01835007770235501
TNFSF18,-0.020102981183762914,0.04591338989171121,-0.006380246072842619,,,-0.018168053149933,-0.02095460184843682,-0.016007286071359535,,,,,0.017602215906069082,-0.02177047465342629,0.038884931973251984,-0.03004546183151181
IL36G,,,,,,,,,,,0.020313755275786632,,,,,
RTN4,-0.06568913991409232,0.07099855147729749,0.004952423048097635,0.009893727404553913,-0.04814614943539928,0.02841850684501919,-0.029043721286744772,-0.0037584665863168425,-0.07838187903209437,-0.008790113196286694,0.08976810909302671,-0.12232085328801194,-0.02569622711211582,0.015200960955011592,0.02851451791660537,-0.06743842418474384
HEBP1,0.03823454063789505,-0.07430457506272631,-0.03916446738763396,-0.006835592589858382,-0.014352085490151323,-0.012800982486177405,0.027466639208141748,0.005123370018358477,0.03353592958646401,0.007467612302914475,-0.05748309490708334,0.031213610980848565,0.02079083410204431,0.005369173527400477,0.05353237749043763,0.02217627982485188
WNT7B,-0.017710096780015387,0.06978896463288849,0.008881816923398024,0.003247537407722706,-0.03312435960118352,0.039233736865323686,-0.004423682291312891,-0.031783545381268874,-0.0544458541421355,,0.015683620336985445,0.10061286574900496,,-0.045523823685887185,-0.041693069657181704,-0.007614620117450836
PTMA,-0.058754519906829394,0.061636824117061166,0.04044582227678592,-0.040364813103886316,0.02650364609182608,0.005285803863825885,0.04784202879001857,-0.010294855891501201,0.06633179273530904,-0.004586142818284651,-0.07909560913267247,0.11544748029680622,-0.06274212734135622,-0.0005737548456026886,-0.1286890043587354,0.021692246030201697
FASLG,-0.01771010178661438,,,,,,,,,,,,,,-0.023030337767468358,
CEACAM1,-0.005037155606566131,,-0.016764850391819297,0.04552290404579685,-0.021091488110331492,,0.01033866845390675,-0.029963096134246282,,,,-0.04178456600563742,-0.03633598682107635,-0.031281899208656594,0.0489469799016753,
PDAP1,0.06823085736616054,-0.0017737062810767147,0.009364507403869448,-0.0062803914895227355,-0.01921415739000055,0.0437364189023058,0.013818924349487375,0.022004892037971874,-0.0062901390464054335,0.006514252260222595,-0.043327242395267994,0.017884561439880556,-0.014005312406118145,0.03299068404039975,0.01570212953673051,0.005143069631792386
QDPR,-0.1488804402648081,-0.014968685673352109,0.036130653041899455,0.020064041950483395,-0.019979016534260437,0.06356841526392198,-0.059746442032278635,-0.016968028035205415,-0.012435078374685087,0.041660620632508145,0.013751582225042965,-0.10633745226356857,-0.019324872689873002,-0.06651742701861647,0.04695942558038081,-0.04876989749414396
POMC,-0.01327928974351742,0.13346675019248183,0.013171195521864184,0.034202912519932134,-0.06502109489620451,0.00236228329910153,0.003996039174426207,-0.0249353697708958,0.008109009171595493,0.036276036488056,-0.0377392643471365,0.019477106390236403,-0.02866995172400051,-0.009056974884929493,-0.018581753809690085,-0.030462806663741675
CCL18,,-0.023790497043475394,,,,,,,,-0.03677937584909288,,-0.03582808085810118,,,,
CCL17,,,,-0.00042386771460318384,,,,-0.03494922913551813,0.028833920648948103,,-0.016091349791937812,,,-0.02783244888027836,-0.02087441442744838,
VEGFD,,-0.02680493656842368,-0.024012284664974,-0.03268232417780555,0.043321993855605985,,0.044701969673572386,-0.03069127464789199,0.015480509259470447,0.04245454297652057,-0.017245597974815785,-0.040364337998472506,-0.016265025426902432,0.005203006422709577,,
TNFSF13,,,,-0.02481127400817062,,0.08531667208792046,,,,,,,,-0.012579982154060332,-0.03401311599294874,-0.03268517679743767
WNT5A,-0.02689945709657598,0.055430749718796524,-0.0040403127556962164,-0.020108523691198373,0.020814920194501946,-0.000799918933662107,0.008196175985671388,0.028290683741244632,0.014322993730681499,0.004090188188543501,-0.036325519841204724,-0.14551076905913973,-0.08437346542393973,0.023958196653544504,-0.006848963366548189,0.05219166935491504
CXCL8,,-0.006024858348757364,-0.02248368010677942,-0.011391944412089633,-0.04339317836143942,-0.025062199795651677,-0.05808113187559966,-0.04123662966486815,0.02422523938131294,0.004210339508655215,0.004352688294493369,0.07103449974382457,-0.03254866969748894,-0.013642827553549293,-0.013906739821716006,0.005193434037216818
GRN,-0.08860035124040448,-0.04788080757501625,-0.06912142666890356,0.0125765393619346,0.02115519386936419,-0.011017205448556432,0.02107268643925845,0.004604003335112804,0.04329017682382585,-0.035162100248779034,-0.010403493863162538,-0.18108369503232422,0.05182946029461911,-0.04393654182755759,-0.09210635970183112,-0.13365969184295234
MIA,-0.023180995704262658,0.06584288205974159,0.009831834635514772,0.021920522098121217,0.03198664216252832,-0.03185895051065717,0.004051062680909696,0.007220752906660073,-0.013897065606041079,,-0.023618636750190485,-0.034600422017673355,0.04745578204785394,-0.0064890716080347605,0.03265858218132554,-0.04999234985861247
COL4A4,-0.020510455833307486,-0.026983846679481834,-0.025723879944822843,-0.020487864015536254,0.012064196193084863,-0.016763910819158883,-0.021843712708209444,-0.0161916079103317,0.021680975486402243,,-0.02291095387781382,,-0.05948425491539505,0.006668739075441333,-0.03917795483522742,0.04825944869492385
