,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.002064490413561111,-0.0007354733226777162,-0.040014245432914236,-0.019023781273712525,0.02700730814332699,-0.00782083281323318,-0.11410849598532521,-0.023983307738441224,-0.01103626714622162,0.15870903553076407,-0.010983680993962762,-0.019300890959493323,0.04450188535871213,-0.11993335431343274,0.10465475544527034
RARRES2,-0.04224050839475138,-0.025098990341920986,-0.0340569323948623,0.03094791016270507,-0.08995117832634243,-0.03447040421188383,-0.17953802325620702,0.0643093393632305,-0.05972700655283081,-0.033657995416216405,0.07005555995167864,0.027562701977336537,0.07312370170389361,0.00247792018583379,-0.08329720238847285
SEMA4A,0.05021442214382716,0.040502549404242416,-0.020923516568789206,-0.013477513791361148,0.03585349826800724,0.058101700561346205,0.14943235396477444,0.01514939009935709,0.18334433005782722,0.05322756983962987,0.03738073182536858,0.010256640309239506,-0.032586772175628304,0.1253522698781851,0.07991804904756743
GDF11,0.01705441512775027,-0.0287253898337263,-0.05300476063925853,0.05439673307605393,-0.018240995057640846,0.0021076650657512654,-0.09041879313753705,0.05439485069112205,0.013932464774281911,0.046583166978902774,-0.029811941902884883,-0.0534054512312859,0.060317096191230046,0.08166675789160213,0.023376830973705437
GPC3,0.019760606160080723,0.001224800852800445,-0.021512921203249498,-0.03267293638336663,-0.026582540190343187,0.0025229022724922506,0.011330208610368549,0.02974598895383722,-0.02448709392913109,0.13222252375139418,-0.010927052923555251,0.04377283776597014,0.010912483995792291,0.029323024339343425,0.045304466926090865
OSTN,,,,0.06529114074003874,-0.016770288351338168,,-0.013595479310527627,0.07645718777276599,,,,,,,-0.03183962837056263
GRN,-0.01738933413276732,0.01624428282299983,-0.0359332205056317,-0.0459317100249698,-0.04526382069208298,-0.07968375913471518,-0.18284134621873552,0.05764719614442624,-0.10543565555549439,-0.03590584366520465,0.02341691212306694,-0.07569071763552122,0.13441098336413873,-0.020190893965995528,0.08274189696614602
CALM1,0.004009250786587512,0.001304480243215952,0.02570559865651652,-0.01646760011577117,0.11933272839082294,0.04946160467196775,0.20996645275405718,0.004926094057427694,0.19564466540350353,0.09282680697971482,-0.06418041026109701,-0.017655316038693802,-0.07697382678573852,0.05306089315894439,0.001527687975743902
ANGPTL4,0.04386994284648444,0.023165829472217063,0.02705554843099511,0.025391478054144982,-0.042287121063444046,0.0132911824777752,-0.01595682866481372,-0.05371680747938798,-0.08790660555492648,-0.06606421693015517,0.11229277809530745,0.021995919319370217,0.0474520699386934,0.062410897446767546,-0.045523961268758496
BMP8B,0.031442570137191594,-0.008282698129816825,-0.037847530319766315,0.030441655697571592,-0.036789359580954376,-0.0005961607054702181,0.013160283033940554,0.06856036670553955,-0.09827240963565109,0.07705993441177651,0.04527956968968893,0.057757831328649,0.06319118409052073,0.023228503379899026,-0.009431103671238608
TNFSF4,0.05212338636851105,0.01337220476690031,0.11229923518534185,0.05636054107717882,-0.03382466891874485,-0.022802774271141357,-0.0008746607041200504,-0.03703148949504938,-0.03747692265702247,0.05008120295136048,0.051463680110500155,0.11952900691192131,-0.039369034349919695,-0.020263641200263062,0.07025699118362298
RBP4,-0.013484083791637683,-0.010940115475336734,-0.011184573522150314,0.02288231445315016,0.1458761819427706,0.1125559091423773,0.11684152754172245,0.10186801371964407,0.06491073443558215,-0.006614885035090745,0.07403484996898728,0.005860471789018351,0.0864980134222966,0.12611856772500693,0.04512113510213062
