,UKF243,UKF248,UKF259,UKF260,UKF269,UKF334,ZH8811Bbulk
IGFL3,,,,,-0.013231782459339776,,
BMP1,0.018937002825906588,0.03431717004814636,-0.045758730327569205,0.028015885964828954,0.11949550824958714,-0.04760317115475468,-0.01640033458726136
NDP,-0.027239629313343096,-0.0020599757119090863,-0.050105879387591735,-0.05586844730688845,-0.001299706187713998,-0.006123542565202798,0.06636650660561845
TNFSF18,-0.024338526642739323,0.10065833261282424,,,-0.01964879972312486,,
IL36G,,,,,,-0.015620005589679319,
RTN4,-0.051165339177664346,-0.0040412694062225505,-0.003982223080795791,-0.0341810422779677,-0.08693803132121578,0.011615426743100007,-0.007103277726350819
HEBP1,0.028841073398508662,0.008369458956697664,0.00958645521057128,0.037165151003991134,0.11187627415552698,-0.01709695366104544,0.023458971114836615
WNT7B,0.04412862073102114,0.027071906907468656,-0.014213407565425313,0.003951998003545457,-0.03424432218856696,0.022392327449338247,0.024886446134162993
PTMA,-0.03984168281852322,0.07079832931070792,0.09397397928263304,-0.014535687279404783,-0.04571176257390417,0.012406234425482136,0.029323135535508877
CEACAM1,,-0.01580393568753256,0.017579725672668692,-0.01859062340866421,0.09818633261884495,,0.09635425873006662
PDAP1,0.009498059009203889,-0.04510109667631944,-0.02837160012417669,0.04372321470715732,0.05999781593493273,-0.041156449197496996,-0.034400028715374814
QDPR,0.013089074367878858,-0.007425451555041935,0.016958590683480865,-0.005385676449060933,-0.10619357087085067,-0.026555411636760055,-0.009875156716877309
POMC,0.01660660331767503,0.018312927464550918,0.0006772920260636528,-0.005975026828682789,-0.03333072149513498,0.01075737386452834,-0.008931563589086873
CCL18,0.11091785744915603,0.0677649216862988,,,,,0.009134060720953081
CCL17,,,-0.02164379758238613,,,-0.014269318557980394,-0.021243759997215502
VEGFD,0.04258038521497437,-0.019721824781152864,-0.024113580625295117,-0.017786455910546405,0.04658504649259817,-0.015292870666996625,-0.014716200985416409
TNFSF13,,-0.01488272184950288,-0.014929407169836418,,,,0.04695138175019843
WNT5A,-0.015000282437036388,0.03275969408529312,-0.04088235950089478,-0.01017699206709796,0.09595532115005545,-0.04597525183002016,-0.01703470953786734
CXCL8,-0.01218704297076537,0.03187066223029279,0.059017464540542935,0.03132197806113943,0.0937948844894496,0.11438035694202076,-0.07261773407815386
GRN,0.05750062202531721,-0.008492000280741494,0.003084338236207964,0.034825812019621046,0.10927620555142599,0.026974111109700754,-0.042027414217087285
MIA,0.017885366298147975,-0.030074156167227025,0.049586312046485045,-0.03387896386933529,0.041074526268172526,-0.005091564046448043,0.046841720611793286
COL4A4,0.06263622255829365,-0.023685743805620017,-0.011916844906695867,0.09346872794476786,-0.013038939482414861,-0.020316735611174083,-0.023562938786836442
TAC1,-0.046366118044969123,-0.021344003694285206,-0.016155838315576706,-0.0036183578882049874,-0.07117644534260734,-0.006544881089283336,
RARRES2,-0.020038268383877587,-0.03744047151152349,0.018157585825195485,-0.020818424171778187,0.054147172744597745,-0.0013319230886545855,-0.05176290260188531
FGF7,0.027764844144719317,,0.03936643844804744,-0.034055890269775076,-0.03715899223797108,-0.0005645385674955531,-0.013865728950402641
EFNA2,,,,,,,-0.013986764183183993
HBEGF,0.04218513513077585,0.012171061650076545,-0.011090357051051929,0.02811606761163946,0.06748084886077607,-0.04233205538451598,-0.00029940346975424224
CSF3,-0.037021131768414164,,-0.025797519529753198,-0.010629543560890284,-0.013794947003974442,,-0.06609676327298898
PI3,-0.030400564267425618,0.046529978297806945,0.03629413614770946,0.047176315475209236,-0.015533292400067922,,-0.08190022549836423
PCSK1N,-0.005406850970799401,-0.014749503031953989,-0.03318403530837924,0.06026378484958601,0.0119055114628897,0.004245308303432897,0.03812466311772894
NTS,,,,0.03808374609223256,-0.016955649280886987,,-0.01704021798095002
SFRP1,-0.04473310994041301,0.029344358858790914,0.011602026102101847,-0.020291265991918835,0.002564392941925377,0.0032227553584104392,0.01198025852058351
CXCL13,,,,-0.020108903729295576,,,0.033156284109761305
MICA,0.05300183240923089,-0.03612486433469617,0.05727727601745089,0.08026051048537236,0.049910487755755024,0.013963989986524488,-0.056417672116992376
TG,0.07090426645400513,-0.006491579890073008,-0.02037996098982019,0.0560176926453204,0.07475666030929302,-0.021434529916869626,-0.0019314262367000424
ADA,-0.000533421910107421,0.03171265304152947,0.02481681046986275,0.0905854983866368,0.021000344937376954,0.01548118887164166,0.05626656506657773
LAMC3,-0.05135855833014694,0.06904788594452084,-0.047268320788939625,0.03610984574041157,0.11219523844504779,-0.01637563309209386,0.03777733149314263
CCL7,,0.014848346659037743,-0.01473467923397907,0.0465333300864845,,,
NGF,0.006516512187050234,-0.021538700140325016,0.11041528934141774,0.02437139686958747,,,-0.013798758541432993
TNFSF15,-0.026386543870720147,,-0.016407785990965443,-0.019739487141757137,,,
HMGB1,0.03804370797185282,0.024868073169893465,-0.05572331518249578,-0.0638082731191806,0.0935323839219127,0.0024274417542710803,0.009666524345880351
ITGB3BP,0.058130512807703136,-0.0220585447640304,0.02282184673486248,-0.0219586469435729,0.06766022251556882,-0.008372433324698945,0.011010967699326404
AANAT,0.03993804298635179,-0.01820051301107473,0.06256149044940806,-0.017786458449663225,-0.01244341551534497,0.17785606481437252,-0.01882239633654919
RELN,-0.03677568180350916,0.00850567318007417,-0.025914110245889063,-0.015232200881794873,-0.015690786976074515,0.0922965247840369,
IL15,-0.03750801664316181,0.06386295208949498,-0.04585853168503636,0.019067936331144876,0.015585680903477487,0.0007808331247437192,0.04158156708064477
UTS2,,,,,-0.009864232532904504,,
BSG,0.008771167466392185,-0.00018785026155161027,0.11397848642460907,0.030936553848400845,-0.029449415819652974,0.04399849721463818,8.706538176615392e-05
ADAMTS3,0.032573446927570436,0.0414389630976152,-0.0345805525334907,-0.03685861984486969,0.12380903944870714,-0.02949863332457797,0.12707686114238453
CD34,-0.053562830720192536,0.017007723283234175,-0.07036106690523772,0.04798504821697343,0.06826503859695353,0.012887404640445611,0.09290201126608538
CCL23,,,,,0.012531762559507234,,
PLAT,-0.0613009327419299,0.034337747686777796,-0.04512202438885422,0.009046152354398176,0.11392575126628454,-0.08072435541966683,0.06186299066066609
NTF3,,,,,,,0.07504696527779896
LTA,,,0.058099657050859906,,,0.059218943221888955,
CKLF,0.005350434723365035,0.009840656437686,-0.04932330298122507,-0.01207674051707391,0.11680527025558951,-0.04290233892359293,0.06846420231917298
