,MGH258,UKF259,UKF269,UKF275,UKF304,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,0.049438666096707724,,,,,,0.0625038814889725
BMP1,-0.014745442817784608,-0.0192804901887879,0.0028217760540400765,-0.04646338882962476,0.035076782121176195,-0.07346210391473601,0.05488114469718379,-0.02774026512826771,0.12871379791493656
NDP,0.002012765278914322,-0.004418919321228376,-0.020115626199094058,0.0070953771745718595,0.01855220948953896,0.07435395707412235,0.027241889526110712,-0.03035626057994771,0.016248320862254258
TNFSF18,-0.01927998481725503,,-0.01847809453271144,-0.010647509681371023,,-0.006400243082824189,,,-0.018395279219861917
RTN4,0.05523699934608265,0.008518969723772151,-0.01536057015635327,0.046658839457099734,-0.06112099841319713,0.044446226807951024,0.028850899036703376,0.045353799679634266,-0.045587976626333356
HEBP1,-0.02124438963764861,0.0201405433923725,-0.026714743847249763,0.06409159468473748,0.06749794429287218,-0.08042290369201745,0.0417548101561752,0.009497453044554597,0.05093505474653078
WNT7B,0.010387609809736577,0.06466296941428452,-0.0515029015076328,-0.010434274630316534,,,-0.019180157684325336,-0.024159455749945154,0.10502034726505514
PTMA,0.04226460030075915,0.054021559084081065,-0.03613204822291099,0.04616133963730145,0.12483851792830371,0.008963502248831657,0.007970856555974428,-0.06130787691802714,0.032859563318357925
FASLG,-0.016985067559718677,,,,,,,,-0.02072233358949677
CEACAM1,-0.003346308679751319,-0.02430814990906399,-0.008708527594969697,0.05171460948617843,,-0.005122372385900043,0.02937043118404638,-0.016034982149125996,-0.014206749896793972
PDAP1,-0.010403306570710289,0.031480559532036066,-0.029952654133731434,-0.00733749336529316,0.01273145900010292,-0.039883906122515904,-0.07872387095179349,-0.045684072363878704,0.02544379549826653
QDPR,-0.03572228919463187,-0.06235143134409166,-0.010415067429750713,-0.03988569539066396,0.0777770640497441,0.0203772422731045,-0.029928850128430887,0.02131965487603295,-0.015357427745517727
POMC,0.03225912391280535,-0.022636735462613484,0.11305074572245219,-0.012354528249030876,0.03123381945475978,-0.029896287860403752,-0.024246888536634145,0.03198148391716631,0.020797042215979156
CCL18,,,,,0.06044860420023962,,-0.03332793634153772,-0.014608546923082336,
