,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.006244124084881531,,,,,,,,,,,-0.0236834085943751,0.10475174493763462,
BMP1,0.036685136828085774,0.06059073243917719,-0.02713247319116157,0.028694638441892042,0.051876280826256886,0.01581393448358177,0.01816721887793639,0.01834865158212688,0.07695270903852702,0.04063620920907898,0.07152005274063304,0.02867327473271028,0.0210145477729092,0.05141887961227377,-0.06599901508380517,0.08922458610711104,0.040997825436364745,0.08080246772997159
NDP,0.0011451209168847811,-0.011445815570100356,-0.013191993659549983,0.07558649485911259,-0.035171774525915876,-0.047656877713224625,-0.009452942321490923,0.0034124338593528435,0.042265720064741885,0.04735188446952626,-0.032328067180999606,-0.03137563670661336,0.01150860002068734,0.04860486709023603,0.02809236628133204,0.12585950416959646,0.05017286414612354,0.017245376433737268
TNFSF18,-0.018681618362403972,0.011328647062037048,,,0.08655094373870222,-0.011390332561262671,,,,-0.025625181302393624,,0.05637422869087745,,,,0.08019569621021316,-0.015585760227429512,0.005540705223604638
IL36G,,,,,,,,,-0.01375291054121208,,,,,,,,,
RTN4,-0.0031754484329255704,-0.026820318835173933,-0.07317260119052839,0.0323750199703193,-0.0637474795989811,-0.08132495129227628,0.03225393269960058,0.0319206880049619,-0.014613368224224162,-0.020276728645064305,0.052148259978750305,0.05984418021017557,0.013094113924861686,0.025492766149754306,0.027058786362040135,-0.11336606265448279,0.012456411579731173,-0.16755883471512772
HEBP1,0.023372679714735296,0.009213145224529918,0.011832574956268764,-0.0008042877074728949,0.005779370789988967,-0.0346415242323196,-0.0035129184058232754,-0.02361913244619832,0.04430663317644636,0.04899395192579597,-0.026127801854190714,-0.03031931921790255,-0.04044531901526305,-0.0016915014191562282,0.003074544164358969,0.0270637520313447,0.07494517417070677,0.028950442810936308
WNT7B,-0.043603104925856416,-0.03375538919672605,0.029999067336228157,0.04109511134388239,-0.025892761868562205,0.03090939159414301,7.903112394340485e-05,-0.025151532823875347,-0.01511603358944984,0.0769170340526021,-0.02754017229212778,,-0.03925396989872603,0.0023609248133480173,-0.006408482319948506,0.010320429513156803,0.010496065895911707,0.012135312180577455
PTMA,0.0007211572929037539,0.016261410506002008,0.03240145651541326,-0.009968459243284832,-0.05043589103501782,0.04517567610519856,-0.026493217312136226,0.03142626486967049,-0.03958996497968528,-0.031793842267475385,-0.07158653092190438,0.012501448957843627,0.0016176391437659982,-0.05782727870815253,0.04716189204285821,-0.09060903870093015,-0.049028370928917916,-0.02642110367696445
FASLG,,,,,,,,,,,,,,,,,0.005806324854761598,
