,MGH258,ZH1007nec,ZH1019T1,ZH1019inf,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,-0.026554061684347798,
BMP1,0.0038389673660856076,-0.08149834730014129,-0.031472614415351576,0.01512600110938843,0.011935761798690716,-0.023938119992316417,0.04990106907152173,-0.002834120561842848
NDP,-0.01792792426359477,-0.10302988776266898,0.004573179242734492,0.010313088371076612,-0.02253525372905833,-0.05510738195143005,-0.03181366356965128,-0.06033636408272193
TNFSF18,0.025064910866826166,,-0.055736489688704795,,,0.014886259762315444,0.010510567697208895,
RTN4,0.19554641402753334,0.05452887488693777,0.05828942686222538,0.031054143511316006,0.01957311715760053,-0.00996537601454208,-0.04261386966016281,-0.019788751789414666
HEBP1,-0.06292549969993902,-0.0953711641730059,-0.07606624970747962,0.03935639061305528,0.009154553306335333,-0.05445069861531202,-0.01849826910538895,-0.019229992472176088
WNT7B,-0.03996108388267202,0.13826384722845492,,-0.0020619738305033453,-0.020366671197185545,0.15863456786726932,0.00938638272866254,-0.025712416990085273
PTMA,0.04730340471887804,0.02342724878334456,-0.08061016895593427,-0.028644964535408792,-0.03324351000929179,0.029980747883532145,0.10007279695507604,-0.03989831030993178
FASLG,0.11665845862912186,,,,,,-0.004837314600400644,
CEACAM1,-0.047350667261340074,0.0336058553018953,-0.008680183084193726,-0.022283659950767608,-0.013517655880337041,,-0.03204331976268168,
PDAP1,-0.14554483392593184,0.008366698693021701,0.028219093273599723,0.025978903402066558,-0.015311190049186706,-0.03727540231663978,-0.0388275576153817,-0.03352329723926005
QDPR,0.19150532317404234,-0.09203639156255092,0.002420601175616017,0.0007214273420408845,0.03412441771626768,-0.003032209970131346,-0.039742925295053785,-0.04743817538591996
POMC,-0.00031987180182284667,-5.5958086961917744e-05,0.010047486147655514,0.06474627688067944,-0.02211310926482989,,-0.0462178813773479,-0.009764784317094054
CCL18,,-0.053694977387685784,,-0.07443344182615573,0.005672466886471943,,,
CCL17,,,,,,,-0.02087440615422936,
VEGFD,,-0.02249068493169593,-0.05022392222300291,,,,,
TNFSF13,,,,,0.08042613559449291,,0.039555173333963835,
WNT5A,0.005432688290266537,-0.0280775482485248,-0.06680824156333588,-0.05814907009541583,0.04945372256907567,0.05001819912816263,0.040264593600422734,-0.019446049859513412
CXCL8,,0.11746871334860164,0.009599627497137503,0.012464948356576425,0.031001485915332513,-0.06347168652660891,-0.03937790279055087,0.04875026803314501
GRN,0.1946021943094051,-0.10125488249990328,0.01391633435352025,-0.04698415730954965,-0.01811617967370073,0.041821044212226974,0.11185330970567846,0.048471274612273386
MIA,-0.04925092813035431,0.09520033705514008,0.01781481886950475,0.02068605374216454,0.016472936012287956,,-0.04285712279490918,
COL4A4,0.020802190252600897,,0.17264038024223044,-0.03519424279876091,0.05798441706405078,,0.007301801437903329,
TAC1,-0.04928824398691479,,,,-0.023321807337079642,-0.002669781364804596,0.0355620973544132,0.015617331471023154
RARRES2,-0.20651286588884077,0.06988266592340324,0.009166102147933166,0.06677391752000349,0.05641427864122655,0.014013152190298209,-0.014584338271027814,0.011121228886167648
FGF7,-0.04560085167771181,0.055622280739094344,-0.012645967416976845,0.009086908141368442,-0.0012493354893156968,0.020337084103644144,-0.01017159840666864,-0.08026634904802858
HBEGF,0.06695292393896017,-0.004022140417118722,0.08094548700197982,-0.001708467953130643,0.0071399623734366025,0.01580439384077469,-0.040610230918202414,0.02572873159982431
CSF3,,,,,0.000500318904459338,-0.05082411888857974,-0.021977529423171157,
PI3,,0.026404880238457388,,,0.05028132759130257,,0.038590429348670886,
PCSK1N,-0.19606472818096157,-0.06935533328604568,-0.020421228733132287,-0.027153011659605,-0.0009169683951705704,-0.019430744655753302,-0.0703997543190359,0.021073578184493034
NTS,,,,,-0.044807874039386235,,-0.032545724193047,
SFRP1,0.06405233445925995,-0.019976365763902503,0.057211004128229735,0.012160513856855694,0.03753550323366255,0.08221523089217964,-0.004480733453075497,0.01952073161365697
CXCL13,,,,,-0.007364863224016236,,,
MICA,-0.04311890827653173,0.09584478506997669,0.024144906043466547,0.0006929707462669591,0.02163708165608653,0.21860317266701007,-0.029763609648748704,0.10899569985188395
TG,-0.030667193948133893,-0.08484262846204205,-0.023131666886235254,-0.06980802471098042,0.07924782050924552,,0.06625018421790407,
ADA,-0.11649126373959913,-0.10112216621978558,-0.0021532311604100336,-0.04543065819954354,-0.009270633007473723,0.07340906616530905,0.08400690954037511,0.14082420440620777
LAMC3,-0.050441814119457376,-0.13909162820267595,-0.014504734171819208,0.0009048328527087761,-0.022823127274784798,0.03655539646579993,0.03810162027336486,-0.1093966482502787
CCL7,,,,,,,-0.02303032045047583,
NGF,,,-0.010485827981569235,-0.044283600766273655,-0.007753587773506135,,-0.005733950313315606,
TNFSF15,,,0.015453307939566993,0.03135268765427495,-0.012034278545742414,,0.02618454545880928,
HMGB1,0.02009802609693306,-0.07673248151852687,0.011288609981395907,0.07838430244503525,-0.02198108431551298,0.11036773619902446,-0.10501509721622398,-0.062270074517610144
ITGB3BP,0.003347919786716439,-0.014632337437809983,-0.06958135714046798,0.03676184618167929,0.03959146691838179,-0.09793894194744869,-0.0033339270122019287,0.015216257137219767
AANAT,,0.11786264994351058,,0.003943952557905129,,,-0.02436703945113077,
RELN,0.04037457478002964,,-0.04565583690434166,,-0.014536104300475455,0.07820309348444826,,-0.05129833435604271
