,MGH258,UKF248,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,0.0017878782034750364,,,,,,,,,0.004831001990525368,,,,
BMP1,-0.04840629856209786,0.000407441423987932,0.06220542719847859,0.08918758410609537,-0.05526379120932426,0.018519185634339387,0.02535159128225118,0.023194911146733686,-0.014577022415840591,0.06053973099364359,-0.02897632767204721,0.0238535231045416,0.011496938830734485,-0.012385339437394375,-0.04101111715930651,-0.07742628429421453,-0.08833601939597197,0.002461466153422828
NDP,-0.0505289446331351,-0.01706260722749361,-0.03915408010183547,-0.008762504190159106,0.09396598708441435,0.08589656490502436,-0.04271251751220476,0.0076175672854686075,0.04940005582433037,0.06255224041580354,0.047226031565593254,-0.04702968103712253,-0.020093397827361074,0.008674019199329329,-0.013525216816762707,-0.023076063389604013,0.007262303982919462,0.036447000124747046
TNFSF18,0.023293963538769603,0.058003679677615036,0.08651663295851057,0.016578862731521767,-0.05497113116894938,0.005630429169037718,,,,-0.0246188239562959,,,,-0.00881098988623343,,-0.0007748559582742216,-0.03090680575214577,
IL36G,,,,,,,,,0.11072422941424313,,,,,,,,,
RTN4,0.01194236034526763,0.026959515287530357,-0.02508161990353791,-0.10702557283606509,0.028874807051511884,0.013446473127967,0.00801376814686536,0.060357182683809914,0.030718750138181698,0.11616279013271234,0.02143709598106741,0.10861389163254506,-0.00874259024417293,0.017088601710858787,0.06678635835644128,-0.11075098469271902,0.0394413751251854,0.1142682474647721
HEBP1,0.027890246202443163,0.03329040282122285,-0.011688367077632015,0.059834224756474964,-0.0848033228276061,0.006004604403558616,0.015144618728385312,0.08628261072070116,0.08875346360561467,-0.00023440347931845987,0.029237652527183626,-0.004631627929055402,-0.06714371093122233,-0.0023563706460287513,0.025657944224091442,0.055505569488062824,0.03979867629113977,0.1868807806688022
WNT7B,0.05779943439380812,-0.04664365589018084,-0.019582729887226223,0.04628398117107854,-0.12594164484044998,0.054269976629903655,-0.007381770794188708,,-0.02770902098967992,0.09464656135357749,0.020012293150761168,-0.015319871476220923,-0.038478162832963785,0.018601058618013283,0.04497061852877937,-0.04507244206457897,0.09923700393164836,-0.03750196203810398
PTMA,0.010578315409889875,0.019330764203501393,-0.04140276479967183,0.14789808333941037,0.2257178812225455,-0.032898008812538154,0.08034632234893126,0.030170790911531558,0.09714677288959381,-0.023786070431794384,0.05105879236277836,0.015413693154854727,0.032864036353470426,0.09000587857495483,-0.04001693046123154,0.06999732968927698,-0.05007198779632319,0.12993022872447668
FASLG,-0.024033752946558146,,,,,,,,,,,,,,,,,
CEACAM1,0.09349541295835337,-0.020060546691089295,-0.015966763131256136,,-0.04218508515547075,0.06137476422816486,,,,,-0.038786629987752765,-0.05997801710975823,-0.021561212450134117,0.00581811385082822,-0.019657444997648096,,,
PDAP1,-0.06674633987018713,0.03342040302782609,0.014095557583555343,-0.0010519851707510152,-0.05114407799646409,0.04425368728714048,-0.026823673906076487,0.027898156663663787,0.023988669635276186,-0.06156607495901078,0.06209251825892373,0.04479415528409974,-0.01253175694583702,0.012522989390346555,0.03949966093113219,0.04224244495186635,0.025432012523382227,0.03578183158495695
QDPR,0.12376731013925506,0.049640521371156494,0.0548919107812822,0.03261895664504229,0.3222063631961357,-0.005270380783833095,0.08422504606282225,0.08878279663684943,0.09636037374429234,-0.10240764186509226,0.06583268214651797,0.022408422065104513,-0.009349783317603402,0.09862457088180283,0.010711698693976915,0.0748242112764853,0.04354440714081102,0.07750557971846704
POMC,0.02530258694096813,-0.02627488316222966,-0.015570466243287128,-0.0025385140276204567,-0.03458388905834653,0.05734851843712285,-0.02059216044253762,0.055547920336647905,0.02022656603811572,0.024072855143989092,-0.005922077415663158,0.060259779250576295,-0.004085705478490999,-0.07199950681733407,0.014748587346660227,,0.08486522282107595,0.03150242944816539
CCL18,,-0.011037380688747296,,,,,,0.0232456139455803,,,0.10475896478817141,-0.04252540026401586,-0.01783835313241511,,0.003652656555012257,,,
CCL17,,,,,,-0.015700441539049533,-0.025744359082659787,,0.017314217642158795,,,,-0.015296636641352937,-0.05067327935384054,,,,
VEGFD,,0.0017846708431489959,0.01777636827715195,,-0.01003267147462223,0.011530599773714552,-0.018883798724620673,-0.039091500260256734,0.012246012311105649,,0.024368414835860407,,,0.0522689112921713,,,,
TNFSF13,,-0.018891214344030287,,-0.019649801446115087,,,,,,,,,-0.01412089562209948,0.01551231103952927,0.012528937007098461,,-0.01774010421302433,
WNT5A,-0.01608427628149835,0.020910139238452842,-0.023511362445992473,0.10792072121813388,-0.04186781419957328,0.013441193911698646,0.04730296847194074,0.05137511015052208,0.08470506321571092,-0.03304191801861783,0.09473271118101025,-0.060809860103540225,-0.028689596907836346,-0.009381434603354064,0.03354325944117796,0.03034289448549028,-0.02114324420250753,0.10216090208087013
CXCL8,,-0.02628215001540029,0.005357606826342926,-0.027950568087569336,-0.07850222346347342,-0.03166403705833077,-0.0008687521609461136,0.049683669007128214,-0.05289891771823286,,-0.024549221406195466,-0.037157674272278056,-0.03596188699727527,-0.048175872507815624,0.024106777697438877,-0.019239971537520405,-0.041365658303734135,-0.04824879436736605
GRN,0.07655111034501677,-0.0065536668877313655,0.007335722043497111,0.015519823167918532,0.032379879154776164,-0.03240694534974081,0.0451499551835753,0.003223633481548619,0.010074528819842605,-0.13752747321599407,0.03156422181828773,-0.00015296057507047258,0.01058706213563785,-0.0023638876253070005,-0.06021858267029093,0.05085155976200503,0.03101481401782678,0.059056396354654365
MIA,0.027180659052278414,-0.04987571722156465,-0.03626177959596706,0.11341559568297781,-0.051076968528238086,0.024943071883004087,-0.008502839246012087,,0.004131021932816982,-0.030239176741092826,-0.06340427600367013,0.027496850653976664,0.01896343853939251,0.028302974256840016,-0.016142398849554866,,-0.015218907322363329,
COL4A4,0.04321392607078725,-0.03006523051727271,-0.035943257347948045,-0.018695917939579133,0.06312240411150483,0.05412618132619986,-0.020638942729857918,,0.02233246756449215,,,-0.053765393134149575,-0.02891460831648569,-0.006867884012415069,0.10663467872199199,,-0.007989077786300851,
TAC1,-0.024033739870782063,0.05891395125657794,0.008399855102768162,-0.03896600021721021,-0.11607065120261648,-0.0108032389612606,0.029849748506887794,0.0019484817439919685,-0.03191205788208361,,,,,,0.19087389647098088,0.12537146900538818,0.03342585407441883,0.023631517363188005
RARRES2,-0.06792689250782175,0.01851270778046943,-0.05182519564457655,0.07725092730386066,-0.06173282740330277,0.02281766554710753,0.03309527618040485,-0.02587397812528563,0.05470995799947265,0.0143938167825943,0.030361592736828185,-0.032478807040664484,-0.00028874925730947715,0.018342217250402235,-0.010200185989257097,-0.06960890587007067,0.0048476444516527845,-0.013003325920275666
FGF7,0.037940901725028245,,-0.038929742968360916,0.053253565236494736,-0.017531606418262926,0.0032592839332047817,-0.018810497981117037,-0.04930561635607272,-0.00636793710426729,0.06249282538075073,0.015745699919040464,0.020223781755028623,0.058176662560735046,0.06257971304164665,0.07245558971305568,0.06349863643760735,0.040060615220599186,0.07473308591463325
HBEGF,-0.006753543268234775,-0.007899637285052859,0.06987531528073168,0.09354553435199506,-0.10052714844349221,0.08422210143896844,0.024305877257421497,-0.00991670531625768,0.048934612262442376,-0.020263428159096975,0.09426876674791203,-0.024569933884577896,-0.030183520491930828,0.04026037373022296,0.03192789221700939,-0.019112360449839435,-0.01563191760349451,0.12117403344069719
CSF3,,,,,-0.046853695118507496,,,,,,,,-0.027793659020529483,,0.02482223931013037,-0.01395699301293193,0.05773296949202615,
PI3,,0.06776415791862891,,,-0.052757879105278835,,,,,,0.015702277932502538,,-0.03753385476991244,-0.02809229233858897,0.01615494485436254,,-0.00814589624546808,
PCSK1N,-0.03727623626794571,0.011534067701297505,-0.005217724320794037,0.02412798272666155,-0.0675506210957218,0.025317827564212227,-0.0027513118268582336,-0.0503607912408173,-0.00760436324486394,-0.018451515076029913,0.08774164274289178,0.009027319911921568,-0.012460907018752734,-0.01823221271184951,0.10211173582569863,0.021965803656472948,0.0345931923822333,-0.10230941938510485
NTS,,,,-0.022823467938779537,0.005383167345307137,-0.0059700261259593,0.03206397985030265,0.06584211287063221,,,,,-0.023255960453378282,,0.04087942857265358,,,
SFRP1,0.005223260971320565,0.02144017879754101,0.005289735061839175,0.027333197518323103,0.03159855403026632,0.100841556966612,-0.025744359341926627,0.08466400959553189,-0.06228938598308078,-0.0537550224048168,0.028685734704318004,0.006592168849346875,0.016666485078497044,0.09759616650682776,-0.01973397643574057,0.012556615215730841,0.08455230490767236,0.016598385062142892
CXCL13,,,-0.04928165513281877,,,,,,,,,,-0.03435938214641917,,-0.013912246539474924,,-0.03206229046638781,
MICA,0.019758115232322064,-0.016681856471884707,0.011677231531399192,0.0236386627516103,-0.1032728174605898,-0.013037039557065751,-0.04075431516408784,0.0251324352234883,0.007350864270581936,0.06024492661856591,0.03459130237466497,0.03958353194058333,-0.02833572682451927,0.06282714698895954,0.057701621332768106,-0.05258679569197786,0.0012249655123017001,0.041978005850132144
TG,0.04120377686709867,0.014133049971496175,-0.0025780988848894335,-0.02634429857047895,-0.042910726675258276,-0.004984361997498134,0.013394940773001062,,0.007161245062231799,-0.03231798017144507,0.009916503912760239,-0.00781358471819905,-0.02032540571801562,,-0.023193916672699162,,0.04858747028639603,
ADA,0.03538518175122428,-0.022440175940125533,0.01678735237597095,0.10087524045415454,-0.026495911555750592,-0.055398362442193955,0.008308659417682938,0.007609489800375226,0.07458126557108627,0.029623434406742703,0.014917390774673913,-0.057905858530869145,0.025059403203126985,0.053249473744519965,-0.04681309682612042,0.04037848262516143,0.02642163435917311,0.0326229913828193
LAMC3,-0.03016733115242038,-0.01417929147472348,0.0006777302030291136,0.06897501668126418,-0.11917254335854931,0.0059684484978339706,-0.010970707466925217,0.09765814172140014,0.012538848835278098,-0.0380836923904314,0.0541871400392877,0.09296331810470711,-0.020829261858968877,-0.034825653591478704,0.006293490005751657,-0.026659356943155257,-0.047611698104195944,-0.022443879845250772
CCL7,,0.06960730825907015,,,,,,,,,,,0.0168789613754633,,,,0.017165553175368085,
NGF,,-0.027339904968812296,,-0.0251395268255923,,,,-0.03281441718546369,,,,-0.051435777162251936,-0.026477847593831396,,0.012051673751945643,,0.0006578389782907172,
TNFSF15,,,,0.06799833793177106,,,,,,-0.001976340310615939,,-0.01734912938982595,-0.0030294851387726515,,-0.017500310016281436,,-0.02042089976328837,
HMGB1,0.05064467094733994,0.026994295502767295,0.03531402730450232,0.06970725431829711,0.041811264180000536,-0.023202349301293872,0.027550360557112668,-0.01741529294847874,0.06515764081054654,0.06285068035101274,0.0790886260702845,0.025314208109152546,-0.010530594237803465,-0.015162529153957972,-0.020320338326631753,0.028616047441462237,-0.03302971781292557,0.18850748733505576
