,ZH1007nec,ZH916bulk
BMP1,0.07120123069177445,0.09583975352400499
NDP,0.13102811940490525,0.015485912023523993
TNFSF18,,0.10473308552621212
RTN4,-0.060784283902337276,-0.062472053803281996
HEBP1,0.04256282764777302,0.05292405704552999
WNT7B,-0.036796744809689204,-0.004421790727003834
PTMA,-0.05194677585150068,0.06611521283142698
CEACAM1,-0.043829574873896555,
PDAP1,-0.0727626254860366,-0.0866860836717543
QDPR,-0.07359930918289992,-0.0675593888800159
POMC,-0.005018250836927752,0.02953980257391882
CCL18,0.083813454060257,
VEGFD,-0.04233983845376378,
TNFSF13,,0.05846998860630084
WNT5A,0.010966330301526645,0.09882382290009444
CXCL8,-0.03483770810797789,0.04601656234055465
GRN,0.019693148462470857,0.086176090321099
MIA,-0.016435784631614773,0.04362316523732499
COL4A4,,0.04629858638994506
TAC1,,0.0022436165971112627
RARRES2,0.021202535887836896,-0.024144829358715106
FGF7,0.03496365732309465,-0.04135295536408283
HBEGF,-0.1450825872383567,0.0882383832328464
CSF3,,0.0842516250106206
PI3,0.02050097052917996,-0.008553335008224871
PCSK1N,0.022451202283132042,-0.06743215835326069
SFRP1,-0.07835257794703579,0.09859798765883866
CXCL13,,0.17345132752594875
MICA,-0.05756773027866127,0.028643788322931546
TG,-0.005165967912212563,-0.030494409451288767
ADA,0.11114582960258607,0.13425536619430944
LAMC3,0.12829226856894277,0.1252905960546254
CCL7,,0.011176461683860817
NGF,,0.0008859363276937444
TNFSF15,,0.08085333326566063
HMGB1,-0.033028382910396704,-0.06387284063036036
ITGB3BP,0.03437257857335385,0.002097791274986123
AANAT,0.013617944221094688,-0.020830463174716884
RELN,,0.07926091347600149
IL15,0.01654597447015134,0.008888332281788806
UTS2,-0.0028195538353489244,
BSG,-0.023404071238762744,0.09992930795197447
ADAMTS3,0.08897795600098087,0.09087970001552977
CD34,0.11128828589099704,0.05756094563518467
PLAT,0.08684415230084508,0.09787862319583968
CKLF,0.07760141908567521,-0.03549148253204179
CD24,0.014023137878517108,0.019514134326209034
HSP90AA1,-0.15487414352333292,-0.06173196741355658
BMP4,0.10257915199764275,0.05109431106698592
SCGB3A1,0.1637209365760175,-0.017503089889531562
IGFBP4,0.10461870410870568,0.13369268465378764
RSPO4,,-0.02626638894986497
LEFTY2,0.17287848624852573,0.025949859371718963
PF4,,0.003690818019242334
ANGPTL2,0.08334710149847767,0.09570774873741768
LRIG2,-0.018675118025326985,0.028757866215104663
ICOSLG,0.09193826625769501,0.07288732338414322
WIF1,,0.029620986825781296
NPPC,-0.05289431034541509,-0.03952996260726559
LYZ,0.11067029216969539,0.021950799396268334
EREG,,0.018442266526310515
SPTAN1,0.05399060524405406,-0.043572400060948445
LIPC,-0.03813492128213223,0.0934372428435791
COL8A1,0.017728564120629262,0.051499500452074715
GSTM2,0.04486935548597356,-0.00979585772617674
IL4,0.11186562638853538,
SPX,,-0.03691727564869138
MFGE8,0.16719488833531462,0.1010406828111692
TGFA,-0.09657832596256162,0.07172944701878149
SLIT2,-0.001510740813532179,0.047786062725481096
PLTP,0.08752414292919977,0.08720305374865667
APOD,-0.020319448560229696,0.0019196164679395151
B2M,0.1300829402048969,0.09371289073609293
OMG,0.051512560189690734,-0.03332776317137129
CXCL3,0.04909979397590047,-0.0007078294270734709
CXCL10,-0.0493912198710794,-0.026121066110625445
RSPO3,,-0.020847823039384983
NCAN,0.04516461517998089,-0.0586794955333157
PRG4,,0.006155614083285302
ZG16B,,0.01089315976663672
TGM2,0.09922276005060805,0.11717401731888527
VEGFC,-0.014062874522423385,0.0933808258420588
WNT6,-0.022625864208148785,0.09219725252272984
NRG4,,-0.02727665415477951
PMCH,,0.08629847836458751
COL9A1,0.042930950690289675,0.08017491251699861
GDF11,0.04084405616481067,0.0024991647660681667
IL24,,0.08174446550126667
SORBS1,0.028195189529986613,0.023550715057937186
DLL1,0.10275505491803158,0.06029198059752935
TLN1,0.08393156353738869,0.12409136871438944
COL2A1,,-0.003938335431967523
SHH,-0.014775237358321366,0.15421847079592949
PON2,0.08975068736158207,0.024541686860993374
ICAM5,,-0.038261297632488964
HPX,0.13065517617047787,0.09299500378998127
SFRP2,-0.036453366677018754,0.12493729420184739
CFC1,,0.10512761173398966
CD70,,0.10173665070216732
HP,0.01591812386522918,0.05393413281842991
CXCL2,-0.0516132326417385,0.10533914909554622
CCK,,-0.07001687445366032
SEMA6A,0.020720243891561834,0.05733464436970973
IRAK4,0.025737318800937724,0.032171026026207306
GSTP1,-0.026945758234185387,0.011705764771843324
VCAM1,-0.06472489906883543,0.0757840652059707
NXPH3,0.02100627780021415,-0.011020456572582929
MTMR4,-0.058066850879779315,0.01632794907766797
LAMC2,,-0.02626640340944141
