,ZH8811Abulk,ZH916bulk
BMP1,0.005296490578036775,0.015534864800614024
NDP,0.00025989713744892673,0.006082294437934403
TNFSF18,,0.12301314172538874
RTN4,-0.04403541966280246,-0.09049686705038724
HEBP1,-0.006244623667927909,0.016413147360030564
WNT7B,-0.03628850200455935,0.019931586805709098
PTMA,-0.009228730330049166,-0.05388301454370615
CEACAM1,-0.020334237489819253,
PDAP1,-0.01420288585809285,-0.08065185312298341
QDPR,0.06128443204009695,-0.050833217214374664
POMC,0.004783659554075077,0.07351986417764868
CCL18,-0.013235991283592156,
CCL17,-0.014426157294266953,
TNFSF13,-0.01220143240587252,0.12587396125889483
WNT5A,0.030601034446559736,0.04158486608687576
CXCL8,-0.067670044054878,0.0721971633225785
GRN,-0.020958745784924765,0.019537008112847525
MIA,0.13220335086135213,0.028537622569141798
COL4A4,0.006091585101537932,0.006306314990827334
TAC1,,-0.0990959447440854
RARRES2,-0.024784558630504064,-0.036767467445817624
FGF7,-0.04919517172183514,-0.07103056944377822
HBEGF,0.030504799767553704,0.10509286452067503
CSF3,-0.04683527425045133,0.004049148088397232
PI3,-0.06347548913931218,0.0025013181227264516
PCSK1N,0.02770516451968138,-0.051299485320844815
NTS,-0.033654723259894666,
SFRP1,0.00368556592465644,-0.03878621588610965
CXCL13,0.07118353102764398,-0.025217522529118037
MICA,0.016061142468146192,0.01820840914035038
TG,0.00372063372500741,-0.027789840326229654
ADA,-0.04883948435328115,0.0738597094312394
LAMC3,0.011084396810280265,-0.01438925028243077
CCL7,-0.02162148454587877,-0.004438540878209734
NGF,-0.024971083719777448,-0.035233547230274755
TNFSF15,-0.0210785195489154,-0.03440778699015489
HMGB1,-0.0431302099868521,-0.05100571133118001
ITGB3BP,0.0014777388191682425,-0.057086663894209896
AANAT,-0.018968142771349245,0.007425585016598634
RELN,,-0.06449047966077383
IL15,-0.034750414713862844,0.10644188305107374
UTS2,-0.016152761802427855,
BSG,0.011825926388504748,-0.007040774337234606
ADAMTS3,0.00855607445062396,-0.024060115998927743
CD34,0.006534620185057089,0.008052185482229607
PLAT,0.08923958947616717,0.021531332440380906
NTF3,0.09282231559365631,
CKLF,-0.025034741005299337,0.0020626150072154082
CD24,0.03917133447636134,0.019442616489077358
HSP90AA1,-0.05925547233348363,-0.04494646459795778
BMP4,0.0036086792376068297,-0.0029406152724371117
SCGB3A1,-0.006637519601677185,-0.02471864689165304
IGFBP4,-0.03547663689617789,-0.0009179979822356614
RSPO4,,-0.023936805729239712
LEFTY2,-0.018354191939679118,-0.06537809128548744
PF4,,-0.018751054384420065
ANGPTL2,0.03347785152821767,-0.014774768834016357
LRIG2,0.07015936824107707,-0.006457341078569275
ICOSLG,0.10789808886225778,-0.043433841318286204
WIF1,,-0.03440778416647918
NPPC,-0.0056956990540145015,0.03759471386084262
LYZ,0.07371812919228905,-0.012457180990251978
EREG,-0.011987525602882024,0.0027597510888826894
SPTAN1,0.045559846037209105,-0.11047428259892217
LIPC,,-0.02924114689378262
COL8A1,0.1629420522427071,-0.01524024985238406
GSTM2,0.02131196619784783,0.024996285501630258
SPX,0.0385027605365613,-0.009506129080756152
MFGE8,-0.011549798901570478,-0.04874489104885141
TGFA,0.017220583472091874,-0.028571390182933306
SLIT2,-0.0038088472641629977,-0.016418377922582137
PLTP,-0.07302724946085742,-0.07077862906821365
APOD,0.03975639131398103,0.05141642565536438
B2M,0.03982642412532605,0.06150795539779838
OMG,0.05292964389005052,-0.03127291892335224
CXCL3,-0.052395664658805144,0.030810451408129037
CXCL10,-0.022326956561828794,0.011291539567012203
RSPO3,0.08579675616637412,0.005499222525154025
CORT,-0.024654214232628386,
NCAN,0.0107741700753328,-0.027891292505414205
PRG4,-0.023681508850692746,-0.026098913110769974
ZG16B,,-0.01599657249451693
TGM2,-0.01084075206746578,-0.03614351818580204
VEGFC,-0.027825608509356767,0.060284491009391865
WNT6,-0.0322769817006227,0.0449709198619654
NRG4,,-0.02485746985216911
PMCH,-0.021976750715194,-0.03183356756704014
COL9A1,0.03144546243212911,0.059325962121838924
GDF11,0.0018779835495019105,-0.02395938701671753
IL24,-0.016385335761018315,0.08154735405549826
SORBS1,0.05252191278059563,-0.012398469196939602
DLL1,0.07071090910703377,-0.02487541312850657
TLN1,0.023441296552505663,-0.059191136611730255
COL2A1,-0.035820491967256875,-0.022395246124932194
