,UKF243,UKF248,UKF260,UKF269,UKF296,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,0.0088298655585506,,,,,-0.01821902286934743,-0.023228213434317652,
BMP1,0.03098909598651786,0.000149155408597752,0.07859055629643512,0.06907424985316181,-0.01465801168663966,-0.05978804959458108,0.015909360190750597,0.06509818431230259,0.05092218824758993,0.015301683680402304,0.01711964947422677
NDP,0.008592815769881168,-0.07975876700899105,0.030253929165447516,-0.05534584554471999,-0.007378874383239601,0.030628406905586453,0.004209264105557293,0.11072770281976181,0.05489873590395445,0.00853361701633626,-0.025356943463333025
TNFSF18,-0.03292742006416422,-0.025885693447497783,,0.0457770102200804,,,,,-0.018788956700519287,-0.02776858603290685,-0.029753368152633616
RTN4,-0.025969243776952405,0.009812533785163712,0.054754704611414254,-0.10014952230760468,0.0034626215741365165,-0.038478902095787304,-0.09186769468967522,0.03325067171838789,-0.042873655980038304,0.022128397719499003,-0.02819115797395134
HEBP1,0.022274314095438796,0.04551592661707641,-0.06112008835791023,0.05635757322964304,-0.04574228347988535,-0.012409870755977798,-0.01234363295941228,0.04961586584099869,0.033720272037674304,0.005723801490873431,-0.005399447223987379
WNT7B,0.007381881652400225,-0.038307986914456374,-0.02085124530229269,-0.01200740713468064,-0.010578800718955698,-0.02901213220467516,0.08789843284645597,0.08915113626995823,0.06218951978487798,0.03070395547089495,0.015629373287855294
PTMA,-0.13039240399893154,-0.0432610702415357,-0.08208744580239771,-0.011547822902197682,-0.018756403394081068,-0.03192175644352467,-0.019101229716634874,-0.045424918882588136,-0.09005102779818636,-0.03302782988545091,-0.011721881042992786
FASLG,,,,,,,,,,0.02147969361594582,
CEACAM1,,0.02433823665095657,-0.016595308243121977,-0.01841259942054019,,,-0.017644159575699894,-0.016687432304990323,0.20485898993675355,-0.028029951855929797,
PDAP1,0.06479519574310831,-0.02893690691235498,0.02921559541208837,0.06674528386424398,0.01884683858692128,0.015647841925585822,0.07841021804800972,0.015180173765117535,-0.09007863993023325,0.05396311351725373,0.06008377914680959
QDPR,0.039479318909468326,0.0026511879775879457,0.02725835181288692,-0.05129001667452447,-0.01550057947854038,0.04051823370479738,-0.04445061431625281,0.011874049648614328,-0.07020227608160838,0.028707945399829134,-0.041029965374362806
POMC,0.0472603305886382,-0.01788415185856874,0.021816170559170598,0.002344299834293786,-0.017092218452359344,-0.02292964281169225,0.033360902011310985,0.015668658723135942,0.07535241063856839,0.031875804812983036,-0.049531415664671806
CCL18,0.006620411863963572,-0.020559910336051087,,,,0.055817100820331006,0.07745835465457246,-0.029327121007400796,,,
CCL17,,,,,-0.013093589756463436,,-0.01251767721763024,0.009058144556308935,-0.024020729231030557,-0.018259924497760788,
VEGFD,0.046019078864303474,-0.020559916864785588,-0.015877451331225974,0.0029657516695495356,-0.00960430643271874,0.08379270568531004,,-0.016687432304990323,-0.004676587402164152,,
TNFSF13,,0.09325419403782653,,,,,-0.024019542396668737,0.05027077663197865,-0.025759125664863193,-0.01481528440723205,-0.032367420538968884
WNT5A,0.039005508455096045,-0.036303801496643855,-0.05010341945757251,0.03676506292557203,-0.016140982148133722,0.03975812558481544,-0.05941607975754479,0.08171781094590444,0.0042607898014247626,0.011752087255092202,0.051066135668814586
CXCL8,-0.01745650769530262,0.03500287570434205,0.03895129320731806,-0.0015696661321745753,-0.008943947759274916,0.025894717165592815,0.037388129126251675,-0.023259239389584525,0.02355940999199184,-0.01669419372245646,0.018516823396775295
GRN,-0.003605549285167774,0.041272034880230984,-0.03401138495851562,0.033365169840532734,0.036958964128881985,0.03754625638526991,-0.0009724978949074589,0.037523572700897144,0.08104886931703877,0.05428751780364468,-0.08008103546724246
MIA,-0.032240751360135385,-0.040962447865820956,-0.015536542389035866,0.04071023378630011,-0.010922875919116264,-0.021010197710815103,0.039597903215842424,-0.008548706633750524,0.09739491691549491,0.016860264125977985,-0.007648330470630445
COL4A4,0.007263994029621252,0.017942247057391128,-0.045205105263169565,0.009554084485947691,-0.0183495628766097,,-0.00473120448911543,0.03584293148482758,0.022727593181812368,0.01096281355348024,0.01781736740571521
TAC1,-0.03139786581129865,-0.046792975479392276,0.08856915588431365,-0.047556916100350365,-0.02880572317791517,,,,,-0.02400452749958014,-0.018724348030358006
RARRES2,0.05155354251071065,0.03050843041658306,0.03878485765151596,0.06154244293326224,0.056572905932013945,0.04513410619242057,0.06064387649916564,-0.005796083938869634,-0.08170651717636798,-0.005247215664597945,0.16300627136933032
FGF7,-0.031170216939188488,,-0.006023849721909369,-0.015541330928499514,-0.020094618065554456,-0.021865269398241727,-0.0106586142633406,-0.03722959326456103,-0.018564022333254895,0.038577004584160295,0.03490395828131632
EFNA2,,,,,,,,0.035424964358941616,,,
HBEGF,0.1221541377838633,-0.027117194393055072,0.0127075641139072,0.027452405368828033,0.026320995029468563,0.08866796783349125,-0.00731765377056653,0.06572767700522529,-0.04232360760542592,0.06440935367768098,0.03357941768088547
CSF3,-0.024472381521305136,,0.020845331030800003,-0.01636531095495028,,-0.023274328917092513,-0.016383889122614494,0.0007518381505193296,,-0.019224883570309978,0.02948236784899114
PI3,0.07552651523498295,-0.021629892515411753,0.07045759022399666,-0.018427556133998792,,,0.016367961595848857,-0.016155534346146715,0.00363964920910147,-0.04176928515684599,0.04134917709645319
PCSK1N,0.03616713627242623,-0.026642173796305027,-0.02028017802194902,-0.024610294008567204,-0.02333571898106672,-0.036533023652308524,0.011459667093937958,0.004053598371291981,-0.026225295135968017,-0.005202167233764598,-0.00936685171542094
NTS,,,-0.019019768349171604,0.01877538043335729,-0.03630072764468186,,-0.029202437906555537,-0.019322750776588158,,-0.028469431039099404,
SFRP1,-0.05237110969938677,0.05952270200412492,0.023257322126897833,0.04631997848917941,0.03121052556329275,0.018453557851267382,0.003588619824552319,-0.009549266040093589,-0.03981375574474995,0.07402037606825586,-0.04747353270432705
CXCL13,,,-0.017950632879981693,,,-0.04380825302858674,0.047802787950144913,0.004412611988631173,,,0.05017262758343374
MICA,0.01677618332762182,-0.012408589223161934,0.0007412255570064173,-0.01787612844288327,0.009938944079791543,-0.02305839581954928,0.022469936724219267,0.07858898555125383,0.01575564832598734,0.022369031805894744,0.006572828671080384
TG,-0.025243720113987442,-0.03237687094327506,0.004817928906548033,0.056948563957528245,-0.009475774046253063,-0.03306705754325601,-0.01663286342356318,0.02921145073389933,,0.055668723013467376,0.01199300748120689
ADA,0.004709888893249939,-0.011212849458856164,-0.010823419780625608,0.0003776261712541064,0.022514599877966522,-0.014295225338602223,-0.022213162598036757,-0.0007318560020692374,0.013578282450707727,0.020516417755784423,-0.027483202580656597
LAMC3,0.08479288241358704,-0.004265059029832989,0.08034939379014834,0.11023777769598422,-0.030347621341767165,0.07626881372193141,0.0193057226730417,0.07402122512355876,0.08331869543753982,-0.01731620784802172,-0.10294064355962307
CCL7,,-0.01307783982900689,-0.008018608448332425,,,,-0.018761112816844807,,,-0.020145814423550488,0.0739164058936145
NGF,-0.02885575323299716,0.00745947745162772,-0.010478565568610406,,,0.011263185158211744,-0.021667583362813936,0.0884879119986576,,0.12135289466203164,0.054811384979377424
TNFSF15,0.01723581651190788,,0.0035754093406898464,,,-0.014821550126361925,-0.01828997830515055,,,0.045082585185981815,0.0563710115060755
HMGB1,-0.025502943362892865,-0.033045844952484554,-0.048314512564544006,0.07927171277728018,-0.024883908772743216,0.05558683221898293,-0.0378221076488113,0.0020173106629019547,-0.07710643395932548,-0.04612813941743654,0.0012752921426414997
ITGB3BP,0.026155563881205532,0.03306592571919743,-0.04206466624602269,0.05966238131741842,0.0007597477361898648,0.030973957095929226,-0.0009051817925608916,0.02221314408209099,0.013972009201256297,0.022247277517612202,0.04719591819423353
AANAT,-0.03919489334545338,-0.018973955937472357,0.05531380993839504,-0.014761953358110239,-0.010922876526674511,,0.009437018116053799,-0.021343651462434464,-0.029712871423875156,0.018631308944013023,-0.02323479746107761
RELN,-0.0497535590656401,-0.020471021911811542,0.0029314444391806815,-0.033829814557851806,0.049431740068644515,,,,0.015949498952106254,,-0.05275502215698778
IL15,0.045595613192084994,-0.04135176243312766,0.009333741078288781,-0.016650591741787395,-0.023476841296489647,0.023562421691449537,0.02987480106453125,0.016714359113001797,0.11246848579229911,0.09889399041119167,0.012307006211909579
UTS2,,,,0.058882948112169126,,,-0.014015863981769612,,,,
