,MGH258,UKF243,UKF248,UKF259,UKF260,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.025658751544735542,
BMP1,0.021060577132287546,0.07927016258042605,0.037303687069877446,-0.04100162235512303,0.000550813476963669,0.011675687757269486,0.034514727299979585,-0.08791819837557463,-0.18300410847342422,0.07172394013745685,0.014499438502592821,-0.013170873406210471,0.1531128568338975,-0.05586618435931557
NDP,-0.009822778812523563,-0.06583811479986018,-0.004514053556552419,-0.06072973162512548,0.03132382903743499,0.004626615274794124,0.03123088149407103,0.04780006352354318,-0.016429991970904837,-0.02677755021886782,0.028942077653767818,0.0336953284026044,0.054771292297773035,0.0522150074379895
TNFSF18,0.11266908767418604,-0.019285633720650064,0.03245113924081275,,,-0.019597322308069563,,0.12201677263054343,,,,,0.03869692828524749,0.013219783024909048
IL36G,,,,,,,0.03022899428994998,,,,,,,
RTN4,-0.022545107078984276,0.00045620840669123054,-0.03618947509952876,-0.011301812542166612,0.027203587035900405,-0.03639519236901505,-0.07064810362973592,-0.04874716566821502,0.06737493614357566,-0.002931855505141364,-0.0324192368805067,0.064512925985897,-0.06468463917578827,-0.04206267277847457
HEBP1,0.006912203919400325,-0.00210747314445077,0.031699571099222244,0.008491665256805938,-0.027223872096085774,0.025923870044409932,0.0158519904014063,-0.057648468353430814,-0.027626167386833152,0.015088786484603593,0.0182422492056455,0.008216521199228314,0.08452658812804813,0.006226172527835777
WNT7B,-0.015970514810918733,-0.031771153095483964,-0.007139077474418319,-0.011939024058727783,-0.03576300932794101,0.040815089707116205,-0.022425619863913795,-0.029004747414209,-0.04059279283872777,-0.012091595377335637,-0.027956410046144704,-0.018518798431861785,-0.03899738549388328,0.039493388012448345
PTMA,0.019911961467856672,0.08215806112469966,-0.02685651084346924,0.04821818891435957,-0.011030012501982479,0.014085732506185571,0.07552860548667502,-0.03169751783764354,-0.07376723671554328,-0.07279981635346171,0.044953408052474636,-0.0582153799444967,0.04221858329693739,-0.11151335411112287
FASLG,-0.01597051932574236,,,,,,,,,,,,0.09557807585292043,
CEACAM1,0.020032443306693765,,-0.015803933433607528,0.009128618164581378,0.08823059044337528,0.031568583163217714,,,-0.025231958522629595,0.042803904702286136,-0.030125613749252423,-0.012291195851083701,0.0070123093893753536,
PDAP1,-0.031356838800564564,-0.054700793837845686,-0.0012957076458351678,0.011683795345071404,0.042385286625224665,0.021127068298919513,0.0651854737219271,0.018473796834230453,-0.02461002080622196,-0.012742217783121812,-0.030894147395314063,0.0017725525379509502,-0.036838505273884936,-0.0843907349281403
QDPR,0.0316189896237819,-0.06784980504158661,0.047794303423440904,0.03193956936422236,0.013331505228035003,-0.007795613052075904,-0.04700144443847321,0.031002282629460958,-0.044499811651747635,-0.01890675582631686,0.048924587781359184,-0.0481842990678535,-0.011732775033393093,0.13788488768472823
POMC,0.1274765990764145,-0.03641449498009499,0.023112191579144823,0.004427140562630809,0.07642916757682901,0.0030121873956053652,-0.03523107251455507,-0.0710025252453779,0.019618016190673035,-0.03711030234627724,0.02422907112300582,-0.020106781771667713,0.12745875376351354,0.14688549649923902
CCL18,,0.06754653548209122,0.015481189648345703,,,,,,0.007356486622330356,-0.04558108900761255,0.0621910423362304,0.04239553045319326,,
CCL17,,,,0.01729591511169751,,-0.024441676399619656,-0.01863902859060737,,,0.15805722674073497,-0.0012292102231707786,,0.023962820110870326,
VEGFD,,-0.029140740835581685,-0.019721821968466488,-0.03068384460721724,0.0662494632235592,-0.026040538898362196,-0.01997602425346334,,0.02158526025827879,,-0.0031663744653203634,,,
TNFSF13,,,-0.014882719726959481,-0.018997245444195794,,,,,,-0.033907851360714204,0.008007904336790215,-0.013802189153659782,0.002512626130851804,0.03693066235666105
WNT5A,-0.032682048748563786,-0.0276333656035209,-0.01030227156516406,0.00804071035592548,0.007545640958501288,-0.016290830422795787,0.009439879652211615,0.09733840798115713,-0.0042482292852170775,0.08017504642294715,0.038216357961106395,0.008297728443167424,0.16175184397903478,-0.021559781423240314
CXCL8,,0.06372356446074959,0.04115459893105458,-0.021411516873749942,-0.02671227104148535,0.04442421016342824,0.02633140454981056,,0.12669210259904143,0.10877045894849854,-0.021851218977445814,-0.025514519908556098,-0.009001673502906952,-0.03044988003298091
GRN,0.03833130911696451,-0.05188261120612954,-0.014763686411445633,0.0226727495377298,-0.021544643629005197,-0.013095478431606529,-0.01121647144868512,0.021961420341211152,-0.013387171210466892,-0.007497583298067122,-0.027406558591426215,-0.021460600779400693,0.19740289106535186,0.05954677412860454
MIA,0.0010770277392534709,-0.006862428836292737,-0.030406900285676795,-0.0016035879142261822,-0.040998198904631744,0.05596685043239241,-0.027358080667573108,-0.02104888113559006,0.0009894412828899744,0.009226357673205777,0.09460628842280644,-0.0733094151392291,0.07537169483585159,0.0007582611010185481
COL4A4,-0.0184958073766239,-0.029335241321188216,-0.008715263231429852,0.024360126099156013,-0.01623677529396373,-0.0255178663541999,0.025938578460170784,,,0.0192874005518414,-0.003792746324440487,0.03443469857801205,0.06362736043755243,0.05827439869701506
TAC1,-0.015970510636839918,-0.020124218699272983,-0.02964740431702996,-0.018634420644386113,-0.041057938353658605,-0.01633569975691608,-0.0470315158903868,,,,,0.10378622865612475,0.01851179010804397,-0.05943130683384898
RARRES2,0.005479230809930158,-0.008065270023413432,0.06876592430004669,-0.02575511735565342,0.00823741006788869,-0.029740504451390343,0.012654028273404836,0.0006313843943302862,0.02488737718276847,0.11619629560104694,0.02903941134878745,0.012600298835916516,0.011154359009105387,-0.04397318909640093
FGF7,0.006608202167638169,-0.07302478713260045,,-0.01726265770565946,-0.010831097676528035,0.0019265882808145872,-0.007824539078579407,-0.07865506989028055,0.08590944884957515,0.005346947470503761,-0.015467648837459859,-0.040309457349153956,0.05210267124507929,0.026047877389658896
EFNA2,,,,,,,,,,,-0.02863237976989047,,,
HBEGF,-0.014264732852389474,0.10050157576186895,-0.02881711130060327,0.0012105336452109055,-0.0542668428838159,0.05568839883135537,0.0002991792487372467,-0.048011926323774,-0.01336955895736765,0.03424444374285545,0.040007655935222756,-0.04653140423983066,-0.001775004898064353,0.03461612903055625
CSF3,,-0.02933521809639003,,0.0016250148998394921,-0.04501636147390095,,,,,0.11689810671061512,0.001018818704077655,-0.017621108213483897,0.003322056610650814,0.009359808908928971
PI3,,0.032868339389383244,0.11484459476225686,-0.029061424183280667,-0.04144747301788502,,,,0.0005990898321388754,0.07961861146525248,-0.05134306224041678,-0.015453221073948855,-0.09488932660461515,-0.059513217252357566
PCSK1N,0.022211355855518602,-0.05693543144558586,-0.024995079352443033,0.004359119274008914,0.018418886056593524,0.01590053020756315,-0.04840099635902175,-0.02515004541290297,-0.07290812868358298,-0.04418330498914378,-0.04464830474086231,-0.017557373832848878,-0.022749117178771497,0.03225052858843736
NTS,,,,,0.03416160791776867,-0.029151196047739483,,,,0.026125177774297594,-0.03488312137119406,0.0051703108970608345,-0.012621829237081009,
SFRP1,0.11707437830623021,-0.045293974617227444,0.008970218152426018,-0.011460721475295789,0.008079493869895083,-0.027034483191076385,-0.04037954859789474,-0.009310642631139713,-0.08111418052585981,0.05749238638346936,0.009931474181392166,-0.010787058546019985,0.06495225961585582,0.026601960789355433
CXCL13,,,,,0.15031337958203883,,,,,0.06572286144545243,-0.01933159182818931,-0.028743694376025496,,0.05471057069220657
MICA,-0.01497286566065371,0.054419190806635445,-0.021053300084970278,0.027395946053961853,0.005352685046655183,-0.008439579911554187,0.04881823981714496,-0.044265726178124847,-0.019530135056602973,0.045996544692896275,0.01568021503971206,0.014852194202313878,0.07800362955222577,0.02049743714713258
TG,-0.0184958032085225,-0.02338485106925391,-0.020014617216896607,0.018856573101011884,-0.03269281215054105,-0.024624064014198775,0.021910832864823135,-0.03376406332393697,0.02835789640570614,-0.023480241686346996,0.18012915318680553,-0.014502442835880725,0.02282469507087017,-0.05256467102645525
ADA,0.0726395500319111,-0.016555166714821688,-0.06373347546602678,-0.005216103300943141,-0.03904062120216803,0.00589254061912204,0.014607673795648412,-0.012777615028672666,-0.1281056284894905,0.028558390489711837,-0.012216696546932415,0.012782948509195745,0.14382661597763408,0.03699536365879698
LAMC3,0.002918638628418216,0.03688013121098981,-0.032456263273125174,0.004405240947841732,-0.009347137180992702,-0.022290994500660292,0.07810082886895849,-0.025295153941005344,-0.12680065158082954,0.059631262119916935,-0.04317185381525286,0.019027128062043503,0.20235556411792827,0.002088937493212888
CCL7,,,0.17568909551809056,-0.018749459691537254,-0.02025264590760712,,,,,0.02205649659189993,,,-0.029673578526313044,-0.0714591436006231
NGF,,-0.01690085304286267,-0.02153869706851959,0.005398752425389677,-0.02161759158411769,,,,,-0.030587643339703027,0.0015613716279421577,-0.004389147920292768,0.07953119067437031,-0.03158609778753989
TNFSF15,,0.0071232650889930796,,-0.020878440390853317,-0.014994990304206193,,,0.01733880735682763,,0.12807726253348767,,-0.010942405683471702,0.041546524418440096,-0.0783746375745843
