,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,-0.023441196781697475,-0.028647636816368508,-0.0006052501921027969,-0.0015770061939768846,0.03720456896550771,0.058981633320496475,0.01090613067133306,-0.0003212322222725304,0.051834152382083644,0.08882297637643051,0.06485801782362312,0.002944485630447816,-0.020119331714005134,0.07570063233171802
NDP,-0.007133007702845677,-0.01926133971020703,-0.028919335515925383,-0.045322332773963615,0.044703106119174676,0.025056827696740707,-0.0013733824853966294,0.00819875660122286,0.09239656963419307,-0.008070198599254315,0.06273519464437266,0.03202171931324329,0.02671667039700142,0.0021043549023557835
TNFSF18,-0.01958115322186589,-0.006802324051080326,-0.038507704296958246,,,-0.025746491576854054,-0.01433915972666538,,,-0.018022101796781573,,,,-0.02794315473477964
RTN4,-0.037451511434438166,-0.03200097619010722,-0.025539934015495393,-0.049282233704318223,0.04866812792536419,0.010966712796101305,0.0013530761368930804,-0.03110274365260968,-0.016668369724319895,-0.0462449761745013,-0.0845360767128027,-0.04226853037724525,0.005081051570198643,-0.04994905420430563
HEBP1,0.00950093721677642,0.012484159318098745,-0.025165531553390515,-0.023038031831565286,-0.023186093644133345,0.01089678941521764,-0.013032796136000254,0.03928460095068901,0.08896791180054617,0.04298560957126981,0.041324889145629776,-0.005921674312990558,-0.006333793508177468,0.04276194636782378
WNT7B,-0.04570262928722102,0.011608994525965286,-0.023919792218321807,0.012321537606841945,0.06891577679327701,0.049081715549678495,-0.00458573820069743,0.05623913189226694,,,0.005488310823914373,0.09310201278258325,-0.022067364102204237,0.0017491173637703226
PTMA,-0.030714286077906456,0.04590594158255158,-0.024105351393618163,-0.0030655394030101057,-0.023213279668914406,0.03209683765413304,-0.0582824198601499,0.0065120547228447595,0.03782260649859096,0.07305408683023829,-0.22390070443459503,0.07515005995779396,0.01384158723389906,0.010380856000010773
CEACAM1,,-0.019692502812719843,-0.01835700184893596,0.01643815739521311,-0.03745216018600249,,0.001888050407029508,,,0.024581728050042915,0.045485242831060174,-0.019560872183688426,-0.014646430495766112,
PDAP1,0.04309170169479486,0.024365309865264213,0.016399856433367613,0.03681498206132703,-0.015757734428436827,0.038218404506879064,-0.013989400742415187,-0.05737479618006006,-0.010010713522592338,-0.014650623741907447,0.05691922568226725,-0.02631453200222988,-0.012760309292109426,0.03316934611531262
QDPR,-0.011091897870760167,0.02569186379362201,-0.05965788855436899,-0.00884633922381799,-0.00025206024934457274,-0.07768891258251649,-0.025646393000298227,0.007403750530364839,0.09706234844275417,0.029113215706331703,-0.17523545694774165,0.0019530664567350509,0.009435818784903528,-0.07066433720107508
