,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH881T1
IGFL3,,,,-0.019246201838215682,,,,,
BMP1,0.04053292006587364,-0.03193823713609425,-0.021706676706851415,-0.10266411293338125,-0.019627596580591804,-0.002124358800905695,0.05921717813569406,-0.023423546823489225,0.06416005917640315
NDP,0.03961325832134954,0.04798465069138274,-0.04177716232047316,-0.057608449763894926,-0.019724980945405528,0.03062109056735662,0.09431323049868966,0.10216444081733454,0.02818369897535095
TNFSF18,-0.03369738687499183,,,-0.02858003194293799,-0.015776937308384385,,,-0.042222380205653116,
IL36G,,,,,,,-0.01956200301224353,,
RTN4,0.029682804930699493,0.037129012360462024,-0.024216714345861052,0.14079479620638513,0.013002907029252017,0.06324430852050483,-0.03315314100805342,0.06348418914690496,-0.013480764693448494
HEBP1,0.005971868242790001,0.07587843950493411,0.04002409403533248,9.475217799118689e-06,-0.017907094327634522,0.009010753381073378,0.008450947280580644,-0.045969139722670145,-9.062252569427355e-05
WNT7B,-0.019002130436588945,0.06941092571483302,0.02854082823510018,0.0953518104774225,0.009346634503260298,-0.016668021662814166,-0.021500895663059506,,-0.020948081240037154
PTMA,-0.007431514556824488,-0.024780083960977486,0.012329030472403439,-0.05643712770449812,0.04871500896247768,-0.030201934803543516,0.08027214213250006,0.03835059845205561,0.05577335407566104
CEACAM1,-0.008656918938347805,0.04967666356553985,-0.019925273475233003,-0.017547995598568487,-0.024813363782615554,,,-0.029689499029322393,-0.013903546181631157
PDAP1,0.04476329892397433,0.04446514397987284,-0.0008512645816761173,-0.044541777594209096,0.017949678361121817,-0.06678969047399146,-0.0005355861000714004,-0.011718918135264909,-0.03176565489279018
QDPR,0.006718024539260351,0.027732543468921438,-0.001522547770852932,0.05755662022646859,0.0148293198745674,-0.028424098946627653,-0.04345543275827307,0.018466390510067838,0.01667337857859024
POMC,0.041172590203137654,-0.006286966134963757,0.05749262407606193,0.02907225593597695,0.01229703050996974,-0.017866243512278647,-0.033646819128118996,0.01312081268578473,-0.022744375105023935
CCL18,,,,,,,,,0.0076545080011801376
CCL17,,0.038389482477132954,,,-0.01967691249889958,-0.020630338306087168,-0.017870445116761686,,
VEGFD,-0.03282544636576288,0.031138551860424492,-0.01906337352881036,-0.032242550752647696,0.01933383489264978,0.02358414613238277,-0.019152309538948156,-0.04036222331979419,
TNFSF13,,-0.016185974578187844,,,,,,,-0.015612750511057706
