,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,,-0.016955646023037493,,,,,
BMP1,0.038097014996519185,-0.020992337318988516,-0.030992615768013806,0.05272600778144624,-0.06862888921354544,0.0063603639458762705,0.04499186146408122,0.01765166279929601,0.003877206465868217,0.013879131712028512,-0.005017639484897448,-0.01193512064959308
NDP,-0.006310404191804388,0.015742403984036327,0.00019735797230213234,0.029067750625269725,-0.07041451710998717,-0.05147582612056433,0.00014715564134991024,0.012940933467276115,0.06459776051097871,-0.024512379445511486,0.07894632477701838,0.013842728317636688
TNFSF18,0.10996556791306215,-0.024816089913202676,-0.04041352776305699,0.01829027572559654,,-0.014453494993159146,0.08292589237009516,0.001443180224867088,,,,
IL36G,,,,,,,,,0.03509867981115806,,,
RTN4,-0.02867172598911936,0.018436508710704312,-0.01363350375984887,0.005602624879745336,0.009454061765870228,-0.06261127089625369,-0.1115002324668813,0.0314567953171244,-0.05354398576850527,0.02564217355456377,-0.04038183441234594,-0.01755948010736731
HEBP1,0.07006014781923063,0.007419395991560994,-0.02853201067697838,0.009154261258278935,0.0032166086520105308,0.0350559267729454,0.023897890105232394,-0.07561314310832538,0.049584272548039585,0.08218670267936104,0.012393956817788054,0.012117112678292677
WNT7B,0.03359188143865737,-0.057921029717236054,-0.020479096322710624,-0.01722763696686439,0.15294646503858375,-0.020371137353022532,-0.032091916427529114,-0.007228310840437323,-0.025423258673218097,0.020651496866725183,0.04248228063467272,-0.016026050372863285
PTMA,0.029255014188215807,-0.06320788592704193,0.023309593985414382,-0.01325123551835853,0.028027647503397295,0.11698733184141624,-0.07048491613073618,-0.042703719505023836,0.08398132816989834,-0.11151813565148713,-0.041441434515503854,0.02419880723503993
FASLG,-0.0303381099048435,,,,,,,,,,,
CEACAM1,0.06973026214442063,,0.057000182077737604,0.03476846802927001,-0.028810558657853265,,-0.010122804887226536,0.04210484169247656,,0.07383167708487927,0.13663736805315052,-0.01923877655401386
PDAP1,0.0956234159055657,0.04879870498364039,0.0025007872610972124,0.05688167316152505,0.016366891508506336,0.06699023945718235,0.06159779693142027,0.020517530570707283,0.10515716106611726,-0.04759282512488168,-0.055655395651891454,0.0391675649157757
QDPR,-0.04059556275481368,0.05569724518758557,0.029836940070920057,-0.009593303103440698,-0.021830610291363562,-0.004084673587477955,-0.11128239999991786,0.007488577417586375,-0.057186880290810885,0.04292189422377786,0.016109531375769624,-0.027795785388047233
POMC,0.0483539260366711,0.010091486001868535,-0.007661878035856204,-0.023491918988836902,0.051440360914133336,-5.494414254080044e-05,0.0038556834992786995,-0.01842884458426367,0.005753684157281306,0.0666488098588648,0.07387994226486655,0.02789370481842288
CCL18,,0.1428393931780755,0.011517888652378265,,,,,,,-0.03433749826761248,-0.025308302316847817,-0.05954517653308664
CCL17,,,,,-0.01669895613922304,,,0.008548440427081166,-0.02113051269717806,-0.013311997995691004,-0.026101089404775214,
VEGFD,,-0.022250112072133163,-0.009918027037843983,-0.018936680917251696,-0.018604481200153088,,0.13744255276518036,-0.021104410058268273,0.00787832987339177,,-0.01808102132905575,
TNFSF13,,,-0.024222757534754558,,-0.011518566211161891,0.08982053625469193,,,,-0.02554372466095605,0.03088258540110811,-0.003937231303679524
WNT5A,-0.0550320909023176,0.05942631301064496,-0.02764065439701298,0.030117479118696916,0.017459740173899008,0.028594330141989862,0.05162878435563503,0.02887048408051971,0.03484821117331656,0.013921830549563221,-0.003361634931248976,0.013642899628367577
CXCL8,,-0.030461210461819363,-0.025794295248258194,0.01820708556522369,0.11265803251701093,-0.019938095528157427,0.1059170562173829,-0.022480738042390848,0.014861914949827552,0.007878653554037704,-0.08186484735751208,-0.031149808684570075
GRN,-0.07890399231835298,0.08047372080768608,-0.025512998822065352,0.04594267958690321,-0.0535513364032891,0.020474412592007322,0.0739349820165619,0.0013467188054066136,0.0029655244704290076,0.0076773104896644675,-0.02058568000120498,-0.016289960695707168
MIA,0.042090771173188074,0.04654874703598963,-0.027061678135155823,-0.016840959712239822,-0.010560432780207095,0.0944290138619528,-0.048435367758130725,-0.03893410626818631,0.012722364179684345,0.0072952502260174145,0.10813980678482513,0.03672660952163417
COL4A4,0.060210270271046126,0.02159864090870562,0.07287958268940739,0.005653029865714175,0.033653358895358226,0.09931951937721811,-0.01670853062004357,0.0470631933514226,0.08308900698980887,0.05875579956571772,-0.0289505422766533,0.0302623220575226
TAC1,0.03317762836499342,-0.0342739503299393,0.05228999621371023,-0.04684993440555964,0.009759839235802082,-0.0387833414601396,-0.009936614152909001,0.025884283931275256,-0.05331823162662825,,,0.013611786496487241
RARRES2,0.05585268794268566,-0.004149869363719009,0.013297236229994264,0.006591951490010855,0.01173930149196581,0.013181242598476205,0.0733540567027311,-0.015366354971941078,0.1461455628426739,0.03482515717128226,-0.036774717225056444,0.012820854081206328
FGF7,-0.002568878223656623,0.013052042476135561,,0.06883875997437315,-0.019917619744189985,0.022414359206730315,0.04882654168566226,0.004783171289207856,0.020914408105791295,-0.0073778576902835515,0.07711427468964868,0.0187937558453948
EFNA2,,,,,,,,,,,-0.017184800735681637,
