,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.05727777749904562,,,,,,,,0.00014196033699221642,,
BMP1,0.019978631708656092,0.08277778752354771,-0.01532242590190047,0.019295810477842852,-0.019113412040154543,-0.5140745523274772,-0.0301940681011497,0.005547209887354567,-0.027983291579818867,-0.08387262429934726,-0.009014735192456541,0.04485890384852148,-0.10368895607892809,0.07067538504290788,-0.03216752643072728,-0.05573870688782912
NDP,-0.026777614195599875,-0.04786900358391177,-0.022234871684203236,-0.0317422431410723,-0.008518607710155137,-0.1402824189454557,0.08429774637977716,-0.020044897265968375,-0.024420544877126703,0.02209103043407007,-0.01691630965102831,0.06012922819547473,-0.04588820873186179,0.005427551949650388,0.0664508641943479,-0.001020909224504649
TNFSF18,-0.02127448234461397,-0.019051029330687978,,,-0.014925470117715906,-0.10202654103281641,0.06465929836475226,,,,,,-0.016957786097590646,-0.04962292924358079,0.034800151857878485,
RTN4,0.13309434804990744,-0.02913245463665493,0.03013467977902105,-0.014513060344110224,-0.0022142136304931803,0.6520634832249368,0.17429772884971192,-0.012504286477809445,0.13677000492160388,-0.01733692974993286,0.038163968100337474,-0.03201110186979964,0.0851802541305694,0.09199085449802615,-0.07920287440031386,0.03262366511552695
HEBP1,0.009692055628934852,-0.005977878934898978,0.015179982709108088,-0.02805947084888174,0.02868626778571581,-0.21325373736618217,0.04702047607982095,0.006453980620306128,-0.02021163191429404,-0.10281861321791401,0.06602347590035085,0.03282236114525873,-0.15534728442882473,0.012527223771544499,0.06785463654323592,-0.12097847934746728
WNT7B,0.017750744006207988,0.010145220596811479,0.0657912614094772,0.01711379569224035,0.037407052946222256,0.4321244541248481,0.06322951121951807,-0.016555689754946187,,-0.07722358708595713,-0.031487781366050495,-0.023573608286395854,0.04324174710312093,0.0418912795690456,-0.00025117039149923434,0.141872198649016
PTMA,-0.07691399872661664,0.02551345958733861,-0.029416011576247073,-0.00039133604601735117,0.01961343445246956,0.06805383881117637,0.037939321779654214,-0.010284919377168912,-0.11899903482772355,-0.007508210513747063,-0.048863428276558374,-0.029191555137978224,-0.25401945696336203,-0.10305742002027456,0.02519787795265392,-0.21630032140738703
FASLG,,,,,,,,,,,,,,0.04439644727640918,,
CEACAM1,,-0.024532624480995503,0.04534457141965907,-0.01893237815425337,,-0.11779019299206803,-0.06067114384833696,,,,0.05548000755066783,-0.027969532339127943,,0.012856587358088742,,
PDAP1,-0.016547412994427222,0.011870959526842915,0.024595050205496616,-0.018068130277038758,0.01930156056926017,-0.39131440436825105,0.03294080967056004,0.014035794486977029,6.645450192090081e-05,0.034675019176936155,-0.0931146499100028,-0.07017255839705411,-0.10660045910763882,0.01056530199630934,0.06201690423326724,-0.004810572791347804
