,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.014158631594259584,,,,,,,,,,0.037592303003573975,,-0.027147251404983395
BMP1,0.03587558082114673,-0.01626955206669517,-0.05540287556123696,0.025783686448401733,-0.035790894496646006,0.008422817782211572,0.005245321061267342,0.03277562707342571,0.004687255974423637,0.033010640238333736,-0.029064278552368223,0.041347522081818966,-0.03264151231872789,0.11160500928643606,0.050400176842960616,0.08847149078818238,-0.01986161968581509,-0.02278025800876453,0.08395066508250228
NDP,0.027582612992710562,-0.05692023828859756,-0.04253903587812207,0.01758051262721125,-0.01620443434793625,0.05270365923109499,-0.02194637586552499,0.04606165989145806,-0.022947373409937834,-0.01666083168412855,-0.060730422749993254,0.06983569314189533,-0.02176759687413435,-0.022423446325942675,0.061217008822112666,0.07734895419740488,0.00900504041835648,0.05550091933730902,-0.05752214600414579
TNFSF18,0.0808901776327294,-0.019285643317234643,-0.024830500676120398,-0.03352436760827228,,,-0.02102514286370726,0.03656904200336123,,,,0.1330985729102325,-0.04352269688758497,,,,0.008671496234307546,,0.07621320792392991
RTN4,0.002269257018742401,0.03170107953449634,0.03227460843550972,-0.06571651522440976,-0.027594926918029637,0.005266488298703731,-0.040517989286528944,-0.0059611329231289865,0.007198483454098167,0.018704934141117707,-0.008790020059862328,-0.01086494582293643,0.053488551851578914,-0.0048812006329269604,-0.02747837337554858,-0.01879252163824046,0.010385377326643913,0.040042281978014266,-0.029205835872448307
HEBP1,0.006621474114424124,-0.030970415039911898,-0.02389429414488504,0.010424370315192995,0.004214339723254569,0.0035573714806826895,0.017257197839748193,0.02402929012230732,-0.041162276550588024,0.013130602102626704,-0.05073375400243291,0.021523956296068632,0.03136797441940072,0.02620376194996495,-0.03708403680386348,0.025092162506303733,0.02739850117748583,0.015526626098702465,0.012306723419561938
WNT7B,-0.0162297551979315,-0.03261649688594535,0.006760871635069082,-0.020824297944550627,-0.026738292878476413,0.01859980254059224,-0.004899003596374827,-0.050520911178461664,-0.014006903755605109,,-0.024204887106856844,0.1450495619884045,,0.0009221928776409463,-0.004979708305072263,-0.031787887038221406,-0.025598008170750246,-0.020366673885378588,0.07112706543174846
PTMA,0.05273073314198576,0.009314078891454807,-0.008511596419676908,0.017160907806169252,0.025700543792142243,0.02610087411691074,-0.02788056855162024,-0.030103088500020754,-0.00953964645268241,0.02933875259931967,-0.01544654087428216,0.07260005006051189,-0.07414193879121259,-0.042762568520272576,-0.011195705775401285,-0.10720843345001992,0.10869570523806457,0.07603397618367715,0.0524502062401549
FASLG,0.09743619761658937,,,,,,,,,,,,,,,,,,-0.023544801882123455
CEACAM1,-0.02253516350070003,,-0.015803933183171474,-0.0159813961752603,0.022171297882321146,0.027345976848290245,0.000633435593414672,0.005370575766254491,,,,,-0.030603842339149787,0.008876618568299709,-0.0187637893835166,-0.015399751345296819,-0.026997793878684215,-0.01351765766452986,-0.032759133717029244
PDAP1,0.04584442726248698,0.01974114751290374,-0.018292604984446337,-0.015177727655593824,-0.04492536040461286,0.035985829222374525,0.04341224854386814,0.017062819002536093,-0.01761808868617644,-0.009072987746681062,-0.005841214348247412,0.031015682726044422,-0.019443603430047456,-0.03850391517621729,0.015016408558211828,0.03227729278414449,-0.019948450435349152,0.0580090213115314,-0.011156892628912656
QDPR,0.06459649936672822,0.06864615337786219,-0.013881853644918018,0.03487168495066313,-0.017395587570795425,0.043912230895875336,-0.11104130746985712,0.027953830972648218,0.033373368835590236,0.06630180780216247,-0.01869074174827223,-0.04922236275340682,-0.022923935189464072,-0.059997812649172616,0.05416100654321547,-0.01998114396572832,0.04109761939502976,0.020505488769962353,-0.024919436254042828
POMC,0.008942741485262513,0.03512630867603117,-0.03745708697136852,-0.02839639128997888,-0.007251346131931502,-0.03646646991798049,0.03369397306708641,0.026770243922812582,-0.03767301344415728,0.010659578284311902,0.018314532827450398,0.049308114528290696,0.05297254511385379,0.0297063207858308,0.046273000633314416,0.15176788222450877,0.028961231249972214,0.012413074738320465,0.0017501592318273974
CCL18,,0.09200170837845607,0.06859388927535295,,,,,,,0.008610466491499403,0.032059924327822724,,,0.037155536072388015,0.04934710284870608,0.030892579581544295,,0.06114182401717205,
CCL17,,,,,-0.023318670385589105,,,0.03235993164193182,-0.0173366203227113,,,,,,-0.013312000374670204,0.055594242701555344,-0.024020751201731146,,-0.02134071836296992
VEGFD,,0.0524172830671624,0.0151520080721198,-0.008603447048554227,-0.02597957388379871,-0.02703945422189096,0.05786079502145751,0.049256887952725474,-0.012716620665835779,0.06701680963028656,-0.020894200491874477,,0.0038342891571339376,,,0.0388951133839275,-0.025334478529330802,,
TNFSF13,,,-0.014882719491121384,,-0.016084696944725627,,,,,,,,,,0.04052236011103877,0.1130993387073953,0.05429137038741949,-0.015179423569579693,0.025016572376855388
WNT5A,-0.08227028670781526,-0.0021826911690983586,0.04611123560324075,0.06847185026059548,-0.04260137431051629,0.02428490722591614,0.07274101992132062,-0.01609489574856742,-0.0738287345851983,0.038738788565704105,-0.0210042297163619,0.0945190167906969,0.07197124190833938,0.05784034792625673,-0.023321421794790048,0.10508966946553941,0.04486007284210803,0.10476328362507537,0.016182289178880142
CXCL8,,-0.05336442441340015,0.08379793575879053,-0.021432973803309188,0.012113972590074734,0.026938603586821267,-0.030704271701545747,-0.06323509743761034,-0.011842270101075372,0.0014342208310106587,-0.006107749818581051,,-0.04333447948259206,-0.04179047033392109,0.01695084065640943,-0.026527697036193367,-0.0341042305521969,-0.016968802006927863,0.038773239793847045
GRN,0.03765027463471916,-0.0016289171736037214,0.013825173472957801,0.01894060880908066,0.006809038104649135,-0.0014729718318217246,0.07804185481391328,0.05507825033163595,0.04758263059558984,0.002898975742529823,-0.018926729460817422,-0.008918952343575271,0.04117640232781213,0.09479214254914645,0.10621084615709547,0.11230971172417975,-0.033893289549477235,-0.05230911495911664,0.04501772017151193
MIA,0.06477827409565048,-0.03310924712244274,0.008643307610676757,-0.020356893019883908,-0.02411391251758007,-0.022493064832746164,0.03738063438102062,-0.003050516456040726,-0.014462477912012448,,0.03938892146047548,0.047377043978501544,0.022857236483801006,-0.02307918567391561,0.02283867948613799,-0.09923627722226797,0.020123731600811778,-0.1019753478904447,0.04338337321785808
COL4A4,0.006232543673914536,-0.02933525591848528,-0.02368574005227298,-0.03423423082940532,-0.019345612582496546,0.02398771598926085,-0.013952280509346387,-0.025517866272410164,-0.02429581272946681,,,,0.024928041345741336,-0.006158030172318338,0.06599463355140885,-0.024657409792196005,0.020465036627752918,0.01582410808953648,-0.0037336970724283587
TAC1,-0.01622975095609721,0.024268918690877047,-0.015687356209417237,-0.03488973410793311,-0.014254477330889437,0.04208427193352116,-0.05070088792916516,0.013430282312607095,-0.04476273340480771,-0.011438716236327723,,,,,,,,0.03943614500330133,-0.02805454430370324
RARRES2,-0.04325599290406481,0.023928452842280887,-0.032000253460443016,-0.012810641585731032,0.04338668508118582,0.015388192290611148,0.10261267255687065,0.030289091390842737,0.018548244218940104,0.015537329889722493,0.02434094521371393,0.10502646370631812,-0.0032115529208816755,0.02591390854708781,-0.02418100822817695,-0.013463883552641272,-0.05065370684952767,-0.026720486699044543,0.016719938529296437
