,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF296,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.02038081928886015,,,,,-0.021110086153461383,,-0.02815965045688067,
BMP1,0.03546464506540078,0.08920701937152177,-0.015445881628342303,0.016222976563477643,-0.03642034703537551,0.2200348638985517,0.025039658180134372,-0.0004354158508367456,-0.01110567793959747,-0.08325803176422733,-0.03307044133657252,-0.02976221830484896,0.034304806355161394,0.09932344090738068
NDP,-0.027041406359950837,-0.013645164645001285,0.01280292280978999,0.009105939052148439,0.018736293744943903,0.07062708693725152,0.027596100567014368,0.057236568796125535,0.018389858492502454,0.05565614019733275,0.0371953126429343,-0.002906416390024131,0.05881877355613422,0.11447360578162677
TNFSF18,-0.0253875010737214,0.03219995474724498,-0.007304035176110882,0.029620512209071016,,0.0719162382177164,,,,,-0.02177045923516229,,0.00841366745080604,0.07090111961837929
RTN4,-0.07319755525453606,0.050200108106680165,-0.02866125209671507,-0.054386171179276785,0.00638403596743113,-0.19743471370775537,-0.02824721539055548,-0.041971381646286006,0.025606264697685965,-0.003923780093878481,-0.03762658247834792,0.13674680047918025,0.0065860350249635265,0.04630893074216529
HEBP1,-0.02204338938403884,-0.02351164491619004,-0.01779195714425069,-0.007893598390774408,-0.0025004842720791455,0.11667732727135412,-0.0016073676442113901,0.011134163563690415,0.06050987866914531,0.018172658565897077,0.03729026143140955,0.0327949319818518,0.026249427886116918,-0.029022643422462198
WNT7B,-0.022365593287303205,0.11136041668483451,-0.04578790085128353,-0.004096979188247827,-0.02807151725654017,-0.01951554562813287,0.023192243234839753,0.02158458295558595,0.08162365338977716,-0.0002255251859425843,0.04503777938878587,0.015266338800528419,-0.03910117721178888,0.05520044061906567
PTMA,-0.030183370940148568,0.0062084363715639145,0.012947271291446228,-0.006223411405345763,-0.029455190435682305,-0.08441799975186542,-0.009603178087945629,0.06196934505599823,-0.04164817142785754,0.037141157742790074,0.0035872623350465048,-0.03814879265338692,-0.032823971676750476,-0.03153316673254437
FASLG,-0.022365599609999134,,,,,,,,,,,,0.042049958237105986,
CEACAM1,-0.0013175271121918261,,0.014566407469338157,-0.015300312398747195,0.0402910526855313,0.022047180605221057,,,-0.03130871854551334,-0.0054433486134847974,0.04844310481156274,0.0908166590923717,0.014712945369357643,
PDAP1,0.026212019205491592,-0.02389748321740736,0.004250975436046089,0.04907621899446581,-0.017460219793617882,0.16081958416641906,-0.01375622354340011,0.11270715367558774,-0.03825346683345989,0.0002710295780677494,-0.025355632813954258,0.0458017024958173,-0.014576553238571646,-0.0030074710919281962
QDPR,-0.059182634075868996,0.06639504062145551,0.011665586897668235,-0.03813119562097676,-0.010809717576207379,-0.15324935218757424,-0.008075095557282832,0.03963874381545578,0.009726028834859719,0.07430510752971141,-0.0018926051269747514,0.029294814632143323,0.08729133383415029,0.04111780166409571
POMC,0.08501337759172677,0.014878182093127636,0.017957772523232822,0.03310892137094546,0.029572007509472625,-0.02271084109719638,-0.04041227356671091,-0.014194645189884262,-0.005485004551633663,0.055344236984722524,0.042626810126941056,0.006058254321783204,0.03442513573217594,0.0031021584006331628
CCL18,,-0.0075492628660400836,-0.02457438283250353,,,,,0.11079282729969739,0.021462523585095223,0.00389573954775138,,-0.08360601073836624,,
CCL17,,,,,-0.0031816019517837443,,-0.002960731994329889,,-0.022212020423467725,-0.045916514319051825,0.06119301069950319,,0.10711233931322882,
