,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,,,,-0.017257037127351146,,,,,,,,,,,,0.03904880867674215,,-0.01980242938140835,
BMP1,0.058862073057197845,0.0782683504245934,0.01395973861076051,-0.04716553462688541,-0.013359738444571025,0.005145685294858331,0.011923898293780152,-0.01970400885138313,0.039279675435022796,-0.037050875435438675,0.007811864926551397,-0.053443999540113786,-0.0004935290368444658,0.046026885199510495,-0.025389805386843496,-0.10199485421315653,0.025759287231711024,0.0004371652085433608,-0.005647314390273839,-0.0039437869079620115,0.044100400632628725,0.049371860858770815,0.018117703532353084,-0.002041200239168307
NDP,-0.043065589408841344,0.12769158973722863,-0.03599031526287371,0.015272854726084768,-0.003965362981626395,0.02153720104718025,-0.019036326279738305,0.002144819978653355,0.021089196884739158,-0.020042164855507607,0.02672193191214045,-0.051635584121223384,0.03387754138483876,-0.0068158051514502545,0.028487102152002307,0.09008664788483632,0.033089311591767624,0.1020055407263552,0.02955228498433749,0.005653116424504262,-0.057543929071862704,-0.04011390431759281,0.04398939584393803,0.0352282148670907
TNFSF18,-0.022885149103990837,-0.004455099684178545,-0.02794796510180596,-0.011232665382668346,,,,-0.012582397621718625,0.10787813759203842,-0.017684542041779338,,,,,-0.024507775343298555,,0.028397600887931928,,,,-0.006257144733889634,,0.015213336641726768,
IL36G,,,,,,,,,,,,,,-0.029622298013365956,,,,,,,,,,
RTN4,-0.017296516835334338,-0.06990707624456015,-0.01329295586732923,0.07834501268459723,-0.012196826988839357,-0.01862385647677468,-0.001937316772792206,-0.005154929193376529,-0.04214728997657307,-0.042387383013012155,0.04826683651355481,0.156593113885872,-0.050414919803396054,-0.024454142268658597,-0.0005431507581292925,-0.014748805121096662,-0.014646227458084641,-0.1842014085807307,-0.014479969397952167,-0.0548791183688991,-0.019031753687267363,-0.03047854359969924,0.01548473091591061,0.05628225957892788
HEBP1,-0.03242855832366612,0.03259826928499885,0.015789735458545985,-0.022132157763010914,0.046547390660558956,0.011688596760427165,-0.03352401379408141,0.05604224661639629,0.024704305074010318,-0.032515716318027243,0.041779161851043134,-0.0644495886427758,-0.021859615129136548,0.03537216327392289,0.024745101196308347,0.0024692035599514187,0.031530391213558065,-0.010281391754636767,-0.01320170377936504,4.1422784348135836e-05,-0.03543519761893332,-0.018576175324979446,0.0231637146850097,0.01006130368172314
WNT7B,-0.020161099577813743,-0.03244509530063502,-0.061203720951247126,0.011884518007308434,-0.04289278300662968,-0.0365097681089171,0.0032656166488839924,-0.027463711972182486,0.034398219700713724,-0.02806447783162566,0.0043641602484908,,-0.03170287449139175,-0.03255831923176821,-0.026980668561514484,-0.023876498488541703,,0.10075949636553484,0.10856999166008809,-0.023804195665605432,0.007172565839910971,0.04697545961747039,0.05948917705129562,0.03624419835952377
PTMA,-0.05771697712201864,-0.12729272931652388,-0.004593424491866519,-0.002530131022644685,-0.020119428619264662,0.06591356135040961,-0.03659032939804026,0.057221257463366995,0.03732389875934119,0.0430220068510292,-0.00316104553908287,-0.10129534461437778,-0.007569784276886163,0.0804215036671183,0.045872799740026164,-0.11008327877897582,0.013347308576717641,-0.10371820454507352,-0.0060708391126272675,-0.01157030299936102,0.05017803483059533,0.02002016520132519,-0.06592164689302638,0.04910838653073154
FASLG,-0.02016110527730495,,,,,,,,,,,,,,,,,,,,,,-0.01717464024679906,
