,MGH258,UKF248,UKF251,UKF259,UKF260,UKF296,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk
BMP1,0.06826535123215736,0.07837446872144439,-0.015057804723735038,-0.031755650922680685,-0.006160033281954537,-0.012265163572967565,0.015785537253377464,-0.007836969436000735,-0.10087171622086025,0.0423487298439716
NDP,-0.05569942703491727,0.050445804263199535,0.00888704275195724,0.02992251770752992,-0.049025904717025545,0.03997919641043411,0.07332062817977604,0.07163948005140401,0.0859579027046456,0.04590297219517004
TNFSF18,-0.021153800663678328,0.049002717720449285,-0.0389078558096337,,,,,-0.0252577245950281,0.12086217292241266,
IL36G,,,,,,,-0.015968596919435373,,,
RTN4,-0.006832576074223583,0.008992718204674401,-0.044415174286577666,0.043487131666917075,0.037861112340957216,-0.03491746040696107,-0.059750713309991314,0.052147011880526783,0.18126108820958017,0.00031197817168907705
HEBP1,-0.006470815286289918,0.02560455000727192,0.007085598768720689,-0.03701419361924757,0.03602961829633384,0.02908726865410472,-0.011746697185571251,0.0023611736130427236,0.029254743357028344,0.01707091933322275
WNT7B,-0.018635835829239524,0.013519863992762962,-0.006073768501783769,0.009119973751487358,-0.029104314587428324,-0.01452450014555494,-0.017551328257916287,0.10942540313356307,,0.022894199353210843
PTMA,-0.020664134851192166,0.01815598257504446,-0.008118645775739312,-0.0032478031328327,-0.0019927240559096965,-0.038913071670014406,0.08281674697291025,0.0033707606981252056,0.014490930653027064,-0.059935639279359965
FASLG,-0.01863584109754257,,,,,,,,,
CEACAM1,-0.02587602845899,0.025038494308621977,-0.022131971758407778,0.01169325567445514,0.04183998748977672,,,,0.027192101686687856,-0.01793026214368676
PDAP1,0.0680942859589959,0.006721010184067732,0.02106783045459105,-0.05913865046886871,-0.06259487427101015,-0.012112293705158003,0.05354083422600902,0.0254300671092961,-0.030594071301522904,-0.05835356195521295
QDPR,-0.02480317929473924,-0.05088709182923992,0.003867253174938917,0.04134675920275075,0.07561651416817641,-0.03551047106793382,-0.007425489313012772,0.09362790426066357,0.05062410583378673,0.05425459298728133
POMC,0.03865985026458447,0.0005847980739627271,-0.004118233300898525,0.0048683160082724376,0.06965839367240291,-0.03107885498312366,0.006947837926146121,0.027804822023614638,0.01751104920857154,0.010532093002352952
CCL18,,-0.03387308849772563,,,,,,,,-0.032812159779698015
