,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02390339038745154,,,,,,,-0.0025826593502358804,,0.07236406244088671,
BMP1,0.027483453599282812,0.04074470566159942,0.09559896907450431,0.017481991938846773,-0.002454723830299899,0.020942522371815958,0.06814667554433201,-0.03431986063426051,0.03462012895534166,0.001098987393113117,-0.017833005360408764,0.03228095900388222,-0.030681452981049545,0.06740471319255785,0.039495210522144275,0.009047870417899204,0.0811096756508725
NDP,-0.00963710807797257,0.03978244227592423,0.0662670632384233,0.026412885246741524,0.020386593621636227,0.04263962397981344,0.02996814827444251,0.019468155356398915,-0.006294195611147169,-0.01920673778832271,0.005038910015622762,0.0369613601643172,0.013295262633079051,0.04047820066638328,-0.028715512094562592,0.06719181144176439,0.018276581899233087
TNFSF18,0.07913399462304214,-0.027957798033394016,0.03164587393300676,,,-0.013117669848805106,-0.012766548179872035,-0.01619555093430686,,,,,,-0.025137228048527808,,-0.05490804624016755,0.012479133245208753
IL36G,,,,,,,,,,,-0.024451478632081948,,,,,,
RTN4,-0.02274005385731358,0.04235124065893414,0.04929164366818936,-0.03322208970737503,0.08088063572706665,-0.006951056525901103,-0.07018322262974282,-0.016026169017883778,0.04224455228699476,0.11055914704601733,0.031634791246083906,-0.06972371272783492,0.05006058042783827,-0.04569366826462722,-0.030195154787553406,0.05671601142624605,-0.0685865613232074
HEBP1,-0.08664756536612382,0.027833268480413627,0.06137364882822766,-0.020332604562381562,-0.04199215415829788,-0.01568432293635405,-0.008585620319022777,0.06410849549760489,-0.016095743198263433,-0.0632553215790724,-0.010041773440756335,0.020819648566405616,0.020513854809818002,-0.04763977362827027,-0.0027128461636606,0.05901618264794752,-0.007623354664641114
WNT7B,0.09609614745852914,0.1284539936486471,-0.01624291333010172,-0.02403261764211816,-0.03904013431059266,0.03612097670930878,0.011892294583715254,0.0299800595015365,0.014019023760589527,,0.03640214696331751,-0.02639395599823309,-0.045929775860749214,0.008612040403989973,-0.034106826061873825,0.038369539374020246,0.008367697635935674
PTMA,0.07790946362152901,0.023174883519049092,0.004562341149855698,0.03556938561927547,-0.0421118931720315,0.0107653406699568,-0.06526659635360782,-0.02739818418506557,0.010146589199013827,-0.06971773963882455,-0.08785229079845579,-0.009268432095994166,-0.024585584131520823,-0.021892724368732196,0.09964512708696044,-0.04822046269135189,0.07967820948541755
FASLG,-0.019736378593722445,,,,,,,,,,,,,,,-0.004072528979466286,
CEACAM1,-0.010017235901198835,,-0.01557393823212897,-0.017271206531217335,-0.026925906951230604,,-0.0213800643518809,-0.025471743288177376,,,,-0.03026528126857953,0.05287260560234017,0.047501853097303974,-0.022637196496727106,-0.03363422116224149,
PDAP1,0.056196128297625755,-0.07199248218949528,0.007174496303284121,0.03912479520866682,0.0324654757470889,0.012417838546197463,0.036053303162397875,0.0008802679787675909,0.012491011267739367,0.02319444084889173,-0.02048028110166049,-0.0005158893581913282,-0.08808004841749621,0.01604766234266869,0.08249678655497243,0.008203169213211797,-0.07352663394093752
QDPR,0.018750766313465707,0.06132442926169802,-0.06057234118679202,0.014664678616052536,0.02036112699055843,0.020096806600519025,-0.08852349877685442,0.0048968201125668956,0.026395349090129302,-0.020725353195049465,-0.04946762541865566,0.029222640607777517,0.0745680019556277,-0.022368263731456662,-0.0026232136316459596,0.047597141034857064,-0.0564634165891834
POMC,0.013041902609764951,0.024513052510075038,0.04043152954944331,-0.025842655384889564,0.050740745915174586,0.021620620741363936,0.09288690681563577,0.03991410508652417,0.01893849956635568,-0.028272705922675574,-0.03207482469609179,0.08637938711601995,-0.0026828452074817463,-0.004867110361349588,-0.016550113595097487,0.0016831271566702171,0.05651063898235351
CCL18,,0.05533049207013445,-0.01943480342529391,,,,,,,-0.04202946455735641,,0.05285394811378919,-0.046973064455473584,,-0.01165170883996751,,
