,UKF248,UKF255,UKF259,UKF260,UKF275,UKF313,UKF334,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.015714764982612494,
BMP1,-0.0597306761612773,0.013502974596274983,-0.06850765017069625,-0.07300035109868921,-0.0090563544251085,-0.037015909860660806,0.09593671772778128,0.04171242010090967,0.015481338527018301,0.04390630663044274
NDP,-0.07071158001755304,-0.01343161728797534,-0.09064788465023653,0.009091798419586291,-0.05386620934889706,-0.040222617606309304,0.005959655046622858,0.024718341637647002,0.045326289448110985,-0.10802973420730656
TNFSF18,0.0015512925133962746,,,,-0.015018610482731662,,,,-0.026507999014078267,0.009568079405528543
IL36G,,,,,,,-0.03137865962629728,,,
RTN4,-0.03529251681762694,0.03889988414088279,-0.04174296364714825,0.012330873426813205,-0.04367645254756607,-0.02739870185706454,-0.11892164004884377,-0.10872354559520407,-0.0547925951328869,-0.001104168153513036
HEBP1,0.04083607060446724,0.03548819125584,0.0003439444761728058,-0.02990963654955128,-0.015769656745679147,0.0052948476574734855,0.05950962075956477,-0.011105960418641798,0.06693763610089663,0.026557256992857017
WNT7B,0.07092503915063243,-0.03255377200932156,0.03504865113082252,-0.06568614553667497,0.05827935370315503,0.021915476929845246,-0.03448876304995002,-0.03487037020530005,-0.03354184119222203,0.13751041791589885
PTMA,-0.09860229360538734,-0.08064221750116912,0.06723810759503596,0.08675515401003561,0.0768607695233615,-0.04637904968501909,0.17511257513409972,-0.0605259412515342,-0.04189321795220788,0.03768887503953187
FASLG,,,,,,,,,-0.013629410308250274,
CEACAM1,-0.01647553056440774,,0.024792302035287095,0.04392262432447706,-0.023620696345125168,,,-0.016893070930898636,-0.01896332264792707,
PDAP1,-0.06907031715023845,-0.027082026084410703,0.059185869486062484,0.013816666833482306,-0.07860730156020342,-0.08923228307522114,0.048412022414684334,-0.029269787982964916,-0.014319735998821349,0.05829614892805405
QDPR,-0.023408212600578477,-0.026280230131315804,0.007024592137555467,-0.04875447604150592,-0.13743634962769705,-0.04636008180072583,-0.10374042166556317,-0.03900888125664186,-0.0030157210760014506,-0.09188126506069151
POMC,-0.009380331340402774,,0.007997997037970543,-0.026079721053159897,0.014310177950411113,0.018380398165937183,0.005723814119270682,0.0242253539880701,0.0026687935053227663,-0.057226239173323375
CCL18,-0.004411662367128464,,,,,-0.0638764809694067,,0.19869366932873225,,
CCL17,,,-0.026245534285842087,,-0.01873113130561264,,-0.005431758682967664,0.06209929595140095,-0.012353529594256922,
VEGFD,-0.0036006830175647213,,0.12032532992237212,-0.012399934532253081,-0.019956436105247104,-0.013838524392197156,-0.030721486020833418,0.17811190564701943,,
TNFSF13,-0.015515169357876975,,0.04634349193688881,,,,,-0.010544766026336338,-0.020129045366622404,-0.029715437677619395
WNT5A,-0.0184535419196505,-0.01136912883173164,-0.046476925039910036,-0.03800233287796315,-0.052446096089616784,-0.012447411300545337,0.03142101297684105,-0.001248564050046794,0.06953567475490276,0.10461922528994283
CXCL8,0.1537497497679308,0.04595793851037216,0.1841896426478459,0.07472853327570386,0.09108572411307062,0.04047466746870364,0.15530720544657817,0.0288510148895249,0.03143379482899351,0.08186524456331896
GRN,-0.05541890383106878,0.026736625869858404,-0.046888202501557466,-0.08187882573396515,-0.0665392994681454,-0.018265592351949085,-0.014983568374838536,-0.0004786112478665965,-0.00725742721265278,-0.037411008004007415
MIA,0.012551201692447203,-0.0075142749269897875,0.04022426308415152,0.028439308999611952,0.1095029747920947,-0.018767525207124932,-0.026161081397135154,0.1388193892372151,0.01784813665964679,0.0828140643653878
COL4A4,-0.02469227942493295,0.00041184735637092855,0.003140337839077251,-0.05049314354078471,-0.019555880599377837,,-0.00555751057475333,-0.012241467495809405,0.020861674894637305,0.0954378272027632
TAC1,0.025122813994940867,-0.05234195433674509,-0.058575681935768176,-0.00692761929317283,-0.07579174442648365,,-0.07233061191916693,,-0.016239970811411736,-0.0040880081218965915
RARRES2,0.036974108320700555,0.017529545587131695,-0.02588422759356037,0.0519336921614095,-0.07175152049946537,0.03095630805603111,0.12079705705994558,0.07042898266767901,0.01367244191986542,0.07842372781723829
FGF7,,0.06453613365431518,0.05492147628564808,-0.02374226838143792,0.08881466777647648,-0.030151508822393723,0.036240030243852014,0.01581004223122571,0.0043199379819394606,0.012039414638788937
EFNA2,,,,,,,,-0.016055733383529478,,
HBEGF,0.035221237890728285,-0.06755142809944673,0.03498955708179896,-0.047818378985391756,0.018547690268009964,-0.07103762717315495,0.02570361196836401,0.011084972645881845,0.017226007245893928,0.08835522639385011
CSF3,,-0.023107241087550346,0.09188331961944961,-0.041313314317532865,,-0.020789978306848807,,0.003834808085839236,-0.013006360905878442,0.25732460003646573
PI3,0.20497916853654316,0.0017231204015698677,0.16740062502393072,-0.038038002725922254,,,,-0.02288194101964204,0.08471688219857053,0.10894803353202631
PCSK1N,-0.08113849391671614,-0.06944602233570797,-0.17556559220625612,-0.006240175458601628,-0.005069594727768615,-0.006308099083107659,-0.11292761284881579,-0.07880734852096391,0.008044034703606465,-0.07989286200090986
NTS,,,,-0.02078810318928684,0.05169879553627026,,,-0.019560864336891744,0.08926446898617897,
SFRP1,0.014931752721252836,,-0.022900243148531663,-0.014146177919971989,-0.013319124849253792,-0.023156807594789303,-0.018631622933495406,0.005119885068260372,-0.01881307829927897,0.0030833899214140013
CXCL13,,-0.016778591142848045,,-0.01401904297363672,,0.035616498483778486,,0.04467887378775248,,-0.028336786529932014
MICA,-0.008008409082111327,-0.04387585681649747,0.08726355059058874,0.045183246879337016,0.05523293852382741,-0.06251577930320615,0.05545317186643994,0.11506784504851374,-0.013280673323888843,0.080834453593515
