,MGH258,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01284335047881194,,,,,,,,,,-0.023507825909636522,,-0.03980972702248228,
BMP1,-0.03068356026795096,0.06873182935570438,-0.003484117437188602,0.06157622890410597,0.04679438611376614,-0.01266924343034197,0.01885921552770193,-0.05708942914894283,0.027827732861454887,-0.020418238629596522,0.06554815276661179,0.08284420178353231,0.047461554830585874,0.019019069399217686,0.0062642333701736375,0.039068774199333495,0.04960067564361952,0.09401674007544132
NDP,-0.0466460684628879,0.055170783886866054,-0.0025893654325235536,0.042893720640163516,0.0051907887551131335,-0.0028563616300705938,0.05182830495625563,0.016974582573173237,0.03909866597321075,0.040915579133637796,0.06270572111002722,-0.005580648788129991,0.05892811864470647,0.04442349036477429,0.022067155548995087,-0.005672326798980318,0.03929635150176278,0.01223367051554859
TNFSF18,-0.02010298162376007,-0.0735320970611688,,,-0.019071989893088625,0.01516922430090375,,,,,0.043776590498979216,,,,0.06240686579721278,,-0.010477168698053227,0.128146191790237
IL36G,,,,,,,,,,-0.013552785995619421,,,,,,,,
RTN4,-0.07093824314999994,0.019261913657550814,0.01818909087922559,0.027741841462860777,-0.000960600975326789,-0.04018870998331006,-0.0010798146261105507,0.057787073585744114,-0.04598757187706342,0.02623687829377888,-0.006605977400310253,-0.021314900427950728,-0.009731950456617818,0.012970473841029803,-0.06342185882941145,-0.08657283315556709,-0.053339066208796436,-0.07524138055251103
HEBP1,-0.018983107765849355,0.014543981632750608,-0.014795698014230658,-0.03483042170854553,0.029525100003839417,0.011733676058565512,-0.05664806769918525,-0.021169277239081605,0.04308089684368405,0.009287465259600834,0.09861377789034158,0.00103381853007659,0.06357209869178203,0.02933909360760813,0.05260377423392754,0.06271879249174965,0.09558030961200606,0.002559036896288117
WNT7B,-0.017710097167639098,0.015330413817285973,-0.026842793106027208,-0.00095599332509705,-0.034580024047561095,-0.030520092431677647,-0.019477548538331637,,-0.010837325190689438,0.007922981401254638,0.0751906974717852,-0.07514979473972846,-0.04215440057445167,0.00784588316346098,0.050042933346491146,-0.027240234752691942,0.15999880575600042,0.05460257393128681
PTMA,-0.017421543517367685,0.04920083911049617,0.017151727879725406,-0.04694474436977055,-0.030777270910062125,-0.027240750402306835,-0.03159854633875753,-0.011401954518831423,0.092663790018297,-0.08929973945966427,0.05567997605434346,0.002996109698574064,-0.006374641835661966,0.05031734523790012,-0.14045215455320378,0.009978493501011066,-0.07428951306012781,-0.046360239423195504
FASLG,-0.017710102174238202,,,,,,,,,,,,,,,,-0.00984081352593544,
CEACAM1,-0.024590631862204386,-0.006862728475085297,0.052195887499936505,0.036299823878240475,-0.009415093240842548,-0.016745994528413258,,,,,,0.004920550616369479,-0.023621189775598236,0.0021184232954312866,-0.02074361775292344,-0.018079739979175995,-0.0021081002704697264,
PDAP1,0.05987546574156444,0.043084280434593204,0.010976135987631324,-0.039087305934883264,0.0038053363139367194,-0.0561671266523904,0.0038432006329198656,0.07690586186498757,0.040289840875974474,-0.0521013085056212,-0.035254054622890746,0.02417079660712848,-0.02300413616429618,-0.014744226882392429,0.11787853328119215,-0.01974828915284154,0.03345385174151711,-0.05508534142898473
QDPR,-0.06608444415153941,0.04332703637584437,0.02224034308502103,-5.930771536762854e-05,0.00719398690113612,0.026590897316488626,-0.043875884856016054,-0.0020357802153529946,0.041585234950705166,0.0527942728939712,-0.035751942533818824,0.03349597948614833,0.01433229690543474,0.09062873630398026,-0.05867777762302231,0.049065398303417725,0.048447609504307106,-0.03517200892910999
POMC,-0.02151069614077537,-0.01759208069400461,-0.031353382987980634,-0.024227952206277725,-0.032352265402574416,-0.012354527067756282,0.023763125605325407,-0.05698651595152712,0.012641887585113677,0.15719977345698113,0.07102544623346091,-0.09147553977663511,0.07708484870864483,0.011690251199290347,0.1502859669073033,0.02399548610571225,0.018680801131729232,0.013653821897245304
CCL18,,-0.029033331628891556,,,,,,-0.04835755170854834,0.04136859864991816,,,-0.061773172896847674,-0.043226487537796406,0.029472836615899143,,0.042545559308292354,,
CCL17,,,0.07445013796716982,,,0.027841667179503166,-0.02410774498904581,,,-0.0123808547704623,,,-0.016758090848064518,-0.04038334906515799,0.03239687758569165,,0.039287389885626765,
VEGFD,,0.00913614798377653,-0.013384222202883244,-0.030915103314251933,-0.021516057200693252,-0.014148201430736689,-0.01768332249468414,-0.028934720040179412,0.1182288688735804,-0.013268945533888637,,-0.042497196535974446,,-0.012928968049554087,-0.032688798423451626,,,
TNFSF13,,0.02824058157032342,-0.023379985326779724,,,,,,,,,,0.024440052443821348,0.11998254272630741,0.058116153506829776,-0.02030233624660455,0.04045370453524256,0.16397276602717561
WNT5A,0.016125675698272453,0.008742509612568984,0.011015862932267589,-0.020518260184753292,0.020530270898668514,-0.0034531690477852687,0.005034964562680124,-0.047256700017779096,0.03613463243812382,-0.0347590554682214,0.022377920483360094,0.0648658267816674,0.04374386720347206,0.032177014253672226,0.008971570936516836,0.021326433937935797,0.042978212620491944,0.05811495878091092
CXCL8,,-0.024009876703907494,0.04873270851334807,0.06418950897321281,0.013109962699279696,-0.026153346413608114,-0.01646747880347411,-0.004320626169409086,0.06385877179860834,0.027604302919133607,,-0.08759309211143507,-0.026646055678910773,-0.0867106763309325,0.0068467614720093195,-0.007155224217656674,-0.07733575773401515,0.008832181985928706
GRN,-0.07921352237079192,0.04046857556501683,-0.04775740473357207,0.048929773682906276,-0.009972207469769345,0.022848400876683782,-0.012583870103265067,-0.024528262260278794,-0.03514746331199848,0.061487650697234095,0.041785604112207546,-0.04963328476914866,0.037109030847245164,0.005079244690873417,0.08826261094765828,0.09001147584610708,-0.04469090921293998,0.03408236735392093
MIA,-0.023180996211628807,0.040781200723078954,-0.005096140938940594,0.02287992911214528,-0.0027320634268290754,-0.015070305462761243,0.008055043994321241,,-0.026436429485220344,-0.018172428992061417,0.2013144186320637,-0.03607172079365018,-0.007674929661816998,0.07998148595845662,0.05188568176300997,0.0723828343990609,0.1281670859231861,0.07367070439085155
COL4A4,-0.020510456282223102,0.03032199934153768,-0.07817756608022801,0.02388146395946796,-0.012656168597033352,-0.01386422587761982,-0.01682324568041076,,,0.06018808658362181,,,0.03193939506803673,0.14993691108439433,0.08888126000491063,-0.005533348652048093,-0.03219722325908178,-0.042574553406426234
TAC1,0.06112586535611476,0.03509088189653623,0.014474141248275351,-0.019065289943622835,-0.006803189392024467,0.00971999808668102,0.011036005645023642,0.021160683403670336,,0.014317457797336267,,,,,,0.0654347975877086,-0.041140214668861225,0.002562556617989671
RARRES2,0.1251106884963223,0.015055154275988218,0.003411999938910485,-0.002342375119174755,0.019579598103506464,0.015439365373550059,0.0070961895317742845,-0.08073080492757936,-0.0057675885301609045,-0.0791608744197578,-0.0830984847980394,-0.04266638512373726,-0.011718105985638962,-0.008221471892359609,-0.0955769189408131,0.03799634070916325,0.043593834505062656,-0.060374058251705554
FGF7,0.008104743920714077,,-0.025451882279982053,-0.03962442177449757,-0.01299570777058039,0.005307343814258033,-0.007146610406502281,-0.04028772476765596,0.045353032344699076,-0.03006966152216289,0.04502084831987423,0.12034541859898676,-0.011754599377625593,0.0456663295038475,0.045330350649443345,0.014302844505528796,0.06922924460813082,-0.03695657183213169
EFNA2,,,,,,,,,,,,,,-0.02658815484526294,,,,
HBEGF,0.029407371224111297,-0.02397920725063872,0.05005729506770769,0.10428929883000625,0.043192563706089704,0.007316367164088009,-0.019552192030842845,0.005471818779924414,0.08426195482818051,-0.010670963705028822,0.040307866556366236,0.14008576500562736,0.012176404122729058,0.06547984670727161,0.027061026833270323,0.015380653547892162,-0.00978286542660389,0.07761191581420927
CSF3,,,0.05336830533258462,0.032172623894550195,0.043480071657446454,,,,-0.029285310100428872,,,,-0.0038548885123357163,-0.05872620985303008,,-0.025919776928509525,-0.006665055668098078,0.04170870485859134
PI3,,-0.028404796122112493,0.08500707183135225,0.026193953398462123,0.01004201305948685,,,,,,,0.006701971622449698,-0.031871821568793826,-0.08107566219814737,0.010972560417371798,0.05509614052960291,-0.058615185592283695,-0.023203787693160383
PCSK1N,0.08645765102963453,0.05400119339016719,-0.0799540188933213,-0.020566933708149614,-0.056430728957297324,0.0034377296249954088,-0.0377546949369254,0.04616657410831079,0.022511279911120403,0.02699237766621082,-0.033450397340808805,-0.01658577938427092,-0.016042151517995314,-0.03005245804751012,0.062096587363195066,0.01602838236695857,0.07389230924245054,-0.03804844004431522
NTS,,,,0.08099638415473438,-0.01645789952936644,0.05377539426820187,-0.03938502672701699,-0.026050542652283917,,,,,-0.02783842616671209,-0.03239262121965619,,0.06324610730256267,0.12969812074026837,
SFRP1,0.010916380312043191,0.03924896306090703,0.05356773790810166,-0.024911357145305412,0.0162989195890198,0.0407427064141491,-0.024107745231830607,0.002077002800906704,0.010063555007965583,-0.0055125025431560495,-0.11091655987275946,0.03437544129252655,0.013265433374328926,0.038986512446312814,-0.01750733722387812,-0.01729265552400318,-0.02897504037239996,-0.0686868334137324
CXCL13,,,,-0.01264590825764782,,,,,0.061142794577094796,,,,-0.013994904831674697,-0.03434175288121465,,0.06930400814834571,,-0.044657921106577673
MICA,-0.010145258731393271,0.02579190865771177,-0.016516713697187095,0.001193732691174644,0.04313603601943176,-0.005366665815726932,-0.00036839520256523367,0.022215558900472412,0.0743258008200017,-0.009927654733623406,0.15290953437452637,0.00324413134843182,0.018957965907251288,0.07342280291502487,0.07560028253800828,0.036380953742024894,0.022915224653202036,-0.05279054996870026
TG,0.0025015559130686727,0.039072376207713595,-0.012724473085024874,-0.05214365633144442,-0.01616051123437215,0.06770333637373115,-0.017446670357769704,,-0.04160717319552044,-0.018597790840227228,-0.04635960498846476,-0.02058304327629485,-0.0025457095151722726,-0.029049534669765238,,-0.003420983302840795,-0.010143090625928051,0.07088418720161828
ADA,0.023052036162498707,0.0022242131127445737,0.02209252252976259,-0.06392055882735877,-0.011039665176712602,0.018202071147572125,-0.028334795723182028,0.0001374445209737066,0.08331642847373422,-0.019170733581092652,0.08568468876004326,0.05360597641965348,0.046087975667923525,0.018399533069533867,0.025389609791548116,0.017804078565902284,0.05475259681632399,0.03134245820186562
