,UKF248,UKF259,UKF260,UKF266,UKF275,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk
BMP1,0.006839703980086551,0.006621871605201182,0.04258263748884175,0.03696810789815287,0.04962800404147182,0.04160924193835576,0.13297154380518805,-0.02096610972798092,0.013732615802611243,0.006245029471952054,-0.027613746332608668,-0.018277278010555086,0.04223315786378918
NDP,0.029212738298353084,0.029928084526720217,-0.007467237403552876,0.0025912357288542937,0.006972638231254821,0.06749422450882891,0.07138824142228414,0.07507896234377469,-0.0347929204855347,0.05571919363792303,0.06915792323105782,0.030479552912653616,0.09225851316953818
TNFSF18,0.05087425452036492,,,-0.00495626195617579,-0.00761717015555806,,,,,,,-0.033140132580972814,0.01652584863670114
IL36G,,,,,,-0.013752911436744552,,,,,,,
RTN4,0.07087405418756766,-0.019177754451000745,-0.02270337277802356,-0.0743771521804573,0.039928303519067364,-0.03571798207583527,0.06797187241731488,-0.03382508152352885,0.05115681217958924,-0.013680218334692526,0.04668786217428237,-0.007872819219851512,0.030562827353531732
HEBP1,-0.006091300335536122,-0.04311405446147939,-0.018619684050045552,0.04948451724256761,0.02741321972649415,-0.016282655122577736,0.07194608552778148,0.04531117620622385,0.012805193085218198,0.012229196523211056,-0.012096027189325821,-0.05331548535381453,-0.03004850864250251
WNT7B,-0.030582906331605226,-0.02833911161921111,-0.029039098114716038,-0.056418757656175544,-0.02066178119083807,0.07433360523729156,-0.006180048285406923,-0.03093602966660082,-0.007425587818642443,-0.006908266577242273,-0.03163840858517075,-0.03314009821714481,-0.05285471882511691
PTMA,0.025136173161591505,-0.022344638999741366,-0.019723187857441173,0.09513793123123512,0.005242484180750539,0.01724659546692318,-0.15895717830127434,0.00858326129770606,-0.08100107422803972,-0.022166406290466224,-0.03694663613347069,-0.0897432095017836,-0.05949666477341787
CEACAM1,0.0019486737380612128,-0.004225949079851465,-0.01456208555422681,,-0.03320810689548911,,-0.06890881409067415,0.023079748993585385,-0.022953368230334375,-0.002194016036009518,-0.003223602683300759,,
PDAP1,0.01459365390333164,-0.040269486065307156,-0.011422313236122146,-0.003312052112838556,-0.011396761144293345,0.01249282888675814,-0.07157834439533131,0.06787180058502465,-0.020328138686530037,-0.0011786833545133347,0.04815820930763965,-0.046460818506795176,-0.039842905947945303
QDPR,0.012382626236617483,0.01095054279134106,0.015651787294447512,-0.024644390429123638,0.0016266360505878632,-0.005566297359742983,0.0028549418014491125,0.025369374757510457,0.04722274567855823,-0.009401438315595975,0.05665234929785285,0.013686248360234844,-0.01635939607952501
POMC,0.05482791216574514,0.009844012166377826,0.024983507918956163,-0.043125953245955494,-0.024499617195810626,0.016979039354785744,0.0017091621432021933,-0.030301038038957697,-0.05511260843697806,0.027445682239949566,0.032217711240307555,,-0.04819565212822824
CCL18,0.010980329827677989,,,,,,-0.059085705538821295,-0.019670900338896506,-0.021398768243417153,0.0340307500483806,-0.0018821938758532316,,
CCL17,,-0.01896697386753613,,,-0.026333915037123803,-0.012563675042489455,,,0.09032830348552262,-0.004430404895322651,,,
VEGFD,-0.021629335643882128,-0.021131303406057633,-0.01393217897981563,,0.06508906516660026,0.03556979431660921,-0.06656665197036177,,,0.05425962614576657,,,
TNFSF13,0.026374264365866106,0.07396433797996403,,-0.029980764177584468,,,,,-0.017346299358274003,0.1652638991600502,-0.023580325765735915,,-0.02644442723002719
WNT5A,-0.004176293152382347,-0.021131776329657504,0.025760116769805257,0.09796066507492411,-0.0010558355317133849,0.017443949209581144,0.06799687974609647,-0.01111658038865867,0.054503024604964194,0.02211616734662811,0.05937055405695221,-0.009923005795329735,-0.04199581713384369
CXCL8,-0.03441801055332146,0.013577805829232101,-0.02361083857509511,-0.004986861108649518,-0.036905575061067494,0.01412065996640575,-0.15641054238710694,-0.034633717096777074,-0.03416247291085521,-0.0942518350916854,0.020993172189780127,-0.021246139925395972,0.00649049510675757
GRN,0.03986629672861997,0.008576741942057313,-0.04958688969239969,0.07425039996363221,-0.011383362776121172,-0.0051060010080706646,-0.057486264349270746,-0.032876717715564226,-0.045729014564222736,0.017615911006986146,-0.002989723907973041,0.032764906645983055,0.03290632619532152
MIA,-0.02628493366109716,-0.03993808382201096,-0.03208778168542616,-0.010976548048889626,0.01854336304090109,-0.01844076978704828,-0.017918611716884757,-0.062399582586949554,0.062297137306344265,0.04688796464974091,-0.01977120945234172,,0.08012055676042547
