,UKF248,UKF266,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk
BMP1,-0.03112834217354289,-0.03801103048349273,-0.06279417217011037,-0.028554809044814524,-0.07831899477287985,-0.26000464333773365,-0.020864878592709104,0.06663216984857999
NDP,0.0383790372788566,0.07770321745100951,0.05793843095857839,0.08285364701277119,-0.00028237667028536197,-0.06994923076527192,0.07371661728276015,-0.014033706759140046
TNFSF18,0.07087009509942437,-0.03524418589150873,-0.02103272764728934,,,,-0.0293556624899632,-0.03593493357828071
IL36G,,,,,,-0.023560782115105868,,
RTN4,0.04138297520366252,0.1309402819660905,0.06441769205982566,0.04701434625905969,0.159804791742261,0.36537342071508866,0.12951631999987334,0.0895756257106477
HEBP1,-0.023039835305395082,-0.03625263849364761,0.024983468070681376,0.06258563829244837,-0.04437628269526133,-0.01111517056218961,-0.03344279090233133,0.006326496783898338
WNT7B,0.07162441792364088,0.013038593716114774,-0.017408923481183784,0.06903071788083631,,0.1734383644535011,0.1768860888358291,0.03493037421092213
PTMA,0.013409353015431119,-0.08847778371241471,0.03485050281995681,-0.034674367959363094,-0.1261329821844199,-0.4015706633303995,-0.05229408393037164,-0.06702997417563868
CEACAM1,-0.018151168369124563,,-0.033079469877560774,,,,,
PDAP1,0.02057723220820679,-0.00694399356448692,0.04507260838503905,0.030693917757142454,-0.04855651755542409,-0.18628312969471633,0.09821721220439532,0.07505945252085762
QDPR,0.019128654545128923,0.06011254668820085,0.04215936183674578,0.06247712699208886,-0.01174855316758674,0.06226274386104411,-0.07012247244371712,0.008463215717587165
POMC,0.10642259656302551,-0.05354515976261489,-0.024404713932990704,0.022153734302775216,-0.025948962849427125,0.09817130496521721,,0.028882361568027815
CCL18,-0.022650943129182134,,,,-0.04793314384192521,,,
CCL17,,,0.005841636836100084,0.007902876330024518,,-0.027633406800508277,,
VEGFD,0.007130092957891222,,0.0030273231916521618,0.01026009331979456,-0.010673814177064266,-7.533534391918336e-05,,
TNFSF13,0.023946695161002857,0.025073275898541626,,,,,,-0.03909208198552042
WNT5A,0.010935860622137016,-0.1256540639403476,0.06329376062748962,-0.026212823866630906,-0.010643239042320443,-0.07599918705542916,0.0495824348678565,-0.016165742367376227
CXCL8,-0.031910029092874506,-0.06259099084843218,-0.10777477792505173,-0.007394238857165168,-0.07704175801318874,-0.09836302153822062,-0.030839973133226884,-0.012560724863846065
GRN,-0.028924067525047076,-0.11643650347837453,0.028152953829572627,-0.035079758570823016,-0.047218328465019666,0.05931904232798579,0.09677920773234429,-0.03189849760176355
MIA,-0.027456992609331012,-0.030630691126661384,-0.04527573625499923,-0.016216521462619506,,-0.04158977800790087,,-0.040108853076502936
COL4A4,-0.027203598664535013,-0.005205140880425532,-0.016942496313418206,0.07262772239850115,,-0.05249693260565024,,0.00503153352889033
TAC1,0.046550668040948866,0.18419082606935067,0.1133826979070955,0.07296040749181906,0.08989334460444647,0.3673118183782953,0.10761347585711427,0.12667428766933747
RARRES2,-0.012895762194710638,-0.09761392831378915,0.10362111673037692,0.0351375497347435,-0.0644121433365203,-0.17652956261247518,-0.00938679068075123,0.08151780738173897
FGF7,,0.03570643747638534,0.04638622611462954,0.0387536842784017,0.07244623557387628,-0.03986812807451364,0.05741855007866645,0.07600726019708852
HBEGF,0.025533320722256628,-0.05422984177977217,-0.08566937740189334,-0.024949802481303213,-0.04824158125536948,-0.06815214653782314,-0.006183069880972834,-0.02154072894199273
