,UKF248,UKF251,UKF269,UKF304,ZH8811Bbulk,ZH8812bulk
IGFL3,,,-0.012030812777689585,,,-0.021110098335408903
BMP1,0.061677985578108274,0.008694667764513329,-0.030158032554341584,0.0879086940159961,-0.005524681288102016,-0.063398709141661
NDP,-0.01816970990187724,0.000616770246770529,-0.013707806422890337,-0.018616054216345244,0.05621230284442258,-0.01416594682093515
TNFSF18,0.04989737582131068,-0.03899844340004138,-0.01786539579997216,,,-0.021770471798189743
RTN4,0.011893700883832169,-0.0184914226794098,0.06246689276526342,-0.12345400890431378,-0.08710350138429628,0.09962236797986167
HEBP1,-0.0027543021684511824,0.05895176388695691,0.054743620637894286,-0.0006996691169165465,-0.01546042628258018,-0.08059868531587934
WNT7B,0.020412182122510204,-0.02422462413685509,0.04530409712403961,,-0.0035264618220116925,-0.007977663775473445
PTMA,0.05572743759219908,0.10951837472096215,0.03663816608307962,0.05268968087640806,-0.039301931149216464,0.1658479899027349
CEACAM1,-0.017122072881071346,-0.018590942012004938,-0.023509843335902576,,-0.02111203536904531,0.1532502804457526
PDAP1,-0.002914582783047052,-0.011389488518959264,-0.025325217539213345,-0.01715690262508928,-0.04071082276545487,0.08537093855128351
QDPR,-0.02709050137446125,-0.07801633711322055,0.032663724576000024,0.027594905920290985,0.05155369407132429,0.10283096497966542
POMC,-0.014179942577274281,0.006013872667947682,0.01040045317067643,0.04493880403567656,0.00034486795200695927,-0.0411594183293092
CCL18,-0.02136672919317777,,,0.051618984105133284,0.03615441562384891,
CCL17,,,,,-0.030476548456845696,0.008814410313313018
VEGFD,-0.0057293367231580445,0.048227517756621985,-0.02015483859314143,0.017696271826812625,0.13086530109550418,0.004962809138181843
TNFSF13,-0.016124024623621225,,,,-0.03312696621254961,0.006134713657992439
WNT5A,-0.008394023364398099,0.042623311404449686,-0.022963097243360424,-0.03163997666757764,0.019796096604305764,0.012751994745788307
CXCL8,-0.00921488874293096,-0.024932688530615945,-0.028265242079388936,0.025406443881726727,0.0013652324595774745,0.07674103363425684
GRN,0.027407423292356937,-0.10774820312965186,-0.046429180671904595,0.051425131515567594,0.02118634930395998,-0.07470383886274609
MIA,0.002437390956519344,0.031085253319307903,-0.011550691315462526,,0.08276934905187591,0.001290478504723512
COL4A4,0.07284205421307124,0.05239937571088006,-0.011855473003323938,,0.003164252789710651,0.03193769091088123
TAC1,0.027013967883472427,0.04164013697617548,0.051519713079191065,0.008154948173933736,,
RARRES2,-0.04226602234867539,0.021574946057246795,-0.05967230323377082,0.010800673174331678,0.05870446547671295,0.04336553416172647
FGF7,,0.015556529253991305,-0.033786292965169946,-0.006333814716873421,0.004665604601013522,0.06888709828497612
EFNA2,,,,,-0.020065576735905193,
HBEGF,0.009933160287676426,-0.013983227576777836,-0.013272719475369548,0.04276710316901954,0.027879431955382457,0.04658684090182706
CSF3,,,-0.012542862247997348,,0.005391975811977993,
PI3,0.07100140808038204,,0.09340880893847955,,-0.017793647019261408,-0.02364820159215139
PCSK1N,0.08031282734087158,-0.034063431596907334,0.019226533618217242,-0.04441510803653608,-0.03584820450883029,-0.059012808021998986
NTS,,,-0.015416686500807,-0.022736241809440262,0.12651403008492915,
SFRP1,-0.01893147758204298,0.03494755452771227,5.8306944689714144e-05,0.041597824170507176,0.02237534693942483,0.024541169007450445
CXCL13,,0.06364759928369344,,,0.051863369259322625,
MICA,0.015076919601601827,-0.04416035293688356,-0.015279230461990936,-0.011639441436972679,0.005358075598770035,0.034300788740646244
TG,0.007179964619101447,0.08139623037204687,-0.015138112548842127,,-0.03010804148071945,
ADA,0.05813254040959321,0.0012246697759497368,-0.025682855849645952,0.04298739883793404,-0.01858247592076914,0.023109998529825582
LAMC3,0.040280957672606595,0.016736737555152856,-0.06654918870963042,-0.008165944542262181,-0.04187569189624615,-0.03591459468884243
CCL7,0.03724574122970624,,,,,
NGF,0.00623744453007796,,,-0.022736256779746968,0.10385002573238272,
HMGB1,0.042208533315993155,-0.017582520029371343,-0.03136523144521833,0.018152827149434995,-0.0627284919248799,-0.04811397512866725
ITGB3BP,0.027843169829077273,0.09675212196904692,-0.04777526905003411,0.0143329982362327,0.008759855775883158,-0.013722774167883138
AANAT,-0.0018532094327570327,,-0.01131400118163542,-0.02137542510777043,0.03459416872052223,0.02500931893697862
RELN,0.030953429071145268,0.11716366149597945,-0.007609709449106816,-0.02018547245718904,,0.003615442727850647
IL15,0.06049718496678017,-0.03220625087962972,-0.002041784570989717,0.04292233353468282,0.04263985652924527,-0.04287362660716823
UTS2,,,-0.0373208653377743,,,
BSG,-0.029348853152539506,0.014519038638407481,-0.009723873936531674,0.09337772614956664,0.05228348346595167,-0.04923578006730082
ADAMTS3,0.045102194938973425,0.0640050165062385,-0.04943291300172689,-0.03432391004983251,0.001339916237386709,-0.05334367517567817
CD34,0.052485027755789775,-0.007388840950773892,-0.010981461229343981,0.005660331255756043,0.043176317185711105,-0.047446581520613554
CCL23,,,-0.01287353736522336,,,
PLAT,0.06690427511929617,0.09556798583914194,-0.0287593097077683,0.01403556464949103,-0.018315732993716017,-0.08718778711115778
NTF3,,,,,0.025371209320251924,
LTA,,-0.018590943919768586,,,,
CKLF,0.013473240789144086,-0.016649722836962255,0.011601511143500108,0.07781056022528211,0.050422036889438256,0.05005781603116669
CD24,0.005916570090066812,0.10462539762056958,-0.013534630355718055,0.0074993480438695715,0.022592161099130727,0.022287702044229352
HSP90AA1,-0.01644177255742756,-0.02363873896464152,0.03127145308989081,-0.04986590546753664,-0.03861632225760787,-0.029610617431698363
BMP4,-0.00789381370698792,0.047546927895028006,0.030978687786348498,0.047093646467490265,-0.013407128694457291,-0.005522232702253032
SCGB3A1,-0.01359104342130713,,,0.06138787670657836,0.04833768904049501,
IGFBP4,0.04610989456080958,0.013690623364796201,-0.026956498829810188,0.06799431103800795,-0.011273894488652918,-0.06646638463964517
RSPO4,,-0.03005438412670017,,,,
LEFTY2,0.08682491782325184,0.10212988599180654,-0.0711926731466741,-0.022736256779746968,-0.023071808121213594,-0.07266603768057756
PF4,-0.014098525868017,0.07988753107563362,,,-0.018391490283051298,
ANGPTL2,0.0063525581446679915,0.03415082634813528,-0.06010518535434561,0.010666376358367357,-0.04095183897708109,-0.007720650728634767
LRIG2,0.04672055949444682,-0.04419905418160021,-0.04932746377237463,0.020516541458237197,0.04480257641166301,0.02685236447438541
ICOSLG,0.007527884026585328,-0.0634178716324896,-0.007365225416568024,0.00900918685026739,0.046899571182897455,0.031414302045232226
WIF1,-0.025368008921081868,,0.012596519718054462,-0.05208231538211435,,
NPPC,-0.034108360859545515,,-0.016469945107493306,-0.004837894053069294,-0.0347979325811441,-0.016596285330265165
LYZ,0.00046826032986696753,-0.06047593854761123,-0.05123874002804748,0.08477515536278496,-0.03105332590161307,0.0061722939825798045
EREG,,,,-0.023388963819905705,0.07698801032613536,
SPTAN1,0.009386245294954501,0.054902032133128685,0.007646476380831963,-0.06956909418644981,-0.055966482979360986,0.005474067232828021
LIPC,0.021644901650943408,0.0005224505684960158,0.011185625666616907,0.009986186808463646,,-0.040090934582389805
COL8A1,0.01750963855912682,-0.024158708738510077,-0.039679253117297454,-0.014337406481392735,0.04813744956679975,-0.04839966963270231
GSTM2,0.06523752370486889,0.11651450836990108,-0.007728264907283282,-0.03720043510963698,0.02255169397126868,-0.00992545137198683
SPX,-0.02791581055855976,0.014568274981026093,0.056961706436664004,0.05978454436929412,0.012191744634107694,0.0214245630628744
MFGE8,-0.0007266738000675764,-0.045986441687070494,0.020094167351011577,-0.011104505934696689,0.02474500056235825,-0.013806789678472497
TGFA,-0.00627702257120062,0.08925660287653317,-0.021682717591535502,-0.028006558412428353,-0.004792436238774584,0.11502956165710763
SLIT2,-0.03235447342646288,-0.03689148667171897,-0.005093511590164278,-0.06039007954845969,-0.009750140710589193,-0.024730400252091632
PLTP,0.02489987173040638,-0.03596831303079392,-0.04227588328720557,0.07001477388146414,-0.06157561307832223,-0.08710929804225737
APOD,0.0028165477398214844,0.0658633952372406,-0.0007812405870935129,0.07152540690976777,0.009077569667158595,0.07678066857326228
B2M,0.06304058986029028,-0.1263098105180872,-0.0425540717226969,0.06728170672884734,-0.002160229971295329,-0.08210510058523568
OMG,0.04136543600970957,0.06596722942546211,0.03987769830623005,0.06842011577489561,0.04251390028924291,0.062285164778124645
CXCL3,-0.004297622945978423,-0.015880778810275553,-0.014854742713012608,0.054509703474691654,0.044773037604444545,0.017429340115557048
CXCL10,0.03479910416082112,0.013266382647858564,-0.04105768616760971,0.05223242836313175,0.009336490771277337,-0.03266197785524227
RSPO3,-0.018461705609131674,,-0.01857818985809773,-0.029263197523745104,-0.014481225357989846,
CORT,0.06437742260538425,0.08072075309334124,0.13043506385834513,0.05994438151753128,-0.0192457598134163,
NCAN,-0.023126732998546944,0.1018797548669818,-0.006339932054123429,-0.008975517273568436,0.004916928270853599,-0.08011180920154405
PRG4,-0.02043930823217951,,-0.01609375986759332,,0.0005603732305385737,
ZG16B,-0.01884667518658542,0.04421222729174174,-0.017375800032134125,,,
TGM2,0.03269100504074379,-0.020104913164339832,-0.022291655968891568,0.048403321571696356,0.04160536986782314,-0.11142590191041352
VEGFC,-0.01269893923003147,-0.013368057624330847,-0.0019483945740245703,-0.02642942727787931,0.03081268600243593,-0.03197837108334706
WNT6,-0.021928850295984424,-0.01881926949063147,-0.015826105443113064,,0.009442276846718735,
NRG4,-0.012517829390827634,,-0.020045798875235617,-0.029443945878870517,,-0.025678170084570545
PMCH,0.07871598600629523,,,,0.019891738382461156,
