,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.015859558101841822,,,,,,,,,-0.027914077512079787,,-0.006303074285818081,
BMP1,-0.05458281201608793,0.009720771097315662,0.05853763008381767,0.007632295268436345,-0.04338155302053504,0.039509958053366434,0.01138592319915842,0.01631726438452832,0.009094070319992804,-0.004010343893890069,0.054523809105132874,0.1742354455261156,0.08718959651820793,0.08818057944364248,-0.0158470346429842,0.01362573888582013,0.15781278883387617,-0.017168288308164168,0.03804127116352753,0.028000356208082517
NDP,-0.014673188736680567,0.060302437157731086,-0.015673933681983918,0.11309720851149123,-0.03762380361770977,0.03273168767997706,-0.004808668666943038,-0.041465483301901036,0.0646118017280025,0.009820618696735329,-0.004327075596690628,0.03812584830563031,0.03315081574653155,0.08729113605240159,0.01894770667417373,0.0824401225267269,0.04125456694700701,0.016350291710022696,0.032360712327182496,0.10243373273360695
TNFSF18,-0.031018891790790565,-0.025109671275414865,0.025099549841935482,,,,-0.012213192063202987,-0.023550967664253842,0.08332967883870508,,,,0.08853046450844539,,,,-0.010770132747368698,,0.03523848853079064,-0.03415808855652718
RTN4,0.051523173813557366,0.049010136141185295,-0.03848526828621286,-0.007285186571008829,-0.0008677232807998292,-0.0260519611404243,-0.03194546329449772,-0.07592908457471627,0.040905540311601686,-0.04149513590928768,-0.004841708504081563,0.025636794131683103,-0.022766918114197676,-0.08701751172438059,-0.06914175197949043,-0.029914110438658537,-0.11942663093068588,0.011546887464354741,0.025995290644726794,0.03771339051594127
HEBP1,-0.018793812365156978,0.004624581189927879,-0.029692661728665307,-0.03194081764231287,0.003598066898406378,-0.008170070069343408,0.03193523960216328,0.00011280445161374019,0.02223333863673725,-0.003549106556605032,0.041966089590019386,0.03090431129979502,-0.060667060981733044,0.031053245581064565,0.06079587815166674,0.01562628643580062,-0.004769195101022944,-0.01015582185463638,-0.008791214471127382,0.10428394297494231
WNT7B,0.09237204542670388,0.03444851881916151,-0.01570923750571714,0.09725434973946265,0.0761096553399522,0.013903149544872899,0.01080106094934687,-0.030277133756282062,-0.03469653525094587,-0.01967124600078016,,0.10123439089786976,,-0.04304474093061732,0.08991397562794273,-0.01728338667284253,-0.051911088453120924,-0.028125673287171398,0.10571507392984725,0.013005107315660512
PTMA,0.0636945846368771,0.018333014152459314,0.032708945159163776,0.06691408157376871,0.05141422186514484,-0.06919489339367664,0.059733346606115165,0.033513811508642195,-0.006575468755508488,-0.012585339904021716,0.021060017519632268,0.13590934053893278,-0.11349078824679423,-0.14977057286532594,-0.06439050787744818,-0.0462847126891291,-0.06986255326512303,-0.07758203024468822,-0.04172209360467632,-0.11090524405319836
FASLG,,,,,,,,,,,,,,,,,,,-0.020864247629524713,
CEACAM1,,0.024961017295939355,-0.01205589493862484,,-0.021767741337209538,-0.03470172538697628,,-0.004957931295051724,-0.01566068955107614,,,,0.043826499244122644,0.12306402295457619,-0.029007554184842594,-0.006860243654332934,0.07322734473808955,-0.01866741841206282,-0.02902953617629539,
