,UKF255,UKF313,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.01960712923083138
BMP1,0.06786560887594904,-0.03443215900488146,-0.05500118966752,0.03438346865731134,0.019820237259601282
NDP,0.12311018569060314,0.020247773799845922,0.06157973896992105,-0.0128019049501164,0.08989936677989993
TNFSF18,,,,,-0.03307372161752675
RTN4,0.0496262395016366,0.019903302905561828,0.09386886277323499,-0.0372523671988039,-0.013763471561097673
HEBP1,-0.029574093956125196,0.005380216371524793,-0.04447333242524867,-0.010304919462722818,0.080781492116527
WNT7B,0.07410571012627591,-0.014970747291156937,-0.01677661797067469,-0.02233890984864436,-0.04184976457640847
PTMA,0.010401275571418555,-0.020608570396815146,-0.001993280553001046,-0.03249191258824139,-0.025454001106902522
FASLG,,,,,0.15283298852093855
CEACAM1,,,-0.0011771986676610703,-0.014826659356958415,0.011103072693427082
PDAP1,-0.028394094679742108,0.014090710799267955,0.03570140388674243,0.02768011755019952,0.051217558112022395
QDPR,0.01640589843022507,-0.00028482487865468377,0.045749408928527205,-0.03162437254531699,0.029128128879543542
POMC,,-0.02259548195155445,0.03722368784928067,-0.024254466994514078,-0.038299846350063955
CCL18,,0.026059590706250715,0.007394599230793838,-0.012639596852402953,
CCL17,,,-0.015465282077147409,,-0.015413354986822591
VEGFD,,0.08753240440588175,,,
TNFSF13,,,0.09166634065061453,-0.016649344737564884,0.007901809215495855
WNT5A,0.04396264218516134,-0.012262115026949875,-0.0017617779503110067,0.036354556982674556,-0.07854343560188316
CXCL8,-0.05805870000750227,0.029531248853834888,-0.031772813676233434,0.026864035166961547,0.013019465639680103
GRN,0.0818823351362162,-0.011319541482167017,0.05780109677965752,0.025463819190699788,-0.005006768997852929
MIA,-0.054658776167614956,0.05193957595816583,-0.04700997847340899,0.015575543112084683,0.012180812362088846
COL4A4,0.02678241952145254,,0.0003744624794226025,-0.017382031761663887,-0.025084512426263913
TAC1,0.037273893933947574,,,-0.02558021124642446,-0.020262422426080978
RARRES2,-0.047306626765058,0.04470250857225131,-0.013089619817689807,0.0481676780578354,0.04112949696550045
FGF7,-0.0015970059483802698,0.030580218995480867,0.013490761567346719,0.050530802412383974,-0.010519365578827933
HBEGF,-0.037004427327780115,-0.006184528752414044,-0.03124366401627961,0.08336283846465854,-0.09678289072242237
CSF3,-0.029113034757714724,-0.02293514483847705,-0.03777841700789057,-0.02125604149008761,0.087998362180994
PI3,0.006975370398082766,,0.009712205445965455,0.034916927886998114,-0.03525780294147639
PCSK1N,0.004168724400017272,0.015593529669549307,-0.008713575546848068,0.07548803465775898,0.04374620534785232
NTS,,,-0.010171037936385055,0.08261738333941707,-0.024031284846348398
SFRP1,,0.05123820621976989,0.044498552035536175,-0.05605224570610888,-0.023472858668382668
CXCL13,-0.02113950796966407,0.028917154025330054,-0.022211423842907377,0.01093343383136527,
MICA,-0.0603606452938287,-0.03347106174568883,-0.06935662886448767,-0.04238359579292842,0.03174575515570436
TG,,0.01868574500857735,-0.020549493338411044,-0.017494048779021547,-0.018024017443449863
ADA,-0.007563665652267875,0.06133414492544143,-0.007960475557176445,-0.03058641079634917,0.06750409123104006
LAMC3,0.07184931085021101,0.08545162565263428,-0.018881212413711653,0.046282842789574,0.0185605363557605
CCL7,,,0.05071299585199583,,-0.017005250445965032
NGF,,0.007717877747080914,-0.02676976589267427,0.026109805056638593,-0.034229952124733155
TNFSF15,,-0.014605551038217602,-0.02259681798438391,-0.013199636844138012,0.012236033811011399
HMGB1,0.06762542967667479,0.011568892746335529,0.023074935240946823,-0.029454441985700738,-0.004186044675209449
ITGB3BP,0.05716767633746151,0.02179794664817745,0.0817009688684593,0.06194936773647646,0.05184007370319195
AANAT,,,0.02260482998171397,,0.05206451441411324
RELN,-0.0003598356442213619,,,0.030289790382596757,
IL15,,-0.010082044008585,0.010912147944341694,-0.032197976727028635,0.010209318782123111
UTS2,,,-0.01731625494606202,,
BSG,-0.010745889653622902,0.002274521473697913,-0.029072547066684468,0.03591084588739168,0.035889020690429534
ADAMTS3,,-0.02865542831746087,-0.0018180508932186432,0.018125566155256113,0.006026541981262297
CD34,0.01789867443022539,-0.013998402779281723,0.04795383917823725,-0.0026869199449363656,-0.008499763506936167
PLAT,0.13151608130404915,-0.03624372222047754,0.03000366446591154,0.014106203123518441,0.04667391951168975
NTF3,,-0.017642151525909346,0.003488079456954396,0.04722846690363992,
LTA,,,,,0.011852366893337424
CKLF,-0.018257600916888692,-0.00013790428673251018,0.0664420138429205,0.06911610566167158,0.04148768518599833
APELA,,0.01748165241332909,,,
CD24,-0.005554845170643725,-0.004220549142157012,0.08143267342086082,0.013720975483197739,0.02757744015561122
HSP90AA1,-0.09497224733741691,-0.012392222551367887,-0.006379256954681042,-0.04786393518534997,-0.10143467447793215
BMP4,-0.03703191492649766,0.005191093308872297,-0.020672765398159293,-0.01984682537596702,0.03346080570770921
SCGB3A1,0.0026652038110071734,-0.0036067553418807985,0.014693408907207798,-0.027411480658722964,0.011578970998212623
IGFBP4,-0.005200497490873468,0.04580429330835618,-0.011065024453678077,0.03017873380708804,0.01673274531677483
RSPO4,,,,-0.018460465655157368,0.07124258495584639
LEFTY2,0.05825039150641738,0.14613367240137126,-0.019676255419594505,-0.025105013684684218,0.048757750760922126
PF4,,,,,0.10087429861715332
ANGPTL2,0.01466129041745627,-0.008518651967739516,0.029006376864922297,0.0021964642812203287,-0.011276871508112098
LRIG2,-0.006362965055053336,-0.009254933700298992,0.038552351474103116,0.011901592548485496,-0.007493195925223576
ICOSLG,0.10233208571416988,-0.016374030442540904,0.005266977738378017,-0.015696736186070225,0.0625552039948502
WIF1,-0.039008068343901914,,,-0.017160790942359196,
NPPC,-0.012686028888502206,,-0.03460190742895187,0.005930186949237689,
