,UKF248,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.026554059608464166,
BMP1,-0.06388269973118087,0.06439307828445048,0.025883700645219172,0.006038051565038707,0.026980743172024327,0.05087980107719967,0.1609105501239682,0.07017534826439735
NDP,-0.06580560052761071,0.07337255985296641,0.043077991633509026,0.03706402038138764,0.017593096682124863,-0.012820295814342082,-0.025217105435699584,0.03426125060730634
TNFSF18,-0.017345289426010654,,-0.021269974617268404,,,,0.05801368207910543,-0.026674492887896424
IL36G,,-0.007164432658524733,,,,,,
RTN4,0.06202236068652634,-0.05337236562905441,0.07162817552063916,0.10125028421022884,-0.053562177779213106,0.03722060891469383,0.009003398105173078,-0.02772776412944671
HEBP1,0.014352220638244968,-0.003685532033613647,-0.00557253452073025,0.027601881845806153,0.048980303519965046,0.0024746372046523485,0.0021953549574739357,0.0641094903054933
WNT7B,0.07309581514186742,-0.024460405116093768,0.3605503423854837,0.030760730029312722,0.01608447913778859,-0.01587640189496144,0.20721228453364837,-0.03708928748355436
PTMA,-0.11393143093870133,0.06398178185609782,0.029071864433602865,0.048653070948703844,-0.04681747131294361,0.03076880273223079,0.04824509369991683,0.056550990209899864
FASLG,,,,,,,-0.023030326839372634,
CEACAM1,-0.0014646287889903391,,,-0.022726793671852825,0.03658318740128157,-0.007809439918996196,-0.03204331725767119,
PDAP1,-0.04979793740670771,0.0756609190124591,0.036911645854613054,0.027168315550922115,-0.004380021610911363,0.04037748393312085,-0.0018386015041253147,-0.005702653996346847
QDPR,-0.0058579076172265605,-0.016629707617044895,0.036334783726504546,-0.02625745747066884,-0.016100389717517545,-0.012386681105620526,-0.029697342897168993,-0.012162145913709914
POMC,-0.020815589428612804,-0.009821106467973678,0.05481759743789438,-0.019052818049283507,-0.018996864990346043,0.00046642921519119166,0.02325951199937037,0.02959156450524429
CCL18,0.007846713863522122,,,-0.01864003117188291,0.017433094009800833,0.06808150941383827,,
CCL17,,-0.02033023805198587,,-0.016123560102445422,0.07455594525193446,,0.019092199100480784,
VEGFD,-0.033873089023966026,-0.02178854581562286,,,0.08449443424844283,,,
TNFSF13,-0.025561719958535508,,,0.026958941913498593,0.047550422564199946,-0.02689090739001496,0.026398283648771108,0.07485218165495268
WNT5A,0.029774319523962638,0.050811990551800024,0.06422918548581612,-0.002563187314758951,-0.01645647433195438,0.051677921708455386,0.03645892161028698,0.06338330849443938
CXCL8,0.1641379783139669,-0.015108310273573285,,0.03406756774716049,0.010604178797930214,-0.014310496293838185,0.002258893328745273,0.011605023197954813
GRN,-0.07157675001382886,-0.0154381931490732,0.03525785708022837,0.0567107511752509,0.04843949837324408,0.008792434543453022,0.096356174519171,0.03655076622375539
MIA,-0.02076046064558763,-0.007153455660273376,-0.04369273541595927,-0.100805851496518,-0.007555979546931813,0.010435881384809274,-0.02816913668287011,-0.053156662646580054
COL4A4,-0.04068129178864546,0.01763492448709402,,-0.021016022939437086,-0.02124202258991021,0.015618455507397178,-0.013021985620865211,-0.0018286827217434073
TAC1,-0.011074880467350692,-0.05129891342508868,,,,-0.02359214071006592,-0.011637910411389825,-0.020669482104627598
RARRES2,0.04770596682967474,0.10290501915298031,-0.039452657160258496,0.016736696427605335,0.060724499415044535,0.04506778527320666,0.0065963360182191505,-0.02184879715936569
FGF7,,0.06270973378159066,0.04764562270213322,-0.009807547912622087,0.023230540529230587,-0.048744306903668204,0.028095610803139468,-0.07047878000835002
EFNA2,,,,,-0.0249324272199443,,,
HBEGF,0.008706766198983083,0.04819668668900067,0.13267417583534966,-0.008724876180680024,0.009875417353506685,-0.022404365787356897,0.16597451584335082,0.03838328810857777
CSF3,,,,0.023135018134144758,-0.010419023001102893,-0.022926465800141415,-0.021977527705061357,0.02640984969120335
PI3,0.12476251389236445,,,0.09663104169600246,0.03147778060144271,0.03356313989904747,-0.04774986638529689,-0.024548197578549525
PCSK1N,-0.09917980578981514,-0.0212909884732553,0.0041277123294835875,-0.04716722287395029,-0.04252826953652668,-0.013966095645644784,-0.08408025117403246,-0.060933252066515384
NTS,,,,-0.03761458731825458,-0.03037543130474853,-0.004953049011258931,0.018363851019333466,
SFRP1,0.05035397681769856,0.024478906311703373,0.02765387435754181,0.00993859148070041,0.029872331085737554,0.015338023830543555,0.020344238807811037,0.11010676054243929
CXCL13,,,,-0.036216821783097576,0.0017991911529067419,-0.049242346610828956,,-0.027671747959782413
MICA,0.08975671455493031,0.03477392525651764,0.028079437738324324,0.024941175981294514,0.03489789949918194,0.0018264052115424224,0.07027983657753953,0.030719186786036527
TG,-0.005018674992624874,0.014073405216206394,-0.00040951419572856973,-0.02142418025509346,0.04216813460885829,-0.028255216827342684,-0.0025116774135277883,-0.030494409451288767
ADA,0.0005444448336607081,0.012686693072055836,0.038471667227441275,-0.016872356884855805,0.03268568519834441,0.0023955261999680094,0.13389769118815553,-0.02353143958658458
LAMC3,-0.025783955795736883,0.030702175731880194,0.001207326644611094,-0.08169283370248291,0.008506594989737062,0.07996721521605532,0.02686900625929636,0.043898379100587435
CCL7,0.14020134015533187,,,0.03217267925638733,,,-0.004455484124016924,-0.00777524848558402
NGF,-0.009124526210466168,,,-0.02790921802433368,0.040847247589567835,-0.013301219748021962,0.0038894150944528863,-0.038662554482085824
TNFSF15,,,-0.02512540505273545,0.08691081993593781,,-0.02131917006659682,0.0446882841400162,0.10665190146562888
HMGB1,-0.12408200691690567,0.02536571742974282,-0.06799464604320704,0.05514570936700396,-0.029835055455771826,-0.009146919167964429,-0.08769589556067324,-0.04786622634006496
ITGB3BP,-0.004832500978360496,0.06772342320350423,0.0936505498291607,-0.010607957768113073,0.02221998625302322,0.022653224157928233,0.027046203589648377,0.041744884163735764
AANAT,-0.01984966089365566,0.07486055282476436,,-0.0211999622468525,-0.008592516163466565,,0.01065970453159752,0.003970237696930369
RELN,-0.05669734392187802,0.03857177646641533,,,,-0.025751247032358565,,0.049472901662751305
IL15,0.053625568982219714,0.028311011870324827,-0.023819670931196503,0.018786610282531296,0.061598548157631106,-0.006106002980134622,-0.0016720107946610312,-0.04793325084679645
UTS2,,,0.07635017908964124,-0.018053319427303816,,,,
BSG,-0.12838665905691382,0.02387727616117793,-0.021911290528708733,-0.007230073790851501,0.014465561598262053,-0.04707433220705644,0.019840277880234694,0.07230262365401874
ADAMTS3,-0.03152495284537258,0.10691886576916246,0.11532853494888351,-0.017658262903871794,0.02239894798961586,0.047206124152072135,-0.010647695420821517,-0.037452499288478006
CD34,-0.04345684022316597,0.0029612302938308555,0.0007763575031017912,-0.03045106636151371,0.04101566996046063,-0.013645920218628142,0.098909086347321,0.0036020734862800803
CCL23,,,0.04027928197650358,,,,,
PLAT,-0.08477154953536532,0.03468415558037164,-0.031451032898289606,-0.02883389491479635,-0.03688022489834089,0.12616916732350655,0.0543534721453416,0.07386451537069838
NTF3,,,,-0.03407559411901755,0.003619657676733259,-0.002469473680223743,,
LTA,,-0.025292659856224357,,,,,-0.02039877414073625,
CKLF,-0.08465428404964088,0.021338135505279125,0.016159663658040568,0.030513308736486753,0.03286105374904384,0.01812120390633563,-0.056947288245838265,-0.04466683523876174
CD24,-0.03693239607988372,0.06467090241513213,0.06197622604322268,-0.024276187972262546,-0.03079168353462073,0.0021419582708924905,-0.02077695128243378,-0.00010748987925981218
HSP90AA1,0.058715145815427874,-0.01642302411165133,-0.029664430150655858,0.03417397681437154,-0.04486990383065764,-0.03666871291910047,-0.11122677823064522,-0.01204632578333684
