,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.026035629715594217,,,,,,,,-0.007289468479448543,,,0.030835928961593307,
BMP1,0.0204333728107075,0.14509105484966206,-0.07987385464568675,0.003128214219949685,0.028329009868627228,0.06486575357248137,-0.0005567753907538685,0.19933467509045816,0.023771548746507637,-0.011639027306416793,0.03937361696788525,0.00273350737082569,0.10129861736397092,0.06309806024926203,-0.03883119366502519,0.07215837700952728,-0.07060264939061502,0.10458631711220541,-0.04020745012481058,0.02738618399923269
NDP,0.07354014886042369,0.16947241040602076,0.012145536216932954,0.03479402858067396,0.05722053735791597,0.021452942023808593,-0.016665426044437808,-0.0007782589690006903,0.03568895888484155,0.033821362270804324,0.025235503185970287,0.02874622808572644,0.06817148824483177,-0.03054086693669266,-0.011412833250486249,0.09344706429436157,0.10488758813921475,0.033339921982743805,0.28234838629534104,0.23567291210782587
TNFSF18,0.03552353472778574,0.13810128573688776,0.06003893286523469,0.007330046494520564,,,-0.019301676774777128,0.06348829972167813,-0.03364129020608706,,,,0.0010009503327934458,,,-0.009583372200126682,,-0.016973548673410555,-0.010273868111266843,-0.04230470199092183
IL36G,,,,,,,,,,,,0.10121658539253023,,,,,,,,
RTN4,0.032053450291635886,-0.07815468367477081,0.0417922509177208,-0.012063707113489546,-0.020891228589881773,0.02408118176778512,0.12364010895999426,-0.2661267774928281,0.01731941378754078,-0.05873826895178482,0.0391058995114588,-0.015294838268329147,-0.01915094342769157,-0.08372693362246145,0.015490533241351634,-0.07837016290375744,-0.026677018749860434,-0.0852174701656393,-0.0876385410378203,-0.09151423326367099
HEBP1,-0.02902484731680704,0.019660171860065245,0.0628480675670846,0.05624081667464747,0.021416572126883977,-0.006403093815093202,0.02547203131372643,0.12666990128663064,-0.03781747964707903,0.021558894150523887,-0.06663544615464552,0.02852941953240997,0.07752977767444283,0.0307412208910748,0.020002701822409992,0.02287497333884117,0.002256346363793848,0.08820031121405238,0.19248862351367563,0.06276779578540327
WNT7B,-0.01311344957470204,-0.021136544636455642,0.042004688719077754,-0.02082429859843053,0.025562681694737008,0.00305870152005923,0.017469553008996795,-0.07506246024063512,-0.0021909220516668085,-0.024705589296532594,,0.012884676424903908,,0.034574856428285464,0.058835409059910186,0.029276358188902233,-0.026327704658345875,0.05715434236212853,-0.04562903905777847,0.1274271206225061
PTMA,0.03200911975368043,-0.16588165812692085,0.03674692721752405,-0.005824335729547011,0.008801008001237775,-0.022774589241948622,-0.04612562007286548,-0.07931518901610275,0.008537693051152985,0.0432367519178041,-0.05284822852533116,0.0439955459092598,-0.09553307253440643,-0.0672958811906703,-0.0018970404805348066,-0.08323712577169116,-0.1280183601728466,0.0008876446987550465,-0.24889775015035606,-0.16321669210188028
FASLG,-0.02531158088324528,,,,,,,,,,,,,,,,,,-0.04533815436250471,
CEACAM1,-0.0023814887405399937,,-0.015803933934479673,-0.015981396677073795,0.008460442285001627,0.05538866150139911,,0.03897544117629853,0.024174261735281338,,,,0.024662166797684633,-0.02047031574822709,-0.013754809786981502,0.05339255273120227,0.004413406331628075,,0.09853786304730092,
PDAP1,-0.022260421169205496,-0.022956746149591385,-0.008664192868396462,0.04640682389656103,-0.04682394409939054,-0.04545040915006643,-0.010060715993555234,0.17430526231291282,0.03139333803283399,0.003762829489258996,-0.025569032768220597,-0.027784400558290543,0.01587097902674083,0.030523419363273307,-0.03581725190965631,0.04890452155904273,-0.029345692151596353,-0.007547843650167913,0.08942046431346275,-0.01695118509175855
QDPR,0.005598756264982789,0.10001750900939671,0.04291904884488972,0.016440228541645893,0.029912847726363368,0.06583676694223468,0.019994127763856236,-0.18583280751339093,0.0024149512329047808,-0.0016471568966328633,-0.0261006010728318,0.07509835615872143,0.03767850908590211,-0.1257796684225128,0.09016646674953038,-0.1457747448626336,0.11465078320502935,-0.0020166457822448527,0.128196091174318,0.06342632388133822
POMC,-0.04942452291439748,-0.00422057078520401,0.0031331314536682457,-0.005049425575801006,-0.051062635827088775,-0.005593082518203322,0.05477593131110389,0.012665988141136997,-0.02352524611756408,0.05454366533556132,0.06468248033813469,-0.02004476601816221,-0.06969973358154634,-0.008622271894610446,0.021437087417252934,-0.004486608316130359,-0.001710835270805237,,0.03708482861262152,0.07789895157853736
CCL18,,-0.011780877222233343,-0.019721816330907405,,,,,,,,0.011624189000607238,,,-0.035780772262730916,0.032572995454435545,,-0.00832497280565423,,,
