,MGH258,UKF251,UKF259,UKF260,UKF269,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.03744381001665149,,,,,,,,,-0.01887240080090393,0.026571461614423808,
BMP1,0.04541648100909615,-0.037766959203684065,0.0279546077799342,0.06281888206221048,0.0016087099317228278,0.0030946867209301005,0.041788331144045524,0.044895026161175765,0.023302827920232128,-0.11228172517545308,0.02609620521873537,-0.03792010036145091,0.00714630053231203,0.0075079996963522124,0.019362457787226173,-0.008145205109338543
NDP,0.010460748937998103,0.028298177164380045,0.001019539380076602,0.0576203345261977,-0.02471489493917591,-0.015330115390850396,0.05859106007337238,-0.01777528402627838,0.06602271796050901,0.06104414243875152,0.045815293106521056,0.014259191108557114,0.034121633987287014,0.07359843198388576,0.04395126468290021,-0.06216100775645027
TNFSF18,-0.01871251841625192,0.021970067850459844,,,-0.003915094523523343,,,,,0.054312283020511776,,,,0.03170095895931213,0.008306355925868772,-0.024308718998958673
IL36G,,,,,,,,,-0.01713623286228127,,,,,,,
RTN4,-0.024499479109606506,0.02733894237714108,0.032123957292334235,0.01838018317132978,-0.08202893963126821,-0.04370602343754791,-0.0209713006023291,0.0011684668416103098,-0.051839919806304806,-0.06137086122717061,-0.02785927687323294,-0.02507605556272276,-0.03159450186577419,-0.07127141305920776,-0.07187717018337826,-0.05007973713701031
HEBP1,-0.013455831261024778,0.023448979384965665,-0.021387114745547928,-0.027501209341557756,0.036222057607403046,0.0061598199862891185,0.05375352763738707,0.07600113296547512,0.03812918991139363,-0.06187891087824297,0.07234882162296401,-0.032043516809432515,0.013810633021432758,-0.010056023254681001,0.02216592449090476,0.00964741009561948
WNT7B,-0.016485142632343127,-0.017227635528266325,0.009160905046164026,-0.043635041826943305,-0.02960347391717364,-0.012332312690747553,,0.043439006379392436,0.035141506854614805,,0.00016799243863956665,0.07160889604608667,0.11170146342132835,-0.040698234572902024,0.15625411850910614,0.1251293614214607
PTMA,0.053660942949197404,-0.016419644215537692,0.04359992831822988,-0.018893522870981477,-0.03374627255637924,0.0073916295802943874,0.07084428572623049,0.004235725241537944,0.017314440699887017,-0.015328487323974342,-0.12344020061578265,-0.007525773749825281,-0.010696306189328842,-0.052272002603292275,-0.058612202907594606,0.026891802756384788
FASLG,-0.016485147292650718,,,,,,,,,,,,,,0.08698568359600745,
