,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.04718172425091069,,,,,,,,,0.0537172342727778,,,0.07586617595907634,,
BMP1,-0.035036626747758516,-0.013851422947274377,0.031169555849577688,-0.013913794074406578,-0.00848841938261347,0.009363537922121546,0.013234846464158933,-0.11555842440781934,-0.05525938753986753,-0.008521812086530908,-0.11709683278928977,-0.03409778292208177,0.003674719511223035,-0.07518463475065171,0.06379703845416336,-0.06625989238287786,0.038348076139117025,-0.07989156774317041,-0.030310795187643583,0.03817588062359486,0.01517894298939095,-0.02009262889238757
NDP,-0.0368288073877438,0.0319583902764567,0.06782446863375226,0.061125189242280664,-0.03171874030227696,0.021389222012393794,0.035319274407859584,-0.04322233411111122,0.061720899810811934,0.07135817917369885,-0.0035856098304285033,0.017439093483128477,-0.06323842521940627,0.015100803880270961,0.11048783472925008,0.057085459876929576,0.07069554498079128,-0.007010365747326975,0.06141004862782896,0.1136133454669269,0.0871540594544364,0.008555844350546245
TNFSF18,0.04260121773959225,0.0063935790420138056,0.013983063281480027,,,,-0.01534360646931314,-0.026708369562676915,-0.01682035642507886,,,,,-0.0380884208097717,,,0.1113141879526117,,-0.04469134999785897,0.022293589771452734,-0.0060178815681301324,
IL36G,,,,,,,,,,,,0.022815703784440595,,,,,,,,,,
RTN4,0.21899250252681804,0.07609506027342884,0.026563037810305164,0.06031619063487826,0.08744330304729699,0.0713758524868957,0.06295300101505977,0.22314148557261523,0.11434008300722,-0.02662122752041399,0.27964301311354395,0.19069251287832614,-0.08053147525640347,0.05007375492067092,0.0013340200524853364,0.03716867118055712,-0.060812689625408714,0.23590308536075644,0.06847510791984028,-0.06407536411729894,0.15559442379453226,0.005119778134051181
HEBP1,-0.10238003349331126,-0.004098245178953364,-0.007410053047094841,-0.026715276607304807,-0.04906901597822452,0.03099255564522587,-0.012964033684110261,-0.0768369684652447,-0.029508548425416854,0.005639854919427494,-0.042837692302457354,0.040456485956959894,0.005639240551774726,-0.04128307927548119,0.019142532384951456,0.04047631186300496,-0.02574004559861626,0.052736350070566346,-0.030919129396936314,0.08165713310451793,-0.058665907592123284,-0.04810223928564233
WNT7B,0.2770773662327455,0.02564675654331418,0.06937264554749914,-0.02748870318269478,0.03283001717054319,-0.028025476499925827,0.043535481927526,0.19943259206143096,-0.039918510505710526,0.03643880485362889,,0.046524214515240525,-0.021559685755059066,,-0.018410357458417046,0.003482254653346168,0.050939301790534776,0.061538963592052597,0.04636413482722676,0.022126395020296553,0.1026451534091817,0.11241915263110427
PTMA,-0.022117507026374248,0.007326813303627361,-0.009839530457851346,0.04084408021754578,-0.029973214026398912,0.0028051079437412018,-0.02241288293950534,-0.008792190358594744,0.05431966831797954,-0.07386926337401212,-0.3501238450303445,-0.1615154084633597,-0.008821101655753468,-0.0656914918869521,-0.08597673029019587,-0.009326862861741943,-0.06222691094555202,-0.09710312024248526,0.020723616718131097,-0.10436722422693807,-0.04356784378178853,-0.21172722993470514
FASLG,,,,,,,,,,,,,,,,,,,,-0.016065160540112845,,
CEACAM1,,0.06095499018957835,0.018409565997456266,,0.003778457044588006,0.04273968309239532,,-0.027688836584685142,-0.007352418741859827,,,,-0.044493035914552725,0.023669159597595864,0.0616366858927532,0.051870888502265906,0.039292808968804875,-0.004530161952401185,,-0.017973379753418426,,
PDAP1,-0.099661870966336,0.06458446924337467,-0.007780302080065258,-0.008696307266461225,-0.03909288222644123,0.04815602546434108,0.009882002415813457,-0.07970651186574865,0.032459199224065864,-0.0030637388137524646,-0.06301773149875627,-0.09297038609957377,0.012419476167949556,0.08316795236995325,-0.0781539433534287,-0.05864048664426433,0.02293240109065875,0.05321097624322691,0.0033157157749223068,0.03414915563538867,-0.03430122109894494,-0.03534428483344602
QDPR,0.19111933354895386,-0.011872233232102153,-0.016559013594509883,0.0753867747960665,0.06929666106205506,-0.016312939804530146,0.040063009476523116,-0.03304255176399177,-0.005080107159600364,-0.0030726466267402257,-0.2560337319885741,0.051952338090283,-0.1058498290715098,0.03833837740543697,0.02802796266327536,0.09424566494291248,-0.08110979231528724,0.050367997776116905,-0.017001086721084222,0.03537763377437909,0.15872765440583522,-0.005687445241028627
POMC,0.21461853307109136,-0.029509261850683494,0.010730611727282286,,0.01988231859786538,0.01970762618913668,-0.008209573365681474,0.010631157529602989,-0.008616850625873784,0.09241376122187414,-0.0276746451460389,-0.0017923068974835107,0.009542886263653528,0.011961751314867795,0.04432970925306847,0.08878266676215239,-0.029496130357453198,0.013566375699281293,,0.007367533082182414,0.08589732325092306,-0.04560712366814454
CCL18,-0.026874638075469345,-0.032076183867454325,,,,,,,,,-0.07714610621595543,,0.07956623243352474,,-0.04484669545207173,-0.037937843900006374,,-0.07471116045007505,,,,
CCL17,,,,,-0.00942591020171819,,,,-0.038167580276929174,-0.01534770773655679,,-0.03240208936661502,,,0.1058191574464263,-0.05409576095163219,0.02120529338527283,,,-0.03427490917899128,,
VEGFD,-0.03421570420200139,-0.028158565001705126,0.055387058993227115,,0.1260336138819649,-0.0036462430396434166,,-0.01517573135886697,-0.0038082824019334536,0.04222203443625016,-0.05238659102983774,-0.01486341822771704,0.11956462881473114,-0.059472680821380956,,0.03347347863717397,-0.036869386476844415,,,,,
TNFSF13,,-0.01802586571858043,,,-0.016042781750705983,,0.010778494745587218,,,,,,,,0.04413749238373722,0.01691948112471666,0.004112334289617859,-0.016205554561564525,,0.039678757769702304,0.028875456594025437,
WNT5A,-0.04362757164424868,-0.022507233864697596,-0.027823759299351505,0.06792658678725223,0.04595602439618746,0.037134883008077796,0.00398876128558434,-0.12604786027659962,0.030393981279542893,0.016514082569002254,0.030300670080740673,-0.025615890476568825,0.0701365676394278,0.07695182759624473,0.11833288283703663,-0.003485012014682167,-0.01451011025445667,0.049272261177268795,-0.0323306611386822,0.015581905799252215,-0.014615662448475192,0.058520082680415815
CXCL8,-0.14372682482827234,-0.03340694475015341,-0.022300376145962142,-0.08892473906912801,0.002878755785338084,-0.026923604386613852,0.01766607965445666,-0.016448056657755273,-0.008633674304081573,-0.03270360945715599,-0.06538416454151368,0.02507073257087724,-0.010783119563731961,0.03356262286349907,-0.06531747864366244,-0.26179077400474504,0.09954083570464246,-0.11236231208485832,0.12887280604631607,-0.08870579978053432,-0.1010657449663656,0.010165158794218204
GRN,-0.10145611576829808,-0.04604523289255705,-0.024167378502558932,0.01597207620023041,-0.01915498617993164,0.019398067215393677,-0.06316342824298339,-0.13663042028326586,0.010378509378672943,0.03520714894275176,-0.16903347069613098,0.02400126932241589,0.060712611262744215,0.07970857763990964,0.04530804220226759,-0.05453500203083603,0.0637899741068285,-0.14013078968411338,0.06420730520496547,0.014435383270163795,0.01586390447529462,0.013455658533830867
MIA,0.03510354321899737,0.04594506518554982,0.018292190574332564,-0.02824814267794372,-0.009611132257967558,0.0135517461752668,-0.004959232178353884,-0.05054277493449997,-0.040431949368060355,0.018822457906044438,,-0.04755929046304878,0.09628742797411845,0.01659752840362059,0.16287124027902894,0.13928612705338822,0.11033607184176226,-0.11301392081360112,,0.0748066456432836,-0.046066620036450436,
COL4A4,-0.019483558377066244,0.0384189564452644,-0.018415185946145652,0.03538481162828287,0.0022358063145517734,0.042845675339642716,-0.011382139758534202,-0.0061260855248283265,0.030731880141022513,0.05537423156993477,,-0.0461342761559544,,-0.05857811071808603,0.14025561549924273,0.06791825912841307,-0.01692529579236043,0.12383844961006106,,-0.012498102783204635,0.004627097983624812,
TAC1,0.28902905991139094,0.14478598306453047,0.0818401496201367,0.14078247546425016,0.12057195174746621,0.04841081755189239,0.015220558225768165,0.2706384426169248,0.12365576777175186,0.02104165426058373,0.24709532340594978,0.09816935371394239,,,,,,0.04229986723684786,0.12694833439611644,-0.03560784594315703,0.0926992860881261,0.15182118309194012
