,UKF243,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.03679111005191287,
BMP1,0.08113431478893351,0.0466953064712104,0.02315557160294767,-0.03416567605942676,-0.006706703672893052,0.01610731692264042,0.025917664511035908,0.09666600356357652,0.0574825411709616,0.03612568364563619,0.031117445536480628,0.0798362307766287,0.0560403371438812,0.07150898726849027
NDP,-0.09397015631132936,0.050930295351452604,-0.044263650379778995,-0.0064225053289287464,-0.026288276052714128,0.013940521207409927,-0.008306774801475382,0.015218384674734412,-0.036845684603820095,-0.0623583313572591,0.006928103579023164,0.010298600804385036,0.03258264354388069,0.007477542012014926
TNFSF18,-0.022337910644405448,-0.0038962820593208677,,,-0.012490942521219373,,,,0.08273658711393496,,,,-0.033975955268447024,0.06992103222450984
RTN4,0.1382367865854406,-0.04547479218136338,-0.001269689320013269,0.001516667516686821,-0.021296393974867208,0.0001869127205039339,-0.1392837034968513,-0.03321344729826299,-0.054519751351579854,-0.05385214720501037,-0.04330565961330532,-0.004038664867501748,0.044620311984203,-0.19736407148266205
HEBP1,0.06687471879525075,0.061251340264639624,-0.03539180474279831,-0.04584328632654445,-0.029524971043977916,0.023910630240131528,0.013462956097211038,0.061050319652323805,-0.01536608154571861,0.08686276751308514,-0.02074566180128459,0.04613812672229347,0.004079701230307463,0.04956890483503962
WNT7B,0.021675572776886348,-0.038139592460636,0.053721261580382394,-0.04664671935172134,0.018070843646614862,-0.03936157167712242,,0.014768159318415205,0.05052660124842627,0.04876678966840318,0.04585095029781433,-0.03314196470756667,0.008782441483860606,0.04858249307953986
PTMA,-0.037426737653664735,0.06872833063412616,-0.003780480076031479,-0.050316205688954375,-0.021669737935033,0.07512737528417929,0.12827260200399157,0.1447657379649383,0.011751998542510488,0.017521846365588886,-0.0750751019929585,0.06589863120323246,-0.03482328462244779,0.030921758814534493
FASLG,,,,,,,,,,,,,0.18210120389891832,
CEACAM1,,0.004843304096599892,-0.009984454663532151,0.005926030792593796,-0.019645276818210065,,,,,-0.06460282039042368,-0.02653577081720335,-0.016055738935320127,-0.034132092202213776,
PDAP1,-0.0761605741225236,0.046672800124336056,-0.005365430432794357,-0.041553682742355595,-0.009570064960363464,0.0178115243721035,0.026549975782245563,0.11548373197553302,-0.0007330318390750614,-0.06445188896782489,0.04762017575158137,-0.035448566445071696,-0.02430840546437797,-0.029035621596688526
QDPR,0.040524001017823275,-0.004612125653101765,-0.007756401180758002,-0.04244363638407587,-0.005012178196815054,0.022764915350167395,0.02874022981851565,0.08738691754986438,-0.04776924409882486,-0.0007645204337000243,0.021125007769318783,-0.022022739863973854,-0.0017043235872449343,-0.12938306125584856
POMC,-0.04217770319652708,0.011352164167581105,0.06853497665972566,0.00247367559437606,0.023192735588352706,-0.013409403350498065,0.07797843911962761,0.018474119427368554,-0.001318382279866225,-0.07602762125138579,-0.015975997118341894,-0.01485851773311555,0.013957642609702938,-0.03963155562263271
CCL18,0.06408269056545944,,,,,,0.11864974254768668,0.09472488447774427,,-0.05539354105765298,0.12152000606587161,0.014796386786126861,,
