,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.03349812266080198,,,,,,,,,,,-0.01921107295632109,,
BMP1,0.004423288879698154,-0.06895062375580613,0.035197657497511456,0.014381734263639328,0.004897732439294864,-0.06023701112009073,0.08913502796560778,0.05928895593138379,-0.0044828115208491465,0.014822413353329263,0.04651871894024702,-0.0015983900325249201,0.051993171984406165,-0.018364849108511747,-0.006322283934987396,0.005004939987071278,0.009500556951564865,0.10216716722079469,0.09468080158391567,0.000136447499034091,0.0677200455793787
NDP,-0.04671929487333274,0.07311436790620615,-0.0001714978832776159,0.009206630280293327,0.019471191281018242,0.0763432876346231,-0.055296702904382884,0.017506934427551694,0.004097175385334727,0.001337195771368635,0.10397532132435085,0.033431829008758955,0.045790440558003825,0.04352613926977261,0.031909665406175326,-0.017713422371274278,-0.05983496436137285,-0.003458586077778267,0.03930678078106362,-0.03167968862775168,-0.023884732501353832
TNFSF18,0.08960823030328169,-0.023606113350724763,0.0748106262857817,-0.012133401274827786,,,-0.012399100602170783,-0.023550960715116215,-0.015670680597868348,,,,,-0.03095072721007528,,,,-0.03264738417527307,0.07039392952825774,-0.038114281966812776,
IL36G,,,,,,,,,,,,,-0.011386531004899888,,,,,,,,
RTN4,-0.0014627354416326206,-0.07348561570672982,-0.0212585491357625,0.00584628175034687,-0.015320310595088578,0.015669658597966304,-0.06940368746352152,-0.07192840252064135,-0.0042469839781445525,0.009536543262622365,-0.022799224084387837,-0.051077559197757604,-0.054374645918400556,-0.021046925327647518,-0.006179252511101138,-0.04062627644012734,-0.04121367081335948,-0.0023337989734802307,-0.008484061007176146,-0.05332710290192918,0.07418085910580828
HEBP1,-0.048883456713950335,0.006584901369148986,0.012728470944162696,0.011619826784221502,-0.008307048998858693,-0.005256245425093203,0.024142980139799677,0.033037632398072794,0.016912378943604534,-0.038981927808945285,-0.020159050575634115,-0.05909744987725958,0.023026456288598285,-0.04742881918356691,-0.06409702486930303,0.03681578210615992,0.020701291297758277,-0.05522307989663204,0.04696429830341807,0.028404264442724134,-0.015936528402590914
WNT7B,0.10758558200067672,-0.05509693097011004,-0.007124077544236153,-0.024224623177484677,-0.007975480868758046,0.07545172051098831,0.03775105141421753,-0.05996714627705109,-0.04491854718674128,-0.01786092227769213,,-0.015505351307308011,-0.004246881562590488,,0.015956557871440225,-0.014645264346781803,-0.020366666742467992,-0.03264735032238814,0.11656295174861127,0.1625623387022548,0.03994080821082033
PTMA,-0.0023401902710438573,-0.04124634280340526,0.02083178865885398,-0.05945823411079788,-0.010238772925802614,-0.07417800880609775,0.10250286164516699,-0.0659422691471777,-0.005823441347953326,-0.03981582851279803,0.0728008610890651,0.035792141632584026,0.07042026314065913,0.007389943645303491,0.07960488993104664,-0.009974115590290213,0.0006151410014007079,0.0402956480035979,0.013441839110357633,-0.06763912621168285,0.03651849518402626
FASLG,-0.01817844964224868,,,,,,,,,,,,,,,,,,-0.016661757021065034,,
CEACAM1,-0.02524093642036748,,-0.01874306375516329,-0.01859094127574585,0.02075044319054571,-0.026261135993585014,,0.020544005435140702,-0.024646247290938967,,,,,-0.036052837590799684,-0.020080492864354964,-0.018081019827157117,-0.013517652923676213,,0.1202441665867298,,
PDAP1,0.04039715827036812,0.06130823658780818,-0.023214439361196534,0.04668179637582015,0.015265221405784606,-0.016416581264784236,0.0069864740532158175,0.024138363760128723,-0.010721075102608928,-0.01387712597927709,0.01989907079090409,0.10760292171915609,0.01968793810446577,-0.0044378091539114695,-0.014650312224490803,-0.09791784629808298,0.02718712935109823,-0.050031376907070935,-0.06712298643428143,-0.02573112029458621,-0.06114740865632373
QDPR,-0.017115729122698955,0.06813048203319277,-0.034765707055153014,6.382267039237752e-05,-0.06406356029962867,0.04049454476444959,-0.009280083646392849,-0.10086801786791917,0.013169716467723488,-0.028384230034483232,0.08807555090722087,0.06447266830355686,-0.019330350340643773,-0.013890686491449028,-0.03361308488081944,0.052494165742808525,-0.01851069579009578,0.011018441836823847,-0.02283831889474277,-0.06338789474521332,0.051385984135715726
