,MGH258,UKF266,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.033026343083752394,,,0.07743192967413158,,
BMP1,0.07100901590835942,0.005683520165901229,0.04628113463921457,0.07473399135385042,0.0217888568288327,0.05460071122869391,0.0058751309097315315,0.08417608282842835,0.012573690812609055,0.006294524085158763,-0.008739375974489328,0.04566961285953424,0.01823860971901118,-0.042725473500762993
NDP,0.10380709789206057,-0.020083799971291227,-0.009059608389101716,-0.01689441868425986,0.1695749069001221,-0.04117124099336145,-0.0267525209682469,0.02478572160990528,0.0803765968102963,-0.05776718190143688,-0.04294060834495044,0.06148574610607217,0.061736605869200864,-0.03840205910567576
TNFSF18,-0.03389280491523394,-0.011638507743351642,0.00605864139532008,,0.057431263685938025,,,,-0.0340594846730847,,0.0357162109306168,-0.03482562741067086,-0.0328379755553089,
RTN4,0.049994481508669156,-0.027293756498907917,0.031784184971962295,0.03876861104961142,0.032549091701949175,-0.15021421799221754,0.042115687771886755,0.012323204233142957,0.0671045591384695,-0.04480571597524481,0.04644570147949046,0.02585984145944928,-0.005230839528806881,-0.08087432031075026
HEBP1,-0.01105431004165614,0.0018787886658879662,-0.03686230829091518,0.030608242485093813,-0.043113500956218756,-0.03903091529331175,0.007806088259394401,0.07883292757614219,0.03008291428106511,-0.02852112078990583,0.02574330676414563,0.06453093231514001,-0.028423293240785134,-0.08617736993874854
WNT7B,0.05977459910139662,-0.048761886661982876,0.07387705898446023,0.06709028716328815,,0.03540759593615761,0.05726083157588074,0.0077669543665248595,0.044720942305282396,-0.03125832626890868,0.08692195226755195,0.019023850023472823,-0.02988473691290551,0.053527968417384185
PTMA,0.0512454568187711,0.04664532390852055,-0.019866380577476292,-0.08054373171005202,-0.07785060562520578,-0.054720736451952745,0.015272504313779016,0.027362743644880567,0.024592058426545244,-0.028899799893757933,0.0044886721940602245,-0.08434803411451373,0.015408818848003802,-0.1263499175902014
FASLG,-0.0020381829439020884,,,,,,,,,,,-0.04093228275721939,,
CEACAM1,-0.032830208215371116,,,0.003937155825906787,0.08251099947051352,-0.08372444242224233,-0.023839999319873868,0.04886907136618396,0.01951720207240367,0.01662377681793036,,0.013510363016911813,,
PDAP1,-0.012365054666510987,-0.03271267074958209,0.019663396641789455,-0.11229741553764777,0.004853694392872409,0.03524966509050792,0.0051552370694328145,-0.042506137804524294,0.00904239793511716,0.01326607642473214,-0.05632063184994402,0.010207873106514307,-0.06247101204980994,0.03614777492699015
QDPR,0.009014193817610145,0.015354302436935799,-0.0162475486928867,0.07191714076882227,-0.07548417952181612,-0.10997190226827304,0.002985229368826481,0.0075163676002407,0.040342207689954494,-0.02641439368449758,0.016769447547396604,0.09613342782628835,0.09499175474056075,-0.029462929563143978
POMC,0.006222428178935661,0.10373704229717837,0.04537749671631979,0.02880178229381692,-0.11150949460602916,0.031119455080811265,0.04384539220323618,-0.012753579888627702,-0.008849321990078604,-0.05651201078665574,,0.09020530181068363,0.07669288715139048,-0.017994779299430576
CCL18,,,,0.07164025716880587,,0.02532235192026707,-0.043626906319772944,0.07417117112012223,,0.012375303392706087,,,,
CCL17,,,,,,,-0.016913325629048445,0.043000209733879,0.057033775975351385,,,-0.05151597789444987,,
VEGFD,,,,0.04204062778997785,-0.06939289616103106,,,-0.022723281300111323,0.007619979379781037,,,,,
TNFSF13,,-0.01128692458137629,,,,,-0.01886370855541112,-0.010600879986619422,-0.046694585535460985,-0.0245440228006924,,-0.014173555644028162,0.025116829685512806,
WNT5A,-0.01808222067287427,0.02396312341321642,-0.05881349432016935,-0.045654945470923504,-0.05983552361491912,-0.0004144668298449937,0.038748179680508164,0.045427385347928576,0.0213188456610978,-0.007699638237355621,0.0587044687313346,0.017115528748430097,-0.03419775211277077,0.04210944675902323
CXCL8,,-0.016054918156610174,,0.005958415031150249,-0.12131949783090953,0.06354428881413757,-0.017676193458252047,0.026526838778762066,0.12052979570554623,0.03957050157388675,0.09577233320685394,0.0066267910923940255,-0.031162545462529917,0.09220411684026127
GRN,-0.04883646722245539,0.02716754337743235,0.014653406135308857,0.1044638924137039,0.1171402017657896,0.032907826374431494,0.010996891445058695,0.007107915788265067,-0.09442253900234097,0.027165602450645334,-0.0601182026737518,-0.049348532336780056,0.015481130058510767,-0.036349912730883754
MIA,-0.05489958050632181,-0.020408936453089787,-0.006480913871936935,-0.03331764972887483,-0.08924047003080808,0.02152500859694635,-0.04651435385101994,0.0026088880601657445,-0.05145269197483419,0.113859554356515,,0.1368907419119869,-0.04932103410960875,
COL4A4,-0.026334817896292696,-0.010739010078157798,,,-0.04564048986371614,-0.07359929754379026,-0.03459980205537705,-0.036383526349034696,-0.007493253257679262,-0.013934718590827844,,-0.019496775646657076,-0.03992589893562822,
TAC1,-0.05206825784940346,-0.008887149472719189,,,,,,,,-0.0017449656158250487,0.062302255336084626,0.029561825056265124,-0.06294930594996861,0.029221553374217366
RARRES2,-0.022829488598781745,0.023023342982059235,-0.02342456687383065,0.040675126295419396,-0.0632706161844617,0.11600298968162552,0.0034181493655055877,0.07298281122058586,0.016378782095567902,0.05697297336370171,-0.0627236450682153,0.08924205098320213,-0.06898424991157347,-0.09724507290635777
FGF7,0.03092805550720996,-0.006951223707106231,-0.02911947651951676,0.06179398135442165,-0.06430713901011686,0.0018829841765603632,-0.04387088633493593,-0.005749740739762388,0.09058170579286744,-0.04072762527952885,0.02731971691761124,0.14725263571171118,0.07213108258014934,-0.02733543451889803
EFNA2,,,,,,,,-0.021596958163847643,,,,,,
HBEGF,-0.02141886979144811,0.03157149262871322,-0.01585833200234795,0.03802533131122583,-0.031140024776000183,0.05882678786180269,0.02691623649038131,-0.01905457511190452,-0.000891020000107341,0.02187758455896028,0.0709916697286011,-0.06105820282160998,0.06502308810261882,0.08388608891166072
CSF3,,,,,,,0.001038895659549459,0.03735770339577076,,0.01883142213730263,-0.09642605646713749,0.0118114506659898,0.0069851636771715575,
PI3,,,,-0.005143794398372292,,,-0.01669036840606436,0.005626961375304124,-0.008848239773519449,0.046612011488922835,,-0.032685627574684996,-0.04532205268211082,
PCSK1N,-0.0793223459253905,-0.025503224464989878,-0.11942962186487463,0.009991907133622226,0.029291374752018092,0.08674727124095342,0.03397228207752887,0.0467844605295018,-0.01638597398106314,0.04017184008814623,0.026832665382411313,0.09683155256477533,0.010112657875715143,0.21436927996548183
NTS,,-0.013109891314519881,,,,,-0.039457028080257944,-0.026311795209922908,,-0.02739877430327156,,0.02153329167536252,,
SFRP1,-0.00999811588286413,-0.03989937585490135,-0.0049579327692175525,-0.0320456531139412,-0.017290965757667566,0.007708982740435454,-0.046872338042662,-0.003947964360630499,-0.014167508654751233,-0.062471619486213395,-0.10491733910798173,0.017666897217562327,-0.04185015275613572,-0.022647415987141366
CXCL13,,,,,,,-0.037990797080468645,0.10566566141027078,,0.06245692620888105,,,0.1615929532607179,
MICA,-0.003696351623345208,0.02915862568152282,-4.4648666345478615e-05,-0.006148271279013129,-0.025081160590548972,-0.03347477240085615,-0.043280156686954785,-0.003555729515197667,0.0698372768995811,-0.07014631590561342,-0.049978258117191275,0.05104191294382129,0.04474968329842104,0.02573619290161996
TG,-0.021365319798980646,0.12987708472208595,-0.030056724035045963,0.05089812369296443,-0.06744065809184152,-0.016138393417903248,-0.022473581187250853,-0.019644888049632797,,-0.008068327601911198,,0.0006062883282653892,-0.037540532685791966,
ADA,-0.0032507539344524767,0.08637581832540293,0.02591238973874732,-0.03492363199444815,0.06306049617668116,0.0680157661193709,-0.009244575519075019,0.019810824759273593,0.053370593060753084,-0.0536419017509734,-0.033488489286688405,-0.018127814498819114,0.07800601855821057,0.15419093486060814
LAMC3,0.036414163456849245,0.07459592395385309,-0.016722604965254073,0.0489499975618799,0.05682214217986473,0.06302243274685111,0.059936692683223096,0.05804418991733671,0.039910827326731416,0.005083969131811935,-0.011698432173004774,-0.016660781806652238,0.05517315785268667,-0.059563213413887726
CCL7,,,,,,,0.04221256470064771,,,,,0.079168418785854,-0.04265578001152681,
NGF,,-0.014440244807056076,,,-0.017444374909397462,0.027713687668207698,-0.029276269601653963,-0.021306658711716654,,0.08100434616977567,,0.010437978498296082,-0.004328496487189449,
TNFSF15,,0.15125292895834513,-0.04471596929542415,,-0.05200311759592351,-0.01947836763919094,0.010469771170405342,,,-0.02522355329060364,,-0.017539799521489024,-0.046480535223892935,
HMGB1,0.07632480959010497,0.023187303841617206,-0.00819307593632583,-0.010513663939093055,-0.028864310586673905,-0.006083007149252943,0.02643566291548024,-0.04137994234323476,0.07778705124768079,-0.04455371658022369,-0.07589055863956388,0.009972083422172663,-0.08420507226642406,-0.06431861256682755
ITGB3BP,0.003318117586303526,0.05907257981989371,0.09676213588724251,0.0734026225391968,-0.03254921368923293,0.067363990606279,-0.0009050294162036922,0.05221834306034176,0.031951098266377126,0.005598286905151562,-0.06834957113426013,0.09410508870625861,-0.02078765880869123,0.07713798615504289
AANAT,,,,0.02267790722210206,,-0.03251901349740124,-0.02223838051437335,0.0008880591687668851,0.0037885101387578383,,,0.044161448452955256,-0.025643608049527145,
RELN,-0.022152954553697556,-0.028571692400197853,,,-0.0025511377760422593,,,,-0.06735737298870309,0.0002681581290155288,0.03769504074158817,,0.02966802704896224,0.011860078861619699
