,MGH258,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.025631002419979423,,,,,,,,,-0.018219031095940454,,-0.006041855213967046,
BMP1,-0.048146159010275524,0.021294211499341693,-0.0062924191029803105,-0.03155074880512908,-0.008977622384565946,0.03818106792821361,0.06330309662322774,0.06662223915463727,0.016937575469991136,0.13318511132512695,0.07122016938022904,0.008012678334997038,0.04982647600385549,-0.018998144137059424,0.04022044570614617,-0.040338372463701984,0.036173608430284956,0.09448601898434221,0.024164883167685544
NDP,-0.061330130194055865,0.02717848795019602,0.0025523695090748197,-0.035630838594343725,-0.008974529798338375,0.03962992138933841,-0.0302722860037707,0.030744467279156425,-0.004398203180765957,0.08293282092552141,0.05054517926131299,-0.06605276011164846,0.0179270052846469,0.001695847810242423,0.05051695318474165,-0.004670289188231968,-0.0009662650057723793,0.03231975092120605,-0.0389699546534623
TNFSF18,-0.019279979670044033,-0.0002549036636951711,-0.01555614544151225,,,-0.014769705417230794,0.003344268348550216,,,0.1613814475257427,,0.03294833351931454,,,,-0.018788965184459466,,0.007035277043422026,-0.01126211518143085
IL36G,,,,,,,,,-0.019846040184100307,,,,,,,,,,
RTN4,0.013409391473707392,0.029556732280791618,-0.042632055064586685,-0.026487705037630666,-0.024829652241468308,-0.04020713880052101,-0.13244871516236792,-0.004344866621996358,-0.0461804350663261,-0.0862351137671451,-0.009046181940006956,0.04090592856537837,-0.08524047782644487,-0.006145916210025182,-0.0597295053605827,-0.014401825901184506,-0.07369545286244296,0.00505640306378674,0.03219271528364845
HEBP1,-0.006313101567406881,-0.009602481372517924,0.06140476641784705,0.03804426732355472,0.008660422475778294,0.005200615102999704,0.021486054762699675,0.05244227117158434,0.027582291066345934,0.002063929714433245,-0.05006348113378936,0.03212890837951934,-0.1299035890858376,0.05089849457164903,0.07553698268742402,-0.03702613705870456,-0.0031383489178673615,0.01841695354512096,-0.011220017720037377
WNT7B,-0.01698505822355327,-0.03515593786464916,-0.017227632363351845,0.06670223274061081,0.04044559783642874,-0.019654587489578264,-0.02627609931829956,-0.010936155309014074,-0.02181308524777129,-0.011777519556532457,-0.038848063820203754,,-0.01417381579396051,0.014156015325026663,0.030448790313605926,-0.011372204889380693,0.08947724952645268,-0.036692759476922646,-0.011436452231990937
PTMA,-0.029907316320336167,0.05998293977888126,0.00620838765460202,0.12053676738081662,0.056566617098419834,0.013239776725929832,-0.042229517951842946,0.04658163808252428,-0.024044327021379232,0.06666803365364485,-0.060272616072536325,0.1150261463861173,-0.0508525454507827,-0.030299420693295918,-0.10432657833550085,-0.01646095734811451,-0.03317459811874202,0.02211287255140757,0.04605557996512673
FASLG,-0.01698506302518572,,,,,,,,,,,,,,,,,0.031767224695609934,
CEACAM1,-0.023583908658429166,-0.02344790735879201,0.15399839174821833,,-0.037882271129263165,,-0.001096760312436464,,,,-0.054168684120701444,-0.01746330604258099,-0.024010316240997302,-0.00442175553590933,0.06519813333576295,0.030609808691663572,-0.01569862451150722,0.1094748887007897,
