,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.04678538424720911,,,,,,,
BMP1,-0.04915706416831377,0.0020392455608515244,-0.014863986601260417,-0.04291927909042786,-9.269888836845313e-05,0.0053357708989230914,-0.303514585032525,-0.07217734871203453,0.00035107371760025204,-0.13910232476171366,-0.10485182351467076,-0.008685469132500226,0.0011110076757180046,-0.020302232000102234
NDP,0.00814984037666788,-0.0021273034563154716,-0.0033757433328163835,0.050969148395294414,0.04846084576372373,0.011251093922928897,-0.0795478691757953,0.03373934723516711,0.066935038603517,-0.06572934724239435,-0.025213845490377324,-0.01383387699731522,0.09964758259500621,0.01737933262225365
TNFSF18,-0.02100097581599098,0.03961598029153664,0.005828678896846317,,,-0.047576483179582255,-0.0638423348181498,-0.022747008882797556,,,,-0.0316419190131977,-0.05360254305406505,
IL36G,,,,,,,,,,,-0.00904940004149591,,,
RTN4,0.14696056000222069,0.053776874609476985,-0.03845143336762109,0.08747585855041762,0.061350040193310265,0.19273807769407872,0.42947452507366984,0.13665831679273374,0.10149646671618393,0.21680804889173094,0.19112624007350798,0.0046699336055278096,0.09884613486632608,-0.006399830804918712
HEBP1,-0.0040507783590592004,-0.05764765852220785,0.020914574680272132,-0.00953743752716742,-0.026751792785475664,-0.06333680530769535,-0.1769723303740135,-0.0003060794504133114,-0.0032532962691040257,-0.08809666142173725,-0.0860812343433408,0.07452532326520372,-0.014403901221791755,-0.018511200572216134
WNT7B,0.17473403134814544,0.05168728477626675,-0.021169625564853797,0.03203164466219385,0.10402974150351448,0.08476366522648184,0.27106149943542956,0.0004909595037542328,0.1385423582795815,,0.09279828578419329,-0.03164188620290462,0.05927825994152309,0.05307573220303008
PTMA,-0.009992390759680937,0.05687113357176638,-0.017623930822019785,-0.021719898177892515,-0.04123100074981664,-0.1287915606062425,0.10296435834900546,0.0848683574908921,-0.09170132439457672,-0.2822445299951384,-0.162306001924361,-0.005589316383832578,-0.07232951578411324,-0.0934568188971787
CEACAM1,,-0.007290878086417749,-0.016246414353785214,0.011472829627537037,0.0033684301207089775,,-0.08673094218167499,-0.03839672967051184,,,,,,
PDAP1,-0.10365397327616195,0.022310621159858105,-0.0718935947792804,0.021561260638730886,-0.011818480637744848,-0.06510476907279264,-0.21706143219767404,-0.010392945699333257,-0.025343804366972256,0.021102646275058038,-0.1709232199683159,-0.03979804369354606,0.024948626499828326,-0.020559122825260717
