,UKF248,UKF259,UKF269,UKF313,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,-0.016337613158973828,,,-0.015224983717843728,
BMP1,0.03911709499312889,-0.06909596655232768,0.057226723328873075,-0.04938725031028865,0.019608675738347427,0.03797950301976109,-0.003563405797319594
NDP,-0.011121485760814743,-0.026606025120685356,0.05793937947403478,0.010896718622945676,0.035729428441662256,0.0068071925620581284,-0.018757973968818262
TNFSF18,0.040624653284317476,,0.0859691681802001,,,-0.008939344267294601,0.0780452872684496
RTN4,0.01862735979165352,-0.04432108472038714,-0.11149592854040666,0.027317243614056016,0.013799236700089914,0.015305724522468582,0.006467571234085743
HEBP1,0.04083763377535418,0.016041439811443854,0.03786029537969601,0.002491882494682151,0.05548161215892255,0.06416277393894489,-0.002528567227628039
WNT7B,0.0003877107905553542,0.029092040602554395,-0.03228547715499563,-0.009127188110311556,0.015678168293998377,-0.004978767865232708,-0.004394822942586585
PTMA,-0.019108246392037072,0.03543897867175671,-0.046393027895942046,0.07328975281876683,-0.039919703705528865,-0.011879082706042932,-0.0007024306789505449
FASLG,,,,,,-0.013204623184407616,
CEACAM1,0.016433229015354132,0.031567718961644745,0.031188792116015447,,-0.01424324145497101,0.09300773381619343,
PDAP1,-0.04721150149315486,-0.00900254959759842,0.04910797721888851,-0.004332605414843184,0.004331914375067672,0.017307516157065696,0.004415087816282091
QDPR,0.011971505411568604,-0.040492768494918174,-0.06956594918630854,0.04668212103965327,0.05705739653387507,0.004418687775249254,0.020008592632592144
POMC,0.01889890467687078,0.011629962280643499,0.04538695302215622,0.03679703938898714,0.03282077950369085,0.014468861157627539,-0.015358939317513079
CCL18,0.06360689568881456,,,0.05895560965566149,-0.008357701751651084,,
CCL17,,-0.022419329110544523,,,0.09784609740209897,-0.011968507778421423,
VEGFD,0.0036912373716674247,0.0674636553438806,0.12702658168019706,0.05945621392848251,-0.01424324145497101,,
TNFSF13,-0.018369050408445116,0.059727806165734684,,,0.01438158464057629,-0.019501684454183654,-0.03572303547661138
WNT5A,0.01794701628583229,-0.004365678595141691,0.05559680420104666,0.0925822002173239,-0.011697979908960033,0.02902205574091378,-0.04079381084300918
CXCL8,-0.009246762736128558,0.07133793390576527,0.06029756549335251,0.11407469108122857,0.0006930656283043911,0.01954723692916522,-0.0333147522040368
GRN,0.07381041476985054,-0.039761390989717135,0.12391317815491684,0.0059523593409221975,-0.022456241550609702,0.0377504415640808,-0.023654702905554072
MIA,0.05206524636517005,0.038234328195045277,0.060192201614379444,0.04382968284769616,0.07267117202952228,-0.020039295005286915,-0.0010810771953023153
COL4A4,-0.029234210403622084,-0.054033610835897875,0.07935324907800444,,-0.02280565662715544,-0.03514774488615791,-0.013686798865720004
TAC1,-0.00017450754055223382,-0.03960589731738576,-0.03044663440423339,,,-0.01573382048382989,-0.019805721305624073
RARRES2,-0.046940044260350616,0.028132644441710878,0.0994157287685998,0.034908446977177994,0.005339864552187658,-0.010225587054566592,-0.03523406938987258
FGF7,,-0.03252793444909034,0.0038577170174826122,0.1149992611268928,0.004175289845059911,0.017751063024169764,0.017469224818824434
EFNA2,,,,,-0.013537247801402797,,
HBEGF,0.06313995857937002,-0.003439287845132933,0.05420523960182792,0.08270237384372857,-0.001669518468993283,0.021174367505971667,0.01733154158857846
CSF3,,0.07364067165333628,-0.01703296652526171,0.024032823767239114,-0.021518002566247196,-0.012600992330429269,0.007117448117615723
PI3,0.002086817239453106,0.0853849706081102,0.02088256296369529,,-0.027927467692914883,0.022685749843800587,0.04620269598768599
PCSK1N,-0.06408255382638936,-0.1311982383724878,0.010753868817782251,0.036437136635827226,-0.04090580842069697,-0.011553999917601525,-0.04590146072479586
NTS,,,-0.020935564778336486,,-0.01649256757151731,-0.018660351354710038,
SFRP1,0.01672966507629586,-0.004225729772050849,0.10301687064663713,0.08690616314891242,-0.01164154900677525,-0.018226732064142152,0.037918651584677866
CXCL13,,,,0.1375845636288683,-0.03478104866574599,,-0.03406566113829563
MICA,0.0330892627206633,0.05725473367625512,0.050670022108209006,0.05975742165050732,-0.0021528282359048277,0.036629063442466324,0.014781539312915185
TG,0.01038762742913136,-0.021110207252292453,-0.02055726669096132,0.037805023923638985,-0.020312399872867495,0.04590407059417626,-0.03754053486212119
ADA,0.05710949237905533,-0.002254598221832323,0.05415747487174964,0.035560741529889146,-0.020543907621426723,-0.042524626222164394,-0.016308258769226484
LAMC3,0.040110766501564525,-0.05393920243463513,0.08153505154369041,-0.016668661131299944,-0.00934641437717052,-0.021989139554812194,0.012893022799490277
CCL7,0.028961768061210418,0.022502163278733563,,,,-0.013204618489001226,-0.009892984530352662
NGF,-0.026584214407207356,0.26681561795448416,,0.01743474357899011,-0.013355284416082773,-0.006233248710463367,-0.004771528393663896
TNFSF15,,-0.0003772065612543704,,0.07279123662949434,,0.04101097870300785,0.03554848092127761
HMGB1,-0.03570304921624151,-0.08686036862802335,0.09143401073623969,0.05695951744733268,-0.00033586302257178314,-0.07106100694118811,0.06041784786442254
ITGB3BP,-0.025292314218849244,0.0731679967700195,0.07679766437827187,0.0774544604777727,0.017813799296695694,0.029843151745236367,0.008566832162437251
AANAT,-0.02246404551134982,0.057883616152672644,-0.015364196750573156,,-0.018217469036221234,-0.013971037022716537,0.051710874429085445
RELN,-0.018655196652094835,0.006593571404056516,-0.045083373937263874,,,,-0.06611941469405261
IL15,-0.005349797317831776,0.027063429425110357,0.02041090383344743,0.09654222531005145,-0.03302810192020634,-0.005269991612090698,0.0066406760867217
UTS2,,,0.021388306415171674,,,,
