,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.027894578594697506,,,,,,,,-0.019712706305780547,,,-0.0024571691119089746,
BMP1,0.0018161822666408543,0.06778781596551155,-0.051785464875538034,0.03120853607066157,-0.0003203725537350248,-0.025964004544126593,-0.07779991394616773,0.012385178682781278,0.13764303268989575,0.06180825286003734,-0.02548378521820656,0.017070333946922273,0.021634742578512188,0.03293316069698047,-0.023602354841609788,-0.00396132333093888,0.0012302851637015534,0.0009192082328382804,0.011190753532631563,-0.03832789208938476,0.04997577785088352
NDP,0.028174032606547026,-0.016546624555503212,-0.008118113259617844,-0.021700500165121116,0.016815528598109,-0.015095933400886039,0.11160086372790222,0.004190332300457618,-0.022997916814950843,-0.02752263107494578,-0.012982368426641208,-0.019408768132342658,-0.01308463732603,0.05305167087086754,-0.03015478320861583,-0.03229220921785675,-0.04362064311977343,-0.012085202820309891,-0.021355185221912786,0.06081599641786697,0.021922235887388654
TNFSF18,-0.02450429746424446,0.02142545812645236,-0.010253009446201644,0.020184538064797714,,,,-0.013117666170243954,0.10239477314955402,0.0016530122803717722,,,,,,,-0.02032936606345182,,-0.03642678441940856,-0.013067234936523698,-0.010302142496188209
IL36G,,,,,,,,,,,,,,0.02536508845929248,,,,,,,
RTN4,-0.006811803233372135,-0.02223743498630537,0.004771104539655817,0.03393244691335233,-0.05855414568768142,-0.006310689486611748,-0.0022768356878205697,-0.013117435865106553,-0.10947738802486454,-0.010358186731617097,0.020508406824667754,-0.0053609250999809765,-0.02267741557248125,-0.029759503210544585,0.042310219607618056,-0.06888366005951148,-0.028863088115673327,0.003620949997519154,-0.06546318289645502,-0.014819046806290615,-0.09153953961542549
HEBP1,-0.032591296687615214,0.049833891064745374,-0.015231516225863813,0.05549383093098779,-0.028184807327665373,-0.02843679469281069,0.05071320619388099,0.0162057324977225,0.05039877072565722,-0.008112169994944064,0.0038433662935484472,0.0032891187999756783,0.029160157398676657,0.05423462473436466,-0.038644884028385645,0.0030598515668947756,-0.0025419554889984037,0.02964206111483174,0.06168834440742706,0.05827031035384089,-0.022378435258377145
WNT7B,-0.021587518570060315,-0.02953361852455734,-0.047900673840191185,0.00019250052179903225,-0.04398540417196607,-0.00025740213212926245,0.03452933822142813,-0.025455288618375534,-0.019079556190436976,0.01887305869659818,-0.045178071464389416,,0.050270099122366164,0.026364899050744454,-0.024392281698752946,-0.046581928062096996,-0.0054231355076178045,-0.02415945385308427,-0.03642674664756949,-0.017798326556408176,0.02791287176724916
PTMA,0.04785137922695698,-0.02534724207390302,0.025199506110508568,-0.015074534420153878,-0.010862183690995831,0.03404793613222351,0.0042365033007681924,0.023478903564523004,-0.07837451887202579,0.037320647888209366,0.009827308730062953,0.03995921137031283,0.0015819934282767943,0.10706977089074188,-0.04589376845057603,-0.019977308142173963,-0.006603936269884356,0.015266694998878809,-0.08358207553744841,-0.11731773589505237,0.03927860874028353
FASLG,-0.021587524672796513,,,,,,,,,,,,,,,,,,,0.09610175800661107,
CEACAM1,-0.029974466935441483,,-0.020601166134322692,0.02065620535577907,,0.01679371190304048,-0.02849925158163571,,0.027860505506283256,-0.0022681716309331666,,,,,0.02611217316396871,-0.022566775466336092,0.03879513513238351,-0.01603498089015184,,-0.025928577053247415,
PDAP1,-0.034985470855469596,0.035556168868462745,0.06899408741704889,0.01897023369828627,0.05186199290274693,-0.028563641711229344,0.02860167564088724,0.02073540426339391,0.07955230236006336,-0.02851950591729453,0.01915696026054314,0.05737074892233311,-0.00623201215139241,0.008634666335856255,0.013231106360292339,0.030289142492584596,0.025428213217953254,0.04244286421474732,0.05979314537998416,0.027750308188632992,0.009472635557523264
QDPR,-0.024281373660970867,0.019148908275160047,-0.006001060136249073,-0.014799338754337534,0.03526992244329562,-0.0008805607072568888,0.008315342105394755,-0.02810556361164816,-0.11421043535693039,-0.0487506828788549,0.030697600632524268,-0.01805277730314029,0.000422789855516643,0.00687078267503865,0.050453808896403364,0.07437842063453225,-0.002243202346184925,0.0010566886285394903,-0.07613415516228136,0.06375048832255267,-0.0535273008513852
POMC,-0.019449985859063965,0.03957199145882115,-0.004549158506963291,-0.0015547261989214912,,-0.023983176725996702,-0.03801294641426977,0.009735229893737755,-0.02831628304411507,-0.008708891019417067,0.04903351961648329,-0.0970554776322125,0.02989855032531474,-0.020736745221070444,0.052583532782614975,-0.0374194397051059,-0.0532958206177726,0.031005406863757495,,-0.05411077392882325,0.09440953489863185
CCL18,,0.05355624744162759,0.043650701743833675,,,,,,,,,-0.007992825988684183,0.007979990169202708,,-0.04089330238570855,-0.024216954322375476,,-0.05522039664715876,,,
CCL17,,,,,,0.09146366401100268,,,,-0.03464518399231592,0.03209268417120126,,,-0.017383326545056615,,0.043889133739545116,0.05007018903505053,,,0.05688396181512245,
VEGFD,,0.049338450014070515,-0.025708317018086152,0.0037621560977600596,,-0.004421905626502229,-0.027266470338164726,,-0.002541265353072419,0.06943581370101887,0.025409028242967095,0.05079852340967971,-0.024221866415861576,0.01570664267572678,0.046212593024883564,0.030670360012870365,-0.027411496294355853,,,,
TNFSF13,,,-0.019400320996901768,,,0.018811497943733563,,-0.012721399685607553,,,,,,,,0.03637114045653058,-0.02787098312387869,-0.018006208834568545,,0.032800892443400106,-0.006045820569408886
WNT5A,0.022518627886268523,-0.02712583424971494,-0.04066418167459133,-0.055531942507219434,-0.05633003658931896,-0.020104713668876634,0.002840799896935263,0.0645345945910929,0.05701688771236651,0.011779556586587768,0.03766197525385856,0.0337140494808195,0.010062807519480455,0.04591988780541116,0.03529394814370652,0.007783272867978273,-0.011889387677881046,-0.019388367497365205,-0.000955715208852492,-0.014670849343653885,0.038565925464923205
CXCL8,,-0.05278080109054815,-0.04096409573182271,-0.027657333785291595,0.059401047127804134,0.0746112167273705,-0.026247136844014238,0.06322388026067939,0.10860347394049491,-0.023847026572491655,0.035414687215472675,0.044281582401543146,0.003285208410122675,-0.019674270374561223,0.050540994438315036,-0.06118216097334572,0.06727048561708569,-0.042651181317819656,-0.09659331953141498,0.05156451401191468,-0.00137697153322189
GRN,0.013993701328701003,-0.04841623630571195,-0.020654252399202717,0.019750736498331277,-0.030728496947796224,-0.03869376370407084,0.026277629808015145,0.002790438888878783,0.0738872576505195,-0.04924354009448773,-0.06989625132207648,-0.001864773531362305,0.05929248709210398,-0.0007567629189411911,-0.07525866693729823,0.01727474557470181,0.051007323392890845,0.06782197775977267,0.075703373236521,-0.057472918694303106,-0.024956094326513467
MIA,0.021561417969673216,-0.011309736602618038,0.046962932588223746,-0.035217070974995185,0.10344133793111986,0.06641012310798161,-0.022154701522169053,0.009926861295215528,0.0639714444914498,-0.00267128733408484,0.017807855885991684,,-0.03284920238892031,0.013900472465392038,0.0523526385425652,0.05321730269123514,0.014601179935593078,0.02585466358985594,,0.02807071449431255,0.10389530976215311
COL4A4,0.01246739977587383,0.05753899793383779,0.03895484295927306,-0.015582736720905868,0.01595984993033429,-0.010552740318172146,-0.03411137609542859,0.01804538542446559,0.02893230418397217,0.0021688119980938594,-0.05233831170914536,,,0.10172773273253626,,-0.03613293603807856,0.11672911014560487,0.06248411733969352,,0.06406643249285879,0.0034876127537982926
TAC1,-0.02158751292791258,-0.07239454855035025,0.08348826470517128,-0.05121620768703428,-0.007776868638428148,0.013252219322940302,-0.019753297634469404,-0.004300049942665523,-0.061362006283255825,-0.0370682851007368,-0.00026328536327073883,-0.02141022291063252,,-0.03946279041520207,,,,-0.00013339410575498922,-0.005297386265119586,-0.022204934353748786,-0.04692586162129219
RARRES2,-0.035479172234858976,-0.013274486083939229,0.01693834070718192,0.0735703698837588,0.03992795957414234,-0.005916686723355487,0.030206979570710675,-0.06053650367489286,0.09216481207794398,-0.0252486065895613,0.0038352960402008975,0.08827021244874242,0.005991158076492721,0.07050844894480662,0.012641971038034976,-0.04164262747535116,-0.018587187050258438,-0.02183938828625551,0.06560825739130832,0.10179137610071225,0.06248112935541145
FGF7,0.03385416636420233,0.007330572071003607,,-0.006909376165229677,0.03127440439796498,0.03132238118731945,0.01982983173309965,0.010893900289945023,0.061924598312066155,-0.03261612276829993,0.06348695333288697,0.02428706230210509,-0.007877047419914776,0.05877580239150437,0.1332205740324096,-0.0064035198477396795,-0.017515814134454036,0.04456180274516427,0.08421777763488476,0.06255248646649843,0.08722545536628186
