,MGH258,UKF266,UKF296
BMP1,0.02384933232170651,0.09408258274751997,0.0517440845037966
NDP,0.000485551164530266,0.01139426174559491,0.0155061283634997
TNFSF18,0.09256005333348433,-0.013800790961092444,
RTN4,-0.025515481320875544,-0.10875405610418643,0.0050542288219282885
HEBP1,-0.00463219215999097,-0.008447155490083638,0.0010702321695648138
WNT7B,-0.01794568711114543,0.04786000030402939,-0.017649500325666662
PTMA,0.06031850931547219,0.14413422137428863,0.058486908721403885
FASLG,-0.01794569218434521,,
CEACAM1,0.04851590306638992,,
PDAP1,0.08174140037873358,0.04424466557665065,0.030834670320537563
QDPR,-0.05071308309191753,-0.04753954096725938,-0.0030308925389338254
POMC,0.10574986804745488,0.060466482924145935,0.010143036977647953
CCL17,,,0.08429773723958148
VEGFD,,,0.05381041360443933
TNFSF13,,0.07062539890189269,
WNT5A,0.016290517976319238,0.09693212040782612,0.03356741052424641
CXCL8,,0.001021714433621965,-0.014921938042297413
GRN,-0.027334872168726067,0.056344039231582155,-0.020607325655977365
MIA,0.05455615263376777,0.1288387347912937,-0.018223549834549668
COL4A4,0.08862887383851735,-0.012734178340207075,-0.001581505196563568
TAC1,0.08657109506340492,-0.08629427670883083,-0.02320349840814962
RARRES2,0.08089746875934967,0.020558840409793507,-0.014303743924002276
FGF7,0.022154680167585542,0.06505053534053404,-0.007717662945427733
HBEGF,0.04111082905568653,0.1354443463873413,-0.0015428411968438844
PCSK1N,0.054825265303108134,-0.08329096872709447,0.0011609831235838215
NTS,,-0.015545538443936902,0.0018993028690269204
SFRP1,0.07978029449763371,0.016687384854054455,-0.008655659633537129
MICA,0.12190353508724458,-0.03299591524989341,0.10722103330442771
TG,0.11126693687511284,0.002584109244495489,0.0560151839085258
ADA,0.03602019496201612,0.11701418562762045,-0.025675458354516078
LAMC3,0.029383639012534147,0.07202425308853366,0.03483583892204818
NGF,,-0.01712305429560089,
TNFSF15,,0.06744006551945285,
HMGB1,0.010502028237291842,0.06468616465554522,-0.014312008516590317
ITGB3BP,0.0008691119760779617,0.11566804876743006,-0.002205369650017294
